Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,1.03,1.05,1.03,1.04,503000,1.04
2013-06-03,1.02,1.09,1.01,1.03,1257000,1.03
2013-05-31,0.97,1.05,0.96,1.05,3801000,1.05
2013-05-30,0.98,0.98,0.95,0.97,169000,0.97
2013-05-29,0.96,0.98,0.95,0.98,504000,0.98
2013-05-28,0.95,0.96,0.95,0.96,339000,0.96
2013-05-27,0.95,0.95,0.95,0.95,270000,0.95
2013-05-24,0.95,0.95,0.95,0.95,000,0.95
2013-05-23,0.94,0.95,0.94,0.95,729000,0.95
2013-05-22,0.95,0.95,0.94,0.95,130000,0.95
2013-05-21,0.95,0.95,0.94,0.94,277000,0.94
2013-05-20,0.95,0.96,0.94,0.95,430000,0.95
2013-05-17,0.95,0.96,0.95,0.95,300000,0.95
2013-05-16,0.96,0.96,0.95,0.95,383000,0.95
2013-05-15,0.95,0.95,0.95,0.95,341000,0.95
2013-05-14,0.96,0.96,0.94,0.95,98000,0.95
2013-05-13,0.94,0.96,0.93,0.96,300000,0.96
2013-05-10,0.95,0.95,0.93,0.94,296000,0.94
2013-05-09,0.94,0.95,0.94,0.95,207000,0.95
2013-05-08,0.94,0.94,0.94,0.94,298000,0.94
2013-05-07,0.94,0.94,0.93,0.94,258000,0.94
2013-05-06,0.93,0.93,0.92,0.93,342000,0.93
2013-05-03,0.98,0.99,0.95,0.95,2271000,0.91
2013-05-02,0.98,0.98,0.96,0.97,201000,0.93
2013-05-01,0.97,0.97,0.97,0.97,000,0.93
2013-04-30,0.97,0.97,0.96,0.97,277000,0.93
2013-04-29,0.98,0.98,0.97,0.97,65000,0.93
2013-04-26,0.98,0.98,0.97,0.98,164000,0.94
2013-04-25,0.96,0.98,0.96,0.98,542000,0.93
2013-04-24,0.96,0.96,0.95,0.95,26000,0.91
2013-04-23,0.95,0.96,0.95,0.96,250000,0.92
2013-04-22,0.95,0.95,0.95,0.95,108000,0.91
2013-04-19,0.95,0.95,0.95,0.95,56000,0.91
2013-04-18,0.95,0.95,0.94,0.94,403000,0.91
2013-04-17,0.97,0.97,0.95,0.96,241000,0.92
2013-04-16,0.95,0.96,0.94,0.96,74000,0.92
2013-04-15,0.95,0.95,0.95,0.95,84000,0.91
2013-04-12,0.96,0.96,0.95,0.95,320000,0.91
2013-04-11,0.95,0.96,0.95,0.95,255000,0.91
2013-04-10,0.94,0.95,0.94,0.95,350000,0.91
2013-04-09,0.96,0.96,0.94,0.94,307000,0.90
2013-04-08,0.96,0.97,0.94,0.95,555000,0.91
2013-04-05,0.96,0.97,0.96,0.96,416000,0.92
2013-04-04,0.97,0.97,0.95,0.96,687000,0.92
2013-04-03,0.95,0.98,0.95,0.96,516000,0.92
2013-04-02,0.94,0.96,0.94,0.95,734000,0.91
2013-04-01,0.93,0.94,0.92,0.94,302000,0.90
2013-03-29,0.92,0.92,0.92,0.92,000,0.88
2013-03-28,0.93,0.93,0.92,0.92,109000,0.88
2013-03-27,0.93,0.93,0.92,0.93,141000,0.89
2013-03-26,0.93,0.93,0.92,0.92,106000,0.88
2013-03-25,0.93,0.93,0.92,0.93,141000,0.89
2013-03-22,0.92,0.93,0.92,0.93,156000,0.89
2013-03-21,0.92,0.92,0.92,0.92,146000,0.88
2013-03-20,0.90,0.92,0.90,0.91,88000,0.87
2013-03-19,0.91,0.92,0.91,0.92,300000,0.88
2013-03-18,0.92,0.92,0.88,0.91,352000,0.87
2013-03-15,0.94,0.94,0.93,0.93,204000,0.89
