Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.16,0.16,0.16,0.16,000,0.16
2013-06-03,0.16,0.16,0.16,0.16,000,0.16
2013-05-31,0.15,0.16,0.15,0.16,59000,0.16
2013-05-30,0.15,0.15,0.15,0.15,000,0.15
2013-05-29,0.15,0.15,0.15,0.15,000,0.15
2013-05-28,0.15,0.15,0.15,0.15,000,0.15
2013-05-27,0.15,0.15,0.15,0.15,000,0.15
2013-05-24,0.15,0.15,0.15,0.15,000,0.15
2013-05-23,0.15,0.15,0.15,0.15,000,0.15
2013-05-22,0.15,0.15,0.15,0.15,12000,0.15
2013-05-21,0.15,0.15,0.15,0.15,1000,0.15
2013-05-20,0.16,0.16,0.16,0.16,000,0.16
2013-05-17,0.16,0.16,0.16,0.16,000,0.16
2013-05-16,0.16,0.16,0.16,0.16,000,0.16
2013-05-15,0.15,0.16,0.15,0.16,24000,0.16
2013-05-14,0.15,0.15,0.15,0.15,000,0.15
2013-05-13,0.15,0.15,0.15,0.15,73000,0.15
2013-05-10,0.16,0.16,0.16,0.16,000,0.16
2013-05-09,0.16,0.16,0.16,0.16,55000,0.16
2013-05-08,0.16,0.16,0.16,0.16,000,0.16
2013-05-07,0.16,0.16,0.16,0.16,15000,0.16
2013-05-06,0.16,0.16,0.16,0.16,000,0.16
2013-05-03,0.16,0.16,0.16,0.16,100000,0.16
2013-05-02,0.16,0.16,0.16,0.17,17000,0.17
2013-05-01,0.17,0.17,0.17,0.17,000,0.17
2013-04-30,0.17,0.17,0.17,0.17,32000,0.17
2013-04-29,0.16,0.16,0.16,0.16,000,0.16
2013-04-26,0.16,0.16,0.16,0.16,000,0.16
2013-04-25,0.16,0.16,0.16,0.16,000,0.16
2013-04-24,0.17,0.17,0.16,0.16,55000,0.16
2013-04-23,0.17,0.17,0.17,0.17,415000,0.17
2013-04-22,0.16,0.17,0.16,0.17,136000,0.17
2013-04-19,0.17,0.17,0.17,0.17,54000,0.17
2013-04-18,0.17,0.17,0.17,0.17,75000,0.17
2013-04-17,0.17,0.17,0.16,0.16,31000,0.16
2013-04-16,0.16,0.16,0.16,0.16,169000,0.16
2013-04-15,0.16,0.16,0.16,0.16,16000,0.16
2013-04-12,0.17,0.17,0.17,0.17,5000,0.17
2013-04-11,0.17,0.17,0.17,0.17,76000,0.17
2013-04-10,0.17,0.17,0.17,0.17,20000,0.17
2013-04-09,0.17,0.17,0.17,0.17,000,0.17
2013-04-08,0.17,0.17,0.17,0.17,122000,0.17
2013-04-05,0.17,0.17,0.17,0.17,169000,0.17
2013-04-04,0.17,0.17,0.17,0.17,50000,0.17
2013-04-03,0.17,0.17,0.17,0.17,164000,0.17
2013-04-02,0.18,0.18,0.17,0.17,143000,0.17
2013-04-01,0.18,0.18,0.18,0.18,84000,0.18
2013-03-29,0.18,0.18,0.18,0.18,000,0.18
2013-03-28,0.18,0.19,0.18,0.18,599000,0.18
2013-03-27,0.16,0.18,0.16,0.18,1963000,0.18
2013-03-26,0.15,0.15,0.15,0.15,000,0.15
2013-03-25,0.15,0.15,0.15,0.15,19000,0.15
2013-03-22,0.15,0.15,0.15,0.15,000,0.15
2013-03-21,0.15,0.15,0.15,0.15,12000,0.15
2013-03-20,0.16,0.16,0.16,0.16,000,0.16
2013-03-19,0.16,0.16,0.16,0.16,100000,0.16
2013-03-18,0.16,0.16,0.16,0.16,89000,0.16
2013-03-15,0.15,0.15,0.15,0.15,000,0.15
2013-03-14,0.16,0.16,0.15,0.15,41000,0.15
2013-03-13,0.16,0.16,0.16,0.16,100000,0.16
2013-03-12,0.15,0.15,0.15,0.15,000,0.15
2013-03-11,0.15,0.15,0.15,0.15,178000,0.15
2013-03-08,0.15,0.15,0.15,0.15,190000,0.15
2013-03-07,0.16,0.16,0.15,0.15,387000,0.15
2013-03-06,0.15,0.16,0.15,0.16,18000,0.16
2013-03-05,0.15,0.15,0.15,0.15,000,0.15
2013-03-04,0.15,0.15,0.15,0.15,000,0.15
2013-03-01,0.15,0.15,0.15,0.15,61000,0.15
2013-02-28,0.15,0.15,0.15,0.15,000,0.15
2013-02-27,0.16,0.16,0.15,0.15,80000,0.15
2013-02-26,0.16,0.16,0.16,0.16,10000,0.16
2013-02-25,0.16,0.16,0.16,0.16,5000,0.16
2013-02-22,0.16,0.16,0.16,0.16,000,0.16
2013-02-21,0.16,0.16,0.16,0.16,76000,0.16
2013-02-20,0.16,0.16,0.16,0.16,441000,0.16
2013-02-19,0.16,0.17,0.16,0.17,215000,0.17
2013-02-18,0.16,0.17,0.16,0.16,531000,0.16
2013-02-15,0.16,0.16,0.16,0.16,2000,0.16
2013-02-14,0.16,0.16,0.16,0.16,13000,0.16
2013-02-13,0.16,0.17,0.16,0.16,595000,0.16
2013-02-12,0.16,0.16,0.16,0.16,000,0.16
2013-02-11,0.16,0.16,0.16,0.16,000,0.16
2013-02-08,0.16,0.16,0.16,0.16,000,0.16
2013-02-07,0.17,0.17,0.16,0.16,110000,0.16
2013-02-06,0.17,0.17,0.17,0.17,567000,0.17
2013-02-05,0.17,0.17,0.17,0.17,338000,0.17
