Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,3.29,3.34,3.25,3.33,329000,3.33
2013-06-03,3.31,3.31,3.27,3.28,147000,3.28
2013-05-31,3.38,3.38,3.31,3.31,558000,3.31
2013-05-30,3.36,3.41,3.30,3.37,303000,3.37
2013-05-29,3.36,3.39,3.36,3.38,663000,3.38
2013-05-28,3.37,3.37,3.35,3.35,47000,3.35
2013-05-27,3.38,3.40,3.36,3.38,663000,3.38
2013-05-24,3.37,3.37,3.37,3.37,000,3.37
2013-05-23,3.36,3.38,3.36,3.37,567000,3.37
2013-05-22,3.36,3.37,3.30,3.36,173000,3.36
2013-05-21,3.34,3.40,3.33,3.37,205000,3.37
2013-05-20,3.28,3.33,3.28,3.33,214000,3.33
2013-05-17,3.27,3.29,3.27,3.28,74000,3.28
2013-05-16,3.28,3.28,3.26,3.27,80000,3.27
2013-05-15,3.32,3.32,3.23,3.26,166000,3.26
2013-05-14,3.30,3.33,3.28,3.30,496000,3.30
2013-05-13,3.30,3.32,3.30,3.31,124000,3.31
2013-05-10,3.32,3.32,3.29,3.30,151000,3.30
2013-05-09,3.34,3.34,3.30,3.31,86000,3.31
2013-05-08,3.31,3.33,3.29,3.32,1563000,3.32
2013-05-07,3.38,3.39,3.28,3.29,361000,3.29
2013-05-06,3.38,3.40,3.38,3.38,100000,3.38
2013-05-03,3.44,3.44,3.35,3.40,116000,3.37
2013-05-02,3.43,3.44,3.40,3.42,645000,3.38
2013-05-01,3.42,3.42,3.42,3.42,000,3.38
2013-04-30,3.44,3.44,3.40,3.42,174000,3.38
2013-04-29,3.42,3.44,3.42,3.44,118000,3.40
2013-04-26,3.43,3.44,3.41,3.41,142000,3.37
2013-04-25,3.36,3.40,3.35,3.39,1309000,3.36
2013-04-24,3.36,3.38,3.32,3.34,611000,3.31
2013-04-23,3.35,3.40,3.35,3.36,903000,3.33
2013-04-22,3.36,3.36,3.34,3.35,1404000,3.32
2013-04-19,3.35,3.36,3.34,3.35,167000,3.32
2013-04-18,3.36,3.38,3.34,3.35,126000,3.32
2013-04-17,3.41,3.41,3.37,3.38,181000,3.35
2013-04-16,3.40,3.40,3.36,3.39,797000,3.36
2013-04-15,3.46,3.47,3.42,3.42,136000,3.38
2013-04-12,3.44,3.54,3.44,3.50,361000,3.46
2013-04-11,3.44,3.52,3.44,3.52,533000,3.48
2013-04-10,3.34,3.47,3.30,3.47,1092000,3.43
2013-04-09,3.31,3.32,3.30,3.31,1501000,3.28
2013-04-08,3.34,3.34,3.28,3.28,226000,3.25
2013-04-05,3.34,3.34,3.25,3.30,299000,3.27
2013-04-04,3.30,3.35,3.29,3.31,268000,3.28
2013-04-03,3.32,3.32,3.29,3.29,239000,3.26
2013-04-02,3.29,3.30,3.28,3.30,437000,3.27
2013-04-01,3.30,3.30,3.28,3.29,507000,3.26
2013-03-29,3.28,3.28,3.28,3.28,000,3.25
2013-03-28,3.28,3.29,3.27,3.28,388000,3.25
2013-03-27,3.30,3.30,3.22,3.26,446000,3.23
2013-03-26,3.34,3.34,3.31,3.31,209000,3.28
2013-03-25,3.37,3.37,3.33,3.33,474000,3.30
2013-03-22,3.44,3.44,3.35,3.37,543000,3.34
2013-03-21,3.37,3.44,3.37,3.43,188000,3.39
2013-03-20,3.31,3.43,3.30,3.41,388000,3.37
2013-03-19,3.42,3.46,3.41,3.46,328000,3.42
2013-03-18,3.44,3.44,3.40,3.41,55000,3.37
2013-03-15,3.45,3.45,3.38,3.45,468000,3.41
2013-03-14,3.40,3.40,3.34,3.38,739000,3.35
2013-03-13,3.39,3.42,3.33,3.41,328000,3.37
2013-03-12,3.35,3.40,3.33,3.36,446000,3.33
2013-03-11,3.35,3.35,3.32,3.34,177000,3.31
2013-03-08,3.28,3.33,3.28,3.33,207000,3.30
2013-03-07,3.32,3.34,3.29,3.29,271000,3.26
2013-03-06,3.30,3.34,3.28,3.31,324000,3.28
2013-03-05,3.25,3.30,3.16,3.25,178000,3.22
2013-03-04,3.31,3.31,3.00,3.26,292000,3.23
2013-03-01,3.24,3.32,3.24,3.31,142000,3.28
2013-02-28,3.21,3.24,3.20,3.24,485000,3.21
2013-02-27,3.20,3.23,3.18,3.21,452000,3.18
2013-02-26,3.21,3.22,3.19,3.22,431000,3.19
2013-02-25,3.21,3.21,3.16,3.21,467000,3.18
2013-02-22,3.19,3.21,3.16,3.21,794000,3.18
2013-02-21,3.20,3.21,3.19,3.20,287000,3.17
2013-02-20,3.23,3.24,3.19,3.20,296000,3.17
2013-02-19,3.18,3.24,3.17,3.18,561000,3.15
2013-02-18,3.28,3.28,3.14,3.15,257000,3.12
2013-02-15,3.14,3.28,3.13,3.28,722000,3.25
2013-02-14,3.14,3.14,3.10,3.11,227000,3.08
2013-02-13,3.10,3.13,3.10,3.11,505000,3.08
2013-02-12,3.11,3.11,3.11,3.11,000,3.08
2013-02-11,3.11,3.11,3.11,3.11,000,3.08
2013-02-08,3.15,3.15,3.10,3.11,253000,3.08
2013-02-07,3.18,3.18,3.10,3.12,598000,3.09
2013-02-06,3.08,3.18,3.08,3.11,814000,3.08
2013-02-05,3.00,3.10,2.96,3.09,974000,3.06
2013-02-04,3.02,3.04,3.00,3.03,144000,3.00
2013-02-01,3.00,3.01,2.97,3.00,964000,2.97
2013-01-31,3.02,3.03,2.98,3.03,210000,3.00
2013-01-30,3.01,3.04,3.01,3.03,377000,3.00
2013-01-29,2.98,3.01,2.96,2.99,166000,2.96
2013-01-28,2.99,3.04,2.94,3.01,336000,2.98
2013-01-25,2.90,2.98,2.87,2.97,569000,2.94
2013-01-24,2.89,2.90,2.87,2.90,113000,2.87
2013-01-23,2.90,2.90,2.87,2.89,282000,2.86
2013-01-22,2.88,2.90,2.88,2.90,109000,2.87
2013-01-21,2.90,2.93,2.88,2.88,193000,2.85
2013-01-18,2.85,2.90,2.85,2.90,331000,2.87
2013-01-17,2.89,2.91,2.87,2.89,226000,2.86
2013-01-16,2.90,2.95,2.90,2.92,257000,2.89
2013-01-15,2.86,2.90,2.85,2.90,241000,2.87
2013-01-14,2.90,2.90,2.85,2.87,110000,2.84
2013-01-11,2.84,2.89,2.84,2.88,1216000,2.85
2013-01-10,2.86,2.90,2.86,2.89,550000,2.86
2013-01-09,2.98,2.98,2.85,2.85,479000,2.82
2013-01-08,2.81,2.90,2.81,2.90,903000,2.87
2013-01-07,2.72,2.80,2.72,2.80,484000,2.77
2013-01-04,2.67,2.74,2.67,2.72,509000,2.69
2013-01-03,2.65,2.67,2.64,2.66,198000,2.63
2013-01-02,2.64,2.65,2.62,2.65,256000,2.62
2013-01-01,2.62,2.62,2.62,2.62,000,2.59
2012-12-31,2.61,2.63,2.61,2.62,79000,2.59
2012-12-28,2.61,2.63,2.60,2.62,218000,2.59
2012-12-27,2.60,2.61,2.58,2.61,195000,2.58
2012-12-26,2.58,2.61,2.58,2.60,44000,2.57
2012-12-25,2.62,2.62,2.62,2.62,000,2.59
2012-12-24,2.60,2.62,2.58,2.62,116000,2.59
2012-12-21,2.59,2.60,2.59,2.60,220000,2.57
2012-12-20,2.57,2.58,2.54,2.58,113000,2.55
2012-12-19,2.59,2.62,2.53,2.55,542000,2.52
2012-12-18,2.57,2.58,2.56,2.57,125000,2.54
2012-12-17,2.53,2.55,2.53,2.55,65000,2.52
2012-12-14,2.57,2.57,2.54,2.55,24000,2.52
2012-12-13,2.55,2.59,2.54,2.57,451000,2.54
2012-12-12,2.55,2.57,2.54,2.55,164000,2.52
2012-12-11,2.55,2.56,2.53,2.55,188000,2.52
2012-12-10,2.58,2.58,2.54,2.55,31000,2.52
2012-12-07,2.58,2.59,2.56,2.58,175000,2.55
2012-12-06,2.58,2.58,2.51,2.57,518000,2.54
2012-12-05,2.55,2.56,2.52,2.53,323000,2.50
2012-12-04,2.53,2.53,2.51,2.52,90000,2.49
2012-12-03,2.48,2.52,2.47,2.52,94000,2.49
2012-11-30,2.47,2.49,2.45,2.49,144000,2.46
2012-11-29,2.45,2.47,2.44,2.47,118000,2.44
2012-11-28,2.43,2.44,2.43,2.44,121000,2.41
2012-11-27,2.45,2.45,2.41,2.43,148000,2.40
2012-11-26,2.45,2.47,2.42,2.43,263000,2.40
2012-11-23,2.45,2.46,2.45,2.45,21000,2.42
2012-11-22,2.45,2.45,2.44,2.45,162000,2.42
2012-11-21,2.43,2.47,2.43,2.45,105000,2.42
2012-11-20,2.42,2.45,2.42,2.44,332000,2.41
2012-11-19,2.41,2.43,2.41,2.42,55000,2.40
2012-11-16,2.40,2.45,2.39,2.41,474000,2.39
2012-11-15,2.41,2.42,2.40,2.41,126000,2.39
2012-11-14,2.41,2.43,2.41,2.42,239000,2.40
2012-11-13,2.41,2.41,2.41,2.41,000,2.39
2012-11-12,2.42,2.42,2.41,2.41,171000,2.39
2012-11-09,2.42,2.44,2.41,2.43,127000,2.40
2012-11-08,2.43,2.48,2.43,2.43,91000,2.40
2012-11-07,2.42,2.49,2.41,2.43,97000,2.40
2012-11-06,2.45,2.46,2.41,2.41,155000,2.39
2012-11-05,2.43,2.45,2.43,2.45,131000,2.42
2012-11-02,2.45,2.45,2.43,2.43,159000,2.40
2012-11-01,2.45,2.45,2.43,2.44,76000,2.41
2012-10-31,2.45,2.46,2.45,2.45,101000,2.42
2012-10-30,2.46,2.48,2.46,2.47,130000,2.44
2012-10-29,2.51,2.51,2.47,2.48,227000,2.45
2012-10-26,2.51,2.51,2.51,2.51,000,2.48
2012-10-25,2.50,2.51,2.50,2.51,85000,2.48
2012-10-24,2.51,2.52,2.51,2.52,56000,2.49
2012-10-23,2.53,2.54,2.51,2.53,481000,2.50
2012-10-22,2.50,2.54,2.49,2.53,684000,2.50
2012-10-19,2.53,2.55,2.50,2.50,562000,2.47
2012-10-18,2.52,2.54,2.51,2.53,182000,2.50
2012-10-17,2.53,2.54,2.51,2.51,179000,2.48
2012-10-16,2.57,2.57,2.50,2.53,391000,2.50
2012-10-15,2.53,2.55,2.53,2.54,191000,2.51
2012-10-12,2.53,2.56,2.51,2.52,273000,2.49
2012-10-11,2.46,2.54,2.46,2.52,319000,2.49
2012-10-10,2.46,2.48,2.45,2.46,446000,2.43
2012-10-09,2.46,2.48,2.46,2.47,477000,2.44
2012-10-08,2.45,2.47,2.42,2.46,341000,2.43
2012-10-05,2.45,2.45,2.43,2.45,227000,2.42
2012-10-04,2.44,2.45,2.43,2.44,165000,2.41
