Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.52,0.52,0.52,0.52,35000,0.52
2013-06-03,0.52,0.52,0.51,0.52,37000,0.52
2013-05-31,0.52,0.53,0.52,0.52,190000,0.52
2013-05-30,0.51,0.52,0.50,0.52,229000,0.52
2013-05-29,0.52,0.52,0.51,0.52,142000,0.52
2013-05-28,0.52,0.52,0.52,0.52,153000,0.52
2013-05-27,0.52,0.52,0.51,0.52,159000,0.52
2013-05-24,0.52,0.52,0.52,0.52,000,0.52
2013-05-23,0.51,0.52,0.50,0.52,227000,0.52
2013-05-22,0.50,0.51,0.49,0.51,671000,0.51
2013-05-21,0.50,0.50,0.49,0.50,180000,0.50
2013-05-20,0.50,0.50,0.50,0.50,152000,0.50
2013-05-17,0.49,0.49,0.49,0.49,197000,0.49
2013-05-16,0.50,0.50,0.49,0.49,165000,0.49
2013-05-15,0.49,0.50,0.49,0.50,444000,0.50
2013-05-14,0.48,0.49,0.48,0.49,286000,0.49
2013-05-13,0.47,0.48,0.47,0.48,139000,0.48
2013-05-10,0.47,0.47,0.47,0.47,19000,0.47
2013-05-09,0.47,0.47,0.47,0.47,123000,0.47
2013-05-08,0.47,0.47,0.47,0.47,267000,0.47
2013-05-07,0.47,0.47,0.47,0.47,75000,0.47
2013-05-06,0.47,0.47,0.47,0.47,440000,0.44
2013-05-03,0.47,0.47,0.47,0.47,293000,0.44
2013-05-02,0.48,0.50,0.47,0.47,602000,0.44
2013-05-01,0.47,0.47,0.47,0.47,000,0.44
2013-04-30,0.48,0.48,0.47,0.47,188000,0.44
2013-04-29,0.49,0.49,0.48,0.48,173000,0.44
2013-04-26,0.49,0.49,0.49,0.49,11000,0.45
2013-04-25,0.49,0.49,0.49,0.49,17000,0.45
2013-04-24,0.49,0.49,0.49,0.49,30000,0.45
2013-04-23,0.49,0.49,0.48,0.48,93000,0.44
2013-04-22,0.49,0.49,0.48,0.49,115000,0.45
2013-04-19,0.47,0.48,0.47,0.48,29000,0.44
2013-04-18,0.47,0.48,0.47,0.48,57000,0.44
2013-04-17,0.48,0.48,0.47,0.47,126000,0.44
2013-04-16,0.47,0.47,0.47,0.47,302000,0.44
2013-04-15,0.49,0.49,0.47,0.47,364000,0.44
2013-04-12,0.49,0.49,0.47,0.49,534000,0.45
2013-04-11,0.49,0.49,0.48,0.49,193000,0.45
2013-04-10,0.49,0.49,0.48,0.49,191000,0.45
2013-04-09,0.49,0.50,0.49,0.50,361000,0.46
2013-04-08,0.49,0.50,0.49,0.49,103000,0.45
2013-04-05,0.50,0.50,0.50,0.50,10000,0.46
2013-04-04,0.49,0.49,0.49,0.49,16000,0.45
2013-04-03,0.50,0.50,0.49,0.50,269000,0.46
2013-04-02,0.50,0.50,0.49,0.50,120000,0.46
2013-04-01,0.50,0.50,0.49,0.50,35000,0.46
2013-03-29,0.50,0.50,0.50,0.50,000,0.46
2013-03-28,0.50,0.50,0.50,0.50,13000,0.46
2013-03-27,0.50,0.51,0.50,0.51,140000,0.47
2013-03-26,0.50,0.50,0.49,0.50,116000,0.46
2013-03-25,0.50,0.50,0.50,0.50,36000,0.46
2013-03-22,0.50,0.50,0.50,0.50,40000,0.46
2013-03-21,0.50,0.51,0.50,0.51,129000,0.47
2013-03-20,0.50,0.50,0.50,0.50,37000,0.46
2013-03-19,0.50,0.50,0.50,0.50,31000,0.46
2013-03-18,0.50,0.50,0.49,0.50,39000,0.46
2013-03-15,0.50,0.50,0.50,0.50,216000,0.46
2013-03-14,0.50,0.50,0.50,0.50,52000,0.46
2013-03-13,0.50,0.50,0.50,0.50,79000,0.46
2013-03-12,0.50,0.50,0.50,0.50,43000,0.46
2013-03-11,0.50,0.50,0.50,0.50,99000,0.46
2013-03-08,0.50,0.50,0.49,0.49,35000,0.45
2013-03-07,0.50,0.50,0.50,0.50,40000,0.46
2013-03-06,0.50,0.50,0.50,0.50,126000,0.46
2013-03-05,0.50,0.50,0.49,0.49,31000,0.45
2013-03-04,0.50,0.50,0.49,0.49,90000,0.45
2013-03-01,0.50,0.50,0.50,0.50,63000,0.46
2013-02-28,0.51,0.51,0.50,0.50,81000,0.46
2013-02-27,0.50,0.51,0.50,0.51,284000,0.47
2013-02-26,0.50,0.50,0.49,0.50,38000,0.46
2013-02-25,0.50,0.50,0.50,0.50,83000,0.46
2013-02-22,0.50,0.51,0.50,0.50,213000,0.46
2013-02-21,0.50,0.50,0.50,0.50,31000,0.46
2013-02-20,0.50,0.50,0.50,0.50,151000,0.46
2013-02-19,0.50,0.51,0.50,0.50,147000,0.46
2013-02-18,0.50,0.50,0.50,0.50,79000,0.46
2013-02-15,0.49,0.50,0.49,0.50,721000,0.46
2013-02-14,0.47,0.49,0.47,0.49,138000,0.45
2013-02-13,0.47,0.47,0.47,0.47,188000,0.44
2013-02-12,0.47,0.47,0.47,0.47,000,0.43
2013-02-11,0.47,0.47,0.47,0.47,000,0.43
2013-02-08,0.46,0.47,0.46,0.47,57000,0.43
