Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.49,0.50,0.49,0.50,605000,0.50
2013-06-03,0.49,0.50,0.49,0.49,183000,0.49
2013-05-31,0.49,0.50,0.49,0.49,284000,0.49
2013-05-30,0.50,0.50,0.47,0.50,740000,0.50
2013-05-29,0.51,0.51,0.50,0.50,685000,0.50
2013-05-28,0.47,0.52,0.47,0.50,1369000,0.50
2013-05-27,0.47,0.47,0.47,0.47,120000,0.47
2013-05-24,0.47,0.47,0.47,0.47,000,0.47
2013-05-23,0.48,0.49,0.47,0.47,526000,0.47
2013-05-22,0.47,0.48,0.47,0.48,233000,0.48
2013-05-21,0.47,0.47,0.47,0.47,10000,0.47
2013-05-20,0.47,0.47,0.47,0.47,53000,0.47
2013-05-17,0.46,0.47,0.46,0.47,133000,0.47
2013-05-16,0.47,0.47,0.46,0.46,240000,0.46
2013-05-15,0.47,0.47,0.46,0.47,119000,0.47
2013-05-14,0.47,0.47,0.46,0.46,270000,0.46
2013-05-13,0.47,0.47,0.47,0.47,72000,0.47
2013-05-10,0.47,0.48,0.46,0.48,227000,0.48
2013-05-09,0.46,0.47,0.46,0.47,197000,0.47
2013-05-08,0.46,0.47,0.46,0.46,393000,0.46
2013-05-07,0.47,0.47,0.46,0.46,207000,0.46
2013-05-06,0.47,0.47,0.47,0.47,98000,0.47
2013-05-03,0.47,0.47,0.47,0.47,167000,0.47
2013-05-02,0.47,0.47,0.47,0.47,250000,0.47
2013-05-01,0.47,0.47,0.47,0.47,000,0.47
2013-04-30,0.47,0.47,0.47,0.47,16000,0.47
2013-04-29,0.48,0.48,0.47,0.47,58000,0.47
2013-04-26,0.49,0.49,0.47,0.49,74000,0.48
2013-04-25,0.48,0.49,0.47,0.49,18000,0.48
2013-04-24,0.48,0.48,0.47,0.48,82000,0.47
2013-04-23,0.48,0.48,0.48,0.48,31000,0.47
2013-04-22,0.48,0.49,0.47,0.49,98000,0.48
2013-04-19,0.47,0.48,0.47,0.48,179000,0.47
2013-04-18,0.48,0.48,0.47,0.48,277000,0.47
2013-04-17,0.48,0.49,0.48,0.49,154000,0.48
2013-04-16,0.49,0.49,0.48,0.49,263000,0.48
2013-04-15,0.49,0.49,0.49,0.49,43000,0.48
2013-04-12,0.49,0.50,0.49,0.49,168000,0.48
2013-04-11,0.49,0.50,0.49,0.50,191000,0.49
2013-04-10,0.50,0.50,0.49,0.49,160000,0.48
2013-04-09,0.49,0.50,0.48,0.50,142000,0.49
2013-04-08,0.49,0.50,0.48,0.50,65000,0.49
2013-04-05,0.49,0.50,0.49,0.50,160000,0.49
2013-04-04,0.50,0.50,0.50,0.50,136000,0.49
2013-04-03,0.50,0.50,0.50,0.50,67000,0.50
2013-04-02,0.50,0.50,0.50,0.50,202000,0.49
2013-04-01,0.51,0.51,0.50,0.51,100000,0.51
2013-03-29,0.51,0.51,0.51,0.51,000,0.51
2013-03-28,0.52,0.52,0.51,0.51,592000,0.51
2013-03-27,0.51,0.54,0.51,0.52,2026000,0.52
2013-03-26,0.50,0.50,0.50,0.50,228000,0.49
2013-03-25,0.49,0.50,0.49,0.50,585000,0.49
2013-03-22,0.47,0.48,0.47,0.48,60000,0.47
2013-03-21,0.47,0.49,0.47,0.49,353000,0.48
2013-03-20,0.47,0.48,0.47,0.48,240000,0.47
2013-03-19,0.47,0.47,0.47,0.47,39000,0.47
2013-03-18,0.47,0.47,0.47,0.47,94000,0.47
2013-03-15,0.47,0.47,0.47,0.47,205000,0.47
2013-03-14,0.47,0.47,0.46,0.47,210000,0.47
2013-03-13,0.47,0.47,0.46,0.47,225000,0.47
2013-03-12,0.47,0.47,0.47,0.47,152000,0.47
2013-03-11,0.48,0.48,0.47,0.47,146000,0.47
2013-03-08,0.47,0.48,0.47,0.47,289000,0.47
2013-03-07,0.49,0.49,0.47,0.47,638000,0.47
2013-03-06,0.50,0.50,0.48,0.49,566000,0.48
2013-03-05,0.48,0.50,0.48,0.50,809000,0.49
2013-03-04,0.50,0.52,0.49,0.49,1027000,0.48
2013-03-01,0.53,0.53,0.50,0.50,1124000,0.50
2013-02-28,0.53,0.54,0.53,0.54,892000,0.53
2013-02-27,0.54,0.54,0.53,0.54,775000,0.53
2013-02-26,0.53,0.54,0.52,0.54,492000,0.53
2013-02-25,0.55,0.55,0.54,0.54,609000,0.53
2013-02-22,0.54,0.54,0.53,0.54,350000,0.53
2013-02-21,0.54,0.55,0.54,0.54,421000,0.53
2013-02-20,0.55,0.55,0.55,0.55,577000,0.54
2013-02-19,0.56,0.56,0.54,0.54,241000,0.53
2013-02-18,0.55,0.57,0.55,0.55,986000,0.54
2013-02-15,0.56,0.56,0.55,0.55,688000,0.54
2013-02-14,0.55,0.56,0.55,0.56,1410000,0.55
2013-02-13,0.54,0.55,0.54,0.55,819000,0.54
2013-02-12,0.52,0.52,0.52,0.52,000,0.52
2013-02-11,0.52,0.52,0.52,0.52,000,0.52
2013-02-08,0.52,0.54,0.52,0.52,726000,0.52
2013-02-07,0.55,0.55,0.52,0.53,1301000,0.52
2013-02-06,0.56,0.56,0.54,0.55,1079000,0.54
2013-02-05,0.56,0.56,0.54,0.56,1251000,0.55
2013-02-04,0.57,0.58,0.56,0.57,1072000,0.56
2013-02-01,0.60,0.60,0.57,0.57,2420000,0.57
2013-01-31,0.55,0.62,0.53,0.59,10500000,0.58
2013-01-30,0.51,0.55,0.51,0.55,3889000,0.54
2013-01-29,0.51,0.51,0.50,0.51,615000,0.51
2013-01-28,0.51,0.51,0.50,0.50,1209000,0.50
2013-01-25,0.49,0.51,0.49,0.50,1424000,0.49
2013-01-24,0.47,0.48,0.47,0.48,475000,0.47
2013-01-23,0.48,0.48,0.47,0.47,359000,0.47
2013-01-22,0.47,0.49,0.47,0.47,210000,0.47
2013-01-21,0.49,0.49,0.47,0.47,509000,0.47
2013-01-18,0.49,0.49,0.49,0.49,597000,0.48
2013-01-17,0.50,0.50,0.47,0.48,647000,0.47
2013-01-16,0.50,0.50,0.49,0.50,282000,0.49
2013-01-15,0.51,0.51,0.50,0.50,663000,0.49
2013-01-14,0.52,0.52,0.50,0.51,1354000,0.51
2013-01-11,0.47,0.52,0.47,0.52,5524000,0.51
2013-01-10,0.46,0.47,0.46,0.47,1793000,0.46
2013-01-09,0.46,0.46,0.45,0.46,627000,0.45
2013-01-08,0.46,0.46,0.45,0.46,372000,0.46
2013-01-07,0.45,0.46,0.45,0.46,491000,0.46
2013-01-04,0.45,0.45,0.44,0.45,124000,0.45
2013-01-03,0.47,0.47,0.45,0.45,1019000,0.45
2013-01-02,0.46,0.47,0.45,0.46,1579000,0.46
2013-01-01,0.44,0.44,0.44,0.44,000,0.44
2012-12-31,0.43,0.47,0.43,0.44,1184000,0.44
2012-12-28,0.43,0.43,0.42,0.43,314000,0.42
2012-12-27,0.41,0.43,0.41,0.43,701000,0.42
2012-12-26,0.41,0.42,0.41,0.42,230000,0.42
2012-12-25,0.41,0.41,0.41,0.41,000,0.40
2012-12-24,0.41,0.41,0.41,0.41,100000,0.40
2012-12-21,0.42,0.42,0.41,0.41,125000,0.41
2012-12-20,0.42,0.42,0.41,0.42,388000,0.42
2012-12-19,0.43,0.43,0.42,0.43,474000,0.42
2012-12-18,0.44,0.44,0.43,0.43,107000,0.42
2012-12-17,0.44,0.44,0.44,0.44,118000,0.43
2012-12-14,0.44,0.44,0.43,0.44,233000,0.43
