Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,5.05,5.05,4.96,5.02,624000,4.87
2013-06-03,5.00,5.06,5.00,5.05,309000,4.90
2013-05-31,5.05,5.08,5.03,5.07,366000,4.92
2013-05-30,5.09,5.10,5.05,5.07,977000,4.92
2013-05-29,5.10,5.12,5.09,5.12,994000,4.97
2013-05-28,5.06,5.09,5.06,5.09,436000,4.94
2013-05-27,5.05,5.10,5.04,5.10,605000,4.95
2013-05-24,5.05,5.05,5.05,5.05,000,4.90
2013-05-23,5.09,5.11,5.05,5.05,1128000,4.90
2013-05-22,5.07,5.10,5.07,5.09,625000,4.94
2013-05-21,5.03,5.10,5.02,5.09,936000,4.94
2013-05-20,5.04,5.05,5.00,5.02,369000,4.87
2013-05-17,5.00,5.07,4.96,5.04,1218000,4.89
2013-05-16,5.05,5.07,5.01,5.02,610000,4.87
2013-05-15,5.07,5.16,5.06,5.06,1318000,4.91
2013-05-14,5.29,5.29,5.20,5.23,398000,5.07
2013-05-13,5.30,5.31,5.28,5.29,337000,5.13
2013-05-10,5.27,5.30,5.27,5.29,985000,5.13
2013-05-09,5.29,5.30,5.28,5.29,764000,5.13
2013-05-08,5.29,5.31,5.27,5.29,770000,5.13
2013-05-07,5.25,5.32,5.25,5.29,435000,5.13
2013-05-06,5.22,5.28,5.22,5.28,194000,5.12
2013-05-03,5.23,5.24,5.20,5.23,336000,5.07
2013-05-02,5.04,5.26,5.04,5.06,1312000,4.91
2013-05-01,5.06,5.06,5.06,5.06,000,4.91
2013-04-30,5.05,5.08,5.04,5.06,454000,4.91
2013-04-29,4.96,5.10,4.96,5.10,351000,4.95
2013-04-26,4.96,5.00,4.87,5.00,665000,4.85
2013-04-25,4.98,5.02,4.96,4.96,177000,4.81
2013-04-24,5.03,5.03,4.98,5.00,374000,4.85
2013-04-23,5.04,5.04,5.00,5.00,198000,4.85
2013-04-22,5.04,5.07,5.02,5.06,317000,4.91
2013-04-19,5.00,5.05,4.98,5.04,378000,4.89
2013-04-18,4.97,5.00,4.92,5.00,274000,4.85
2013-04-17,4.98,5.02,4.97,5.02,427000,4.87
2013-04-16,4.89,4.99,4.89,4.98,856000,4.83
2013-04-15,4.89,4.91,4.87,4.89,318000,4.74
2013-04-12,4.86,4.89,4.85,4.87,230000,4.72
2013-04-11,4.82,4.91,4.82,4.90,544000,4.75
2013-04-10,4.78,4.88,4.73,4.87,396000,4.72
2013-04-09,4.76,4.79,4.74,4.78,292000,4.64
2013-04-08,4.72,4.75,4.72,4.75,125000,4.61
2013-04-05,4.76,4.78,4.72,4.72,305000,4.58
2013-04-04,4.75,4.76,4.74,4.74,107000,4.60
2013-04-03,4.78,4.78,4.74,4.75,193000,4.61
2013-04-02,4.77,4.77,4.73,4.76,80000,4.62
2013-04-01,4.76,4.76,4.74,4.76,126000,4.62
2013-03-29,4.74,4.74,4.74,4.74,000,4.60
2013-03-28,4.78,4.81,4.73,4.74,607000,4.60
2013-03-27,4.78,4.83,4.77,4.77,144000,4.63
2013-03-26,4.80,4.80,4.76,4.80,277000,4.66
2013-03-25,4.76,4.80,4.76,4.79,205000,4.65
2013-03-22,4.75,4.80,4.75,4.79,206000,4.65
2013-03-21,4.73,4.79,4.73,4.79,240000,4.65
2013-03-20,4.75,4.75,4.70,4.72,205000,4.58
2013-03-19,4.78,4.79,4.73,4.73,210000,4.59
2013-03-18,4.78,4.80,4.77,4.78,155000,4.64
2013-03-15,4.80,4.85,4.75,4.75,434000,4.61
2013-03-14,4.75,4.80,4.73,4.79,203000,4.65
2013-03-13,4.73,4.76,4.70,4.75,73000,4.61
2013-03-12,4.73,4.77,4.70,4.71,398000,4.57
2013-03-11,4.83,4.83,4.69,4.69,314000,4.55
2013-03-08,4.75,4.79,4.73,4.78,135000,4.64
2013-03-07,4.76,4.77,4.73,4.74,229000,4.60
2013-03-06,4.80,4.81,4.75,4.77,101000,4.63
2013-03-05,4.79,4.80,4.75,4.79,193000,4.65
2013-03-04,4.83,4.84,4.74,4.74,339000,4.60
2013-03-01,4.85,4.90,4.83,4.83,187000,4.69
2013-02-28,4.85,4.92,4.85,4.91,398000,4.76
2013-02-27,4.88,4.88,4.83,4.87,185000,4.72
2013-02-26,4.86,4.88,4.82,4.84,149000,4.70
2013-02-25,4.87,4.88,4.85,4.88,160000,4.73
2013-02-22,4.84,4.88,4.80,4.86,268000,4.71
2013-02-21,4.84,4.85,4.81,4.85,292000,4.71
2013-02-20,4.76,4.88,4.76,4.86,442000,4.71
2013-02-19,4.76,4.78,4.72,4.78,273000,4.64
2013-02-18,4.78,4.80,4.78,4.79,191000,4.65
2013-02-15,4.76,4.78,4.75,4.76,183000,4.62
2013-02-14,4.79,4.80,4.76,4.78,199000,4.64
2013-02-13,4.80,4.80,4.75,4.79,264000,4.65
2013-02-12,4.74,4.74,4.74,4.74,000,4.60
2013-02-11,4.74,4.74,4.74,4.74,000,4.60
2013-02-08,4.73,4.75,4.67,4.74,287000,4.60
2013-02-07,4.78,4.78,4.75,4.75,468000,4.61
2013-02-06,4.98,4.98,4.77,4.79,1437000,4.65
2013-02-05,5.00,5.00,4.97,4.98,292000,4.83
2013-02-04,5.00,5.06,4.97,5.05,624000,4.90
2013-02-01,4.95,4.97,4.94,4.96,388000,4.81
2013-01-31,5.00,5.00,4.94,4.95,459000,4.80
2013-01-30,4.93,5.10,4.92,5.10,706000,4.95
2013-01-29,4.94,4.94,4.90,4.91,187000,4.76
2013-01-28,4.92,4.94,4.91,4.93,336000,4.78
2013-01-25,4.90,4.94,4.86,4.89,464000,4.74
2013-01-24,4.82,4.86,4.82,4.84,241000,4.70
2013-01-23,4.80,4.86,4.80,4.82,778000,4.68
2013-01-22,4.74,4.80,4.74,4.79,259000,4.65
2013-01-21,4.64,4.75,4.64,4.75,1584000,4.61
2013-01-18,4.58,4.64,4.58,4.64,319000,4.50
2013-01-17,4.58,4.62,4.55,4.62,354000,4.48
2013-01-16,4.51,4.59,4.51,4.58,293000,4.44
2013-01-15,4.49,4.56,4.49,4.51,248000,4.38
2013-01-14,4.49,4.57,4.47,4.57,266000,4.43
2013-01-11,4.45,4.51,4.45,4.49,308000,4.36
2013-01-10,4.42,4.48,4.42,4.44,293000,4.31
2013-01-09,4.45,4.45,4.43,4.44,153000,4.31
2013-01-08,4.45,4.45,4.43,4.43,52000,4.30
2013-01-07,4.44,4.45,4.42,4.45,204000,4.32
2013-01-04,4.45,4.45,4.43,4.43,304000,4.30
2013-01-03,4.40,4.45,4.40,4.45,387000,4.32
2013-01-02,4.40,4.42,4.39,4.41,111000,4.28
2013-01-01,4.39,4.39,4.39,4.39,000,4.26
2012-12-31,4.38,4.40,4.37,4.39,48000,4.26
2012-12-28,4.37,4.41,4.37,4.41,127000,4.28
2012-12-27,4.43,4.43,4.40,4.40,73000,4.27
2012-12-26,4.43,4.44,4.40,4.43,157000,4.30
2012-12-25,4.42,4.42,4.42,4.42,000,4.29
2012-12-24,4.34,4.44,4.34,4.42,227000,4.29
2012-12-21,4.38,4.38,4.30,4.30,351000,4.17
2012-12-20,4.39,4.39,4.37,4.38,211000,4.25
