Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,1.37,1.37,1.37,1.37,40000,1.37
2013-06-03,1.37,1.37,1.37,1.37,61000,1.37
2013-05-31,1.37,1.38,1.37,1.38,7000,1.38
2013-05-30,1.37,1.37,1.36,1.37,54000,1.37
2013-05-29,1.38,1.38,1.38,1.38,72000,1.38
2013-05-28,1.37,1.37,1.37,1.37,000,1.37
2013-05-27,1.37,1.37,1.37,1.37,000,1.37
2013-05-24,1.37,1.37,1.37,1.37,000,1.37
2013-05-23,1.38,1.38,1.37,1.37,122000,1.37
2013-05-22,1.38,1.38,1.37,1.38,55000,1.38
2013-05-21,1.38,1.38,1.38,1.38,3000,1.38
2013-05-20,1.38,1.38,1.38,1.38,25000,1.38
2013-05-17,1.38,1.38,1.38,1.38,90000,1.38
2013-05-16,1.38,1.39,1.38,1.39,20000,1.39
2013-05-15,1.38,1.38,1.38,1.38,50000,1.38
2013-05-14,1.38,1.38,1.38,1.38,29000,1.38
2013-05-13,1.37,1.37,1.37,1.37,37000,1.37
2013-05-10,1.37,1.38,1.37,1.38,10000,1.38
2013-05-09,1.37,1.37,1.37,1.37,15000,1.37
2013-05-08,1.38,1.38,1.38,1.38,27000,1.38
2013-05-07,1.38,1.38,1.38,1.38,88000,1.38
2013-05-06,1.38,1.38,1.37,1.38,29000,1.38
2013-05-03,1.37,1.37,1.37,1.37,12000,1.37
2013-05-02,1.38,1.38,1.38,1.43,58000,1.43
2013-05-01,1.43,1.43,1.43,1.43,000,1.38
2013-04-30,1.43,1.43,1.43,1.43,124000,1.38
2013-04-29,1.42,1.43,1.42,1.43,16000,1.38
2013-04-26,1.43,1.43,1.42,1.42,4000,1.38
2013-04-25,1.42,1.42,1.42,1.42,10000,1.38
2013-04-24,1.43,1.43,1.43,1.43,000,1.38
2013-04-23,1.43,1.43,1.43,1.43,62000,1.38
2013-04-22,1.43,1.43,1.43,1.43,6000,1.38
2013-04-19,1.43,1.43,1.42,1.42,7000,1.38
2013-04-18,1.43,1.43,1.43,1.43,25000,1.38
2013-04-17,1.43,1.43,1.42,1.42,38000,1.37
2013-04-16,1.43,1.43,1.42,1.42,33000,1.38
2013-04-15,1.42,1.43,1.42,1.43,48000,1.38
2013-04-12,1.42,1.42,1.42,1.42,53000,1.38
2013-04-11,1.42,1.42,1.42,1.42,28000,1.37
2013-04-10,1.42,1.42,1.42,1.42,17000,1.38
2013-04-09,1.42,1.42,1.42,1.42,000,1.38
2013-04-08,1.42,1.42,1.41,1.42,53000,1.38
2013-04-05,1.42,1.42,1.42,1.42,30000,1.37
2013-04-04,1.42,1.43,1.42,1.42,50000,1.38
2013-04-03,1.41,1.42,1.41,1.42,35000,1.38
2013-04-02,1.42,1.42,1.41,1.41,63000,1.37
2013-04-01,1.42,1.42,1.41,1.41,50000,1.37
2013-03-29,1.42,1.42,1.42,1.42,000,1.37
2013-03-28,1.42,1.42,1.42,1.42,000,1.37
2013-03-27,1.42,1.42,1.42,1.42,22000,1.37
2013-03-26,1.42,1.42,1.42,1.42,36000,1.37
2013-03-25,1.42,1.42,1.42,1.42,176000,1.37
2013-03-22,1.42,1.42,1.42,1.42,128000,1.37
2013-03-21,1.42,1.42,1.41,1.42,48000,1.37
2013-03-20,1.42,1.42,1.42,1.42,30000,1.37
2013-03-19,1.41,1.42,1.41,1.42,20000,1.37
2013-03-18,1.41,1.41,1.41,1.41,12000,1.37
2013-03-15,1.42,1.42,1.42,1.42,9000,1.37
2013-03-14,1.41,1.42,1.41,1.42,30000,1.37
2013-03-13,1.41,1.41,1.41,1.41,44000,1.37
2013-03-12,1.41,1.41,1.41,1.41,10000,1.37
2013-03-11,1.41,1.42,1.41,1.41,15000,1.37
2013-03-08,1.41,1.41,1.41,1.41,64000,1.37
2013-03-07,1.41,1.41,1.41,1.41,32000,1.36
2013-03-06,1.41,1.41,1.41,1.41,102000,1.36
2013-03-05,1.41,1.42,1.41,1.42,33000,1.37
2013-03-04,1.41,1.41,1.41,1.41,83000,1.36
2013-03-01,1.41,1.42,1.41,1.41,89000,1.37
2013-02-28,1.41,1.41,1.41,1.41,16000,1.36
2013-02-27,1.41,1.41,1.41,1.41,66000,1.36
2013-02-26,1.42,1.42,1.41,1.41,117000,1.36
2013-02-25,1.42,1.42,1.42,1.42,72000,1.37
2013-02-22,1.41,1.42,1.41,1.42,14000,1.38
2013-02-21,1.42,1.42,1.42,1.42,161000,1.37
2013-02-20,1.42,1.42,1.42,1.42,154000,1.38
2013-02-19,1.42,1.43,1.42,1.42,248000,1.38
2013-02-18,1.42,1.42,1.42,1.42,271000,1.37
2013-02-15,1.42,1.42,1.42,1.42,43000,1.37
2013-02-14,1.42,1.42,1.42,1.42,78000,1.38
2013-02-13,1.43,1.43,1.42,1.42,63000,1.38
2013-02-12,1.42,1.42,1.42,1.42,000,1.38
2013-02-11,1.42,1.42,1.42,1.42,000,1.38
2013-02-08,1.42,1.42,1.42,1.42,86000,1.38
2013-02-07,1.42,1.42,1.42,1.42,44000,1.37
2013-02-06,1.42,1.42,1.41,1.42,24000,1.37
2013-02-05,1.41,1.41,1.41,1.41,11000,1.36
2013-02-04,1.41,1.41,1.41,1.41,22000,1.36
2013-02-01,1.41,1.41,1.41,1.41,32000,1.36
2013-01-31,1.41,1.41,1.41,1.41,57000,1.36
2013-01-30,1.41,1.42,1.40,1.42,31000,1.37
2013-01-29,1.40,1.40,1.40,1.40,000,1.36
2013-01-28,1.40,1.40,1.40,1.40,56000,1.36
2013-01-25,1.40,1.40,1.40,1.40,13000,1.35
2013-01-24,1.40,1.40,1.40,1.40,10000,1.35
2013-01-23,1.40,1.40,1.40,1.40,3000,1.35
2013-01-22,1.39,1.40,1.39,1.40,14000,1.35
2013-01-21,1.39,1.39,1.39,1.39,000,1.34
2013-01-18,1.39,1.39,1.39,1.39,17000,1.34
2013-01-17,1.39,1.39,1.39,1.39,2000,1.34
2013-01-16,1.39,1.39,1.39,1.39,29000,1.35
2013-01-15,1.39,1.39,1.39,1.39,16000,1.34
2013-01-14,1.40,1.40,1.38,1.40,111000,1.35
2013-01-11,1.40,1.40,1.40,1.40,33000,1.35
2013-01-10,1.40,1.40,1.40,1.40,48000,1.35
2013-01-09,1.39,1.40,1.39,1.40,30000,1.35
2013-01-08,1.40,1.40,1.39,1.39,33000,1.35
2013-01-07,1.39,1.40,1.39,1.39,60000,1.35
2013-01-04,1.40,1.40,1.39,1.39,19000,1.35
2013-01-03,1.39,1.40,1.39,1.40,70000,1.35
2013-01-02,1.38,1.39,1.38,1.39,34000,1.34
2013-01-01,1.38,1.38,1.38,1.38,000,1.33
2012-12-31,1.38,1.38,1.38,1.38,36000,1.33
2012-12-28,1.38,1.39,1.38,1.38,40000,1.33
2012-12-27,1.38,1.38,1.38,1.38,90000,1.33
2012-12-26,1.38,1.38,1.38,1.38,6000,1.33
2012-12-25,1.37,1.37,1.37,1.37,000,1.32
2012-12-24,1.37,1.37,1.37,1.37,000,1.32
2012-12-21,1.37,1.37,1.37,1.37,3000,1.32
2012-12-20,1.37,1.38,1.37,1.38,88000,1.33
2012-12-19,1.37,1.38,1.37,1.38,102000,1.33
2012-12-18,1.37,1.37,1.37,1.37,41000,1.32
2012-12-17,1.37,1.37,1.37,1.37,47000,1.32
2012-12-14,1.37,1.37,1.37,1.37,31000,1.32
2012-12-13,1.36,1.37,1.36,1.37,26000,1.32
2012-12-12,1.37,1.37,1.37,1.37,12000,1.32
2012-12-11,1.36,1.36,1.36,1.36,22000,1.31
2012-12-10,1.36,1.36,1.36,1.36,59000,1.31
2012-12-07,1.36,1.36,1.36,1.36,45000,1.31
2012-12-06,1.36,1.36,1.36,1.36,62000,1.31
2012-12-05,1.36,1.36,1.36,1.36,8000,1.31
2012-12-04,1.36,1.36,1.36,1.36,29000,1.31
2012-12-03,1.36,1.36,1.36,1.36,28000,1.31
2012-11-30,1.36,1.37,1.36,1.37,34000,1.32
2012-11-29,1.36,1.36,1.36,1.36,94000,1.31
2012-11-28,1.36,1.36,1.36,1.36,99000,1.31
2012-11-27,1.36,1.36,1.36,1.36,33000,1.31
2012-11-26,1.35,1.37,1.35,1.36,128000,1.31
2012-11-23,1.36,1.37,1.36,1.37,44000,1.32
2012-11-22,1.36,1.36,1.35,1.35,100000,1.30
2012-11-21,1.35,1.36,1.35,1.36,69000,1.31
2012-11-20,1.35,1.36,1.35,1.35,130000,1.30
2012-11-19,1.35,1.36,1.35,1.36,150000,1.31
2012-11-16,1.35,1.36,1.35,1.36,174000,1.31
2012-11-15,1.35,1.36,1.35,1.36,434000,1.31
2012-11-14,1.35,1.36,1.34,1.36,942000,1.31
2012-11-13,1.38,1.38,1.38,1.38,000,1.33
2012-11-12,1.37,1.38,1.37,1.38,200000,1.33
2012-11-09,1.36,1.37,1.36,1.37,21000,1.32
2012-11-08,1.37,1.37,1.37,1.37,16000,1.32
2012-11-07,1.38,1.38,1.38,1.38,4000,1.33
2012-11-06,1.37,1.38,1.37,1.38,17000,1.33
2012-11-05,1.36,1.38,1.36,1.37,35000,1.32
2012-11-02,1.37,1.37,1.37,1.37,8000,1.32
2012-11-01,1.37,1.37,1.37,1.37,8000,1.32
2012-10-31,1.37,1.38,1.37,1.38,22000,1.33
2012-10-30,1.38,1.38,1.37,1.37,73000,1.32
2012-10-29,1.38,1.38,1.38,1.38,110000,1.33
2012-10-26,1.39,1.39,1.39,1.39,000,1.34
2012-10-25,1.39,1.40,1.38,1.39,80000,1.34
2012-10-24,1.38,1.38,1.38,1.38,154000,1.34
2012-10-23,1.39,1.39,1.38,1.38,91000,1.34
2012-10-22,1.38,1.39,1.38,1.39,127000,1.34
2012-10-19,1.40,1.40,1.38,1.39,167000,1.34
2012-10-18,1.41,1.41,1.41,1.41,8000,1.37
2012-10-17,1.41,1.41,1.41,1.41,3000,1.36
2012-10-16,1.42,1.42,1.41,1.41,7000,1.36
2012-10-15,1.41,1.42,1.40,1.42,113000,1.37
2012-10-12,1.42,1.42,1.40,1.41,529000,1.36
2012-10-11,1.53,1.54,1.53,1.54,414000,1.49
2012-10-10,1.54,1.54,1.53,1.54,258000,1.49
2012-10-09,1.54,1.54,1.53,1.54,492000,1.49
2012-10-08,1.55,1.55,1.53,1.54,323000,1.49
2012-10-05,1.54,1.55,1.54,1.54,162000,1.49
2012-10-04,1.53,1.54,1.53,1.54,347000,1.49
2012-10-03,1.52,1.53,1.52,1.52,347000,1.47
2012-10-02,1.51,1.52,1.51,1.52,350000,1.47
2012-10-01,1.50,1.51,1.50,1.51,358000,1.46
2012-09-28,1.51,1.51,1.51,1.51,222000,1.46
2012-09-27,1.50,1.51,1.50,1.51,187000,1.46
2012-09-26,1.50,1.51,1.50,1.50,200000,1.45
2012-09-25,1.50,1.50,1.50,1.50,146000,1.45
2012-09-24,1.50,1.50,1.50,1.50,125000,1.45
2012-09-21,1.50,1.50,1.50,1.50,499000,1.45
2012-09-20,1.50,1.50,1.50,1.50,173000,1.45
2012-09-19,1.52,1.52,1.50,1.50,186000,1.45
2012-09-18,1.54,1.54,1.51,1.51,738000,1.46
2012-09-17,1.55,1.55,1.55,1.55,31000,1.50
2012-09-14,1.55,1.55,1.54,1.54,30000,1.49
2012-09-13,1.55,1.55,1.55,1.55,48000,1.50
2012-09-12,1.55,1.55,1.55,1.55,14000,1.50
2012-09-11,1.56,1.56,1.56,1.56,20000,1.51
2012-09-10,1.55,1.55,1.55,1.55,35000,1.50
2012-09-07,1.54,1.54,1.54,1.54,000,1.49
2012-09-06,1.54,1.54,1.54,1.54,19000,1.49
2012-09-05,1.54,1.54,1.54,1.54,10000,1.49
2012-09-04,1.53,1.53,1.53,1.53,000,1.48
2012-09-03,1.53,1.53,1.53,1.53,000,1.48
2012-08-31,1.53,1.53,1.53,1.53,000,1.48
2012-08-30,1.53,1.53,1.53,1.53,5000,1.48
2012-08-29,1.54,1.54,1.54,1.54,53000,1.49
2012-08-28,1.54,1.55,1.54,1.55,25000,1.50
