Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.10,0.10,0.10,0.10,000,0.10
2013-06-03,0.10,0.10,0.10,0.10,000,0.10
2013-05-31,0.10,0.10,0.10,0.10,000,0.10
2013-05-30,0.10,0.10,0.10,0.10,000,0.10
2013-05-29,0.10,0.10,0.10,0.10,20000,0.10
2013-05-28,0.10,0.10,0.09,0.09,80000,0.09
2013-05-27,0.13,0.13,0.13,0.13,120000,0.13
2013-05-24,0.14,0.14,0.14,0.14,000,0.14
2013-05-23,0.14,0.14,0.14,0.14,000,0.14
2013-05-22,0.14,0.14,0.14,0.14,000,0.14
2013-05-21,0.14,0.14,0.14,0.14,000,0.14
2013-05-20,0.14,0.14,0.14,0.14,000,0.14
2013-05-17,0.14,0.14,0.14,0.14,000,0.14
2013-05-16,0.14,0.14,0.14,0.14,000,0.14
2013-05-15,0.14,0.14,0.14,0.14,000,0.14
2013-05-14,0.14,0.14,0.14,0.14,000,0.14
2013-05-13,0.14,0.14,0.14,0.14,000,0.14
2013-05-10,0.14,0.14,0.14,0.14,40000,0.14
2013-05-09,0.14,0.14,0.14,0.14,000,0.14
2013-05-08,0.14,0.14,0.14,0.14,000,0.14
2013-05-07,0.14,0.14,0.14,0.14,000,0.14
2013-05-06,0.14,0.14,0.14,0.14,000,0.14
2013-05-03,0.14,0.14,0.14,0.14,25000,0.14
2013-05-02,0.13,0.13,0.13,0.13,000,0.13
2013-05-01,0.13,0.13,0.13,0.13,000,0.13
2013-04-30,0.13,0.13,0.13,0.13,50000,0.13
2013-04-29,0.14,0.14,0.14,0.14,000,0.14
2013-04-26,0.14,0.14,0.14,0.14,000,0.14
2013-04-25,0.14,0.14,0.14,0.14,000,0.14
2013-04-24,0.14,0.14,0.14,0.14,000,0.14
2013-04-23,0.14,0.14,0.14,0.14,30000,0.14
2013-04-22,0.13,0.13,0.13,0.13,000,0.13
2013-04-19,0.13,0.13,0.13,0.13,000,0.13
2013-04-18,0.13,0.13,0.13,0.13,000,0.13
2013-04-17,0.13,0.13,0.13,0.13,110000,0.13
2013-04-16,0.13,0.13,0.13,0.13,000,0.13
2013-04-15,0.13,0.13,0.13,0.13,3000,0.13
2013-04-12,0.14,0.14,0.14,0.14,000,0.14
2013-04-11,0.14,0.14,0.14,0.14,000,0.14
2013-04-10,0.14,0.14,0.14,0.14,000,0.14
2013-04-09,0.14,0.14,0.14,0.14,000,0.14
