Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,4.30,4.33,4.27,4.32,7383000,4.32
2013-06-03,4.26,4.32,4.25,4.30,4540000,4.30
2013-05-31,4.32,4.34,4.27,4.27,18561000,4.27
2013-05-30,4.41,4.41,4.31,4.36,12063000,4.36
2013-05-29,4.48,4.50,4.42,4.43,8512000,4.43
2013-05-28,4.55,4.56,4.46,4.47,16000000,4.47
2013-05-27,4.37,4.41,4.35,4.39,3403000,4.39
2013-05-24,4.37,4.37,4.37,4.37,000,4.37
2013-05-23,4.44,4.46,4.35,4.37,6599000,4.37
2013-05-22,4.44,4.47,4.43,4.45,3284000,4.45
2013-05-21,4.43,4.44,4.40,4.43,2981000,4.43
2013-05-20,4.42,4.46,4.42,4.44,3752000,4.44
2013-05-17,4.43,4.44,4.41,4.41,2307000,4.41
2013-05-16,4.45,4.45,4.41,4.41,2455000,4.41
2013-05-15,4.45,4.45,4.39,4.44,4188000,4.44
2013-05-14,4.38,4.46,4.37,4.43,8443000,4.43
2013-05-13,4.40,4.42,4.36,4.37,2152000,4.37
2013-05-10,4.42,4.43,4.39,4.40,3482000,4.40
2013-05-09,4.40,4.43,4.40,4.41,6501000,4.41
2013-05-08,4.36,4.41,4.36,4.38,5415000,4.38
2013-05-07,4.36,4.37,4.35,4.37,2822000,4.37
2013-05-06,4.45,4.45,4.39,4.41,5077000,4.34
2013-05-03,4.43,4.43,4.40,4.42,3303000,4.35
2013-05-02,4.43,4.44,4.38,4.46,5669000,4.39
2013-05-01,4.46,4.46,4.46,4.46,000,4.39
2013-04-30,4.40,4.47,4.39,4.46,10737000,4.39
2013-04-29,4.37,4.39,4.35,4.39,4429000,4.32
2013-04-26,4.32,4.36,4.30,4.36,4751000,4.29
2013-04-25,4.31,4.34,4.31,4.32,5396000,4.25
2013-04-24,4.34,4.35,4.30,4.31,4367000,4.24
2013-04-23,4.36,4.38,4.30,4.31,6491000,4.24
2013-04-22,4.30,4.37,4.28,4.35,8684000,4.28
2013-04-19,4.28,4.31,4.26,4.28,5888000,4.21
2013-04-18,4.23,4.33,4.23,4.28,13530000,4.21
2013-04-17,4.32,4.34,4.22,4.23,21122000,4.16
2013-04-16,4.34,4.34,4.30,4.32,11670000,4.25
2013-04-15,4.53,4.53,4.33,4.34,34882000,4.27
2013-04-12,4.64,4.65,4.59,4.60,3482000,4.53
2013-04-11,4.66,4.68,4.64,4.65,6017000,4.58
2013-04-10,4.59,4.65,4.58,4.65,5375000,4.58
2013-04-09,4.59,4.66,4.54,4.62,8710000,4.55
2013-04-08,4.60,4.60,4.53,4.60,3016000,4.53
2013-04-05,4.56,4.60,4.55,4.59,3628000,4.52
2013-04-04,4.57,4.59,4.53,4.58,2856000,4.51
2013-04-03,4.48,4.62,4.46,4.59,8373000,4.52
2013-04-02,4.45,4.49,4.42,4.49,4781000,4.42
2013-04-01,4.48,4.49,4.43,4.44,3730000,4.37
2013-03-29,4.48,4.48,4.48,4.48,000,4.41
2013-03-28,4.47,4.49,4.45,4.48,5052000,4.41
2013-03-27,4.45,4.47,4.44,4.46,3024000,4.39
2013-03-26,4.45,4.47,4.42,4.44,5879000,4.37
2013-03-25,4.45,4.48,4.42,4.44,3208000,4.37
2013-03-22,4.44,4.46,4.41,4.45,5100000,4.38
2013-03-21,4.41,4.45,4.40,4.42,5053000,4.35
2013-03-20,4.49,4.49,4.41,4.41,11469000,4.34
2013-03-19,4.46,4.51,4.46,4.51,4043000,4.44
2013-03-18,4.47,4.49,4.41,4.49,4765000,4.42
2013-03-15,4.50,4.52,4.49,4.52,7200000,4.45
2013-03-14,4.43,4.50,4.40,4.49,7700000,4.42
2013-03-13,4.48,4.49,4.35,4.45,11846000,4.38
2013-03-12,4.34,4.48,4.34,4.48,19046000,4.41
2013-03-11,4.25,4.33,4.24,4.31,12175000,4.24
2013-03-08,4.19,4.20,4.17,4.17,2204000,4.10
2013-03-07,4.20,4.20,4.18,4.20,4041000,4.13
2013-03-06,4.18,4.20,4.17,4.20,4088000,4.13
2013-03-05,4.17,4.18,4.15,4.15,2213000,4.08
2013-03-04,4.18,4.19,4.14,4.15,2590000,4.08
2013-03-01,4.17,4.19,4.15,4.19,3375000,4.12
2013-02-28,4.19,4.19,4.15,4.18,4027000,4.11
2013-02-27,4.16,4.18,4.15,4.17,3674000,4.10
2013-02-26,4.13,4.15,4.13,4.15,2541000,4.08
2013-02-25,4.14,4.15,4.12,4.15,2187000,4.08
2013-02-22,4.11,4.15,4.11,4.15,2512000,4.08
2013-02-21,4.12,4.13,4.10,4.12,2575000,4.05
2013-02-20,4.15,4.15,4.12,4.14,4165000,4.07
2013-02-19,4.11,4.13,4.09,4.13,3829000,4.06
2013-02-18,4.11,4.11,4.09,4.10,2020000,4.03
2013-02-15,4.11,4.12,4.08,4.12,3555000,4.05
2013-02-14,4.11,4.12,4.08,4.10,2952000,4.03
2013-02-13,4.11,4.11,4.09,4.11,2613000,4.04
2013-02-12,4.09,4.09,4.09,4.09,000,4.03
2013-02-11,4.09,4.09,4.09,4.09,000,4.03
2013-02-08,4.07,4.10,4.06,4.09,3022000,4.03
2013-02-07,4.10,4.11,4.05,4.06,4050000,4.00
2013-02-06,4.09,4.11,4.08,4.11,4840000,4.04
2013-02-05,4.08,4.08,4.06,4.08,2775000,4.02
2013-02-04,4.08,4.10,4.07,4.09,3529000,4.03
2013-02-01,4.09,4.09,4.06,4.07,3456000,4.01
2013-01-31,4.08,4.10,4.05,4.10,5929000,4.03
2013-01-30,4.07,4.08,4.06,4.06,2466000,4.00
2013-01-29,4.05,4.09,4.05,4.06,2767000,4.00
2013-01-28,4.06,4.07,4.05,4.05,2845000,3.99
2013-01-25,4.04,4.07,4.04,4.07,2978000,4.01
2013-01-24,4.05,4.06,4.03,4.04,2376000,3.98
2013-01-23,4.04,4.07,4.04,4.05,2903000,3.99
2013-01-22,4.04,4.05,4.03,4.03,2771000,3.97
2013-01-21,4.07,4.07,4.03,4.04,5025000,3.98
2013-01-18,4.08,4.08,4.05,4.08,4014000,4.02
2013-01-17,4.08,4.08,4.05,4.06,3461000,4.00
2013-01-16,4.07,4.08,4.05,4.08,2165000,4.02
2013-01-15,4.10,4.11,4.05,4.07,3993000,4.01
2013-01-14,4.11,4.12,4.09,4.11,1327000,4.04
2013-01-11,4.11,4.12,4.09,4.12,2264000,4.05
2013-01-10,4.08,4.11,4.08,4.10,3361000,4.03
2013-01-09,4.09,4.09,4.08,4.09,2163000,4.03
2013-01-08,4.06,4.09,4.06,4.09,2772000,4.03
2013-01-07,4.08,4.09,4.06,4.06,2101000,4.00
2013-01-04,4.09,4.09,4.07,4.09,2486000,4.03
2013-01-03,4.06,4.09,4.05,4.09,4604000,4.03
2013-01-02,4.04,4.06,4.03,4.05,3006000,3.99
2013-01-01,4.03,4.03,4.03,4.03,000,3.97
2012-12-31,4.03,4.04,4.02,4.03,3685000,3.97
2012-12-28,4.06,4.07,4.04,4.06,1857000,4.00
2012-12-27,4.06,4.07,4.05,4.05,1566000,3.99
2012-12-26,4.06,4.07,4.04,4.06,1359000,4.00
2012-12-25,4.05,4.05,4.05,4.05,000,3.99
2012-12-24,4.05,4.06,4.04,4.05,532000,3.99
2012-12-21,4.06,4.07,4.04,4.04,1904000,3.98
2012-12-20,4.05,4.06,4.04,4.06,2608000,4.00
2012-12-19,4.01,4.04,4.00,4.04,2352000,3.98
2012-12-18,4.02,4.04,3.99,3.99,5415000,3.93
2012-12-17,4.03,4.05,4.01,4.02,2120000,3.96
2012-12-14,4.03,4.04,4.02,4.03,2967000,3.97
2012-12-13,4.01,4.02,4.00,4.02,3748000,3.96
2012-12-12,4.02,4.04,3.98,4.00,6579000,3.94
2012-12-11,4.00,4.02,3.99,4.02,3576000,3.96
2012-12-10,4.01,4.02,3.98,3.99,5327000,3.93
2012-12-07,4.01,4.02,3.99,4.01,9209000,3.95
2012-12-06,4.18,4.18,4.16,4.18,5891000,4.03
2012-12-05,4.17,4.18,4.16,4.18,4811000,4.03
2012-12-04,4.16,4.17,4.15,4.17,1958000,4.02
2012-12-03,4.17,4.18,4.15,4.16,2992000,4.01
2012-11-30,4.20,4.20,4.16,4.17,6326000,4.02
2012-11-29,4.13,4.17,4.12,4.17,5594000,4.02
2012-11-28,4.09,4.13,4.08,4.12,4445000,3.97
