Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.26,0.26,0.26,0.26,96000,0.26
2013-06-03,0.26,0.26,0.26,0.26,100000,0.26
2013-05-31,0.26,0.27,0.26,0.26,322000,0.26
2013-05-30,0.27,0.27,0.26,0.26,104000,0.26
2013-05-29,0.26,0.26,0.26,0.26,000,0.26
2013-05-28,0.26,0.26,0.26,0.26,100000,0.26
2013-05-27,0.26,0.26,0.26,0.26,37000,0.26
2013-05-24,0.27,0.27,0.27,0.27,000,0.27
2013-05-23,0.26,0.27,0.26,0.27,130000,0.27
2013-05-22,0.26,0.27,0.26,0.26,214000,0.26
2013-05-21,0.26,0.26,0.26,0.26,70000,0.26
2013-05-20,0.26,0.26,0.26,0.26,34000,0.26
2013-05-17,0.28,0.28,0.28,0.28,000,0.28
2013-05-16,0.26,0.28,0.26,0.28,8000,0.28
2013-05-15,0.25,0.25,0.25,0.25,56000,0.25
2013-05-14,0.27,0.27,0.27,0.27,000,0.27
2013-05-13,0.27,0.27,0.27,0.27,000,0.27
2013-05-10,0.27,0.27,0.27,0.27,000,0.27
2013-05-09,0.27,0.27,0.26,0.27,299000,0.27
2013-05-08,0.27,0.27,0.27,0.27,33000,0.27
2013-05-07,0.25,0.27,0.25,0.27,28000,0.27
2013-05-06,0.26,0.26,0.26,0.26,000,0.26
2013-05-03,0.26,0.26,0.26,0.26,000,0.26
2013-05-02,0.26,0.26,0.26,0.26,25000,0.26
2013-05-01,0.26,0.26,0.26,0.26,000,0.26
2013-04-30,0.26,0.26,0.26,0.26,86000,0.26
2013-04-29,0.27,0.27,0.27,0.27,135000,0.26
2013-04-26,0.27,0.27,0.27,0.27,185000,0.26
2013-04-25,0.27,0.27,0.27,0.27,280000,0.26
2013-04-24,0.28,0.28,0.27,0.27,261000,0.26
2013-04-23,0.27,0.27,0.27,0.27,35000,0.26
2013-04-22,0.26,0.28,0.26,0.28,4000,0.27
2013-04-19,0.26,0.26,0.26,0.26,5000,0.25
2013-04-18,0.27,0.27,0.27,0.27,10000,0.26
2013-04-17,0.28,0.28,0.28,0.28,000,0.27
2013-04-16,0.28,0.28,0.28,0.28,86000,0.27
2013-04-15,0.27,0.27,0.27,0.27,000,0.26
2013-04-12,0.27,0.27,0.27,0.27,90000,0.26
2013-04-11,0.27,0.27,0.26,0.26,343000,0.25
2013-04-10,0.26,0.27,0.26,0.26,207000,0.26
2013-04-09,0.26,0.26,0.26,0.26,17000,0.25
2013-04-08,0.27,0.27,0.27,0.27,000,0.26
