Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,1.53,1.53,1.53,1.53,22000,1.53
2013-06-03,1.53,1.53,1.53,1.53,3000,1.53
2013-05-31,1.54,1.54,1.54,1.54,000,1.54
2013-05-30,1.54,1.54,1.54,1.54,000,1.54
2013-05-29,1.54,1.54,1.54,1.54,3000,1.54
2013-05-28,1.54,1.54,1.54,1.54,000,1.54
2013-05-27,1.54,1.54,1.54,1.54,000,1.54
2013-05-24,1.54,1.54,1.54,1.54,000,1.54
2013-05-23,1.54,1.54,1.54,1.54,19000,1.54
2013-05-22,1.54,1.54,1.54,1.54,2000,1.54
2013-05-21,1.53,1.53,1.53,1.53,7000,1.53
2013-05-20,1.55,1.56,1.55,1.55,51000,1.55
2013-05-17,1.55,1.55,1.55,1.55,14000,1.55
2013-05-16,1.55,1.55,1.55,1.55,1000,1.55
2013-05-15,1.55,1.55,1.55,1.55,24000,1.55
2013-05-14,1.53,1.55,1.53,1.55,8000,1.55
2013-05-13,1.53,1.53,1.53,1.53,5000,1.53
2013-05-10,1.56,1.56,1.54,1.54,25000,1.54
2013-05-09,1.55,1.55,1.55,1.55,2000,1.55
2013-05-08,1.55,1.56,1.55,1.55,37000,1.55
2013-05-07,1.55,1.55,1.55,1.55,1000,1.55
2013-05-06,1.54,1.54,1.54,1.54,000,1.54
2013-05-03,1.54,1.54,1.54,1.54,5000,1.54
2013-05-02,1.54,1.54,1.54,1.55,18000,1.55
2013-05-01,1.55,1.55,1.55,1.55,000,1.55
2013-04-30,1.55,1.55,1.55,1.55,000,1.55
2013-04-29,1.55,1.55,1.55,1.55,51000,1.55
2013-04-26,1.55,1.55,1.54,1.54,55000,1.54
2013-04-25,1.54,1.54,1.54,1.54,000,1.54
2013-04-24,1.54,1.54,1.54,1.54,000,1.54
2013-04-23,1.54,1.54,1.54,1.54,4000,1.54
2013-04-22,1.54,1.55,1.54,1.54,11000,1.54
2013-04-19,1.54,1.55,1.54,1.54,7000,1.54
2013-04-18,1.55,1.55,1.55,1.55,26000,1.55
2013-04-17,1.55,1.55,1.55,1.55,17000,1.55
2013-04-16,1.55,1.55,1.55,1.55,6000,1.55
2013-04-15,1.54,1.54,1.54,1.54,1000,1.54
2013-04-12,1.54,1.54,1.54,1.54,000,1.54
2013-04-11,1.55,1.55,1.54,1.54,22000,1.54
2013-04-10,1.55,1.55,1.54,1.54,23000,1.54
2013-04-09,1.55,1.55,1.54,1.54,16000,1.54
2013-04-08,1.54,1.54,1.54,1.54,11000,1.54
2013-04-05,1.55,1.55,1.55,1.55,000,1.55
2013-04-04,1.55,1.55,1.55,1.55,18000,1.55
2013-04-03,1.55,1.55,1.55,1.55,5000,1.55
2013-04-02,1.53,1.53,1.53,1.53,1000,1.53
2013-04-01,1.55,1.55,1.55,1.55,000,1.55
2013-03-29,1.55,1.55,1.55,1.55,000,1.55
2013-03-28,1.55,1.55,1.55,1.55,4000,1.55
2013-03-27,1.54,1.54,1.54,1.54,3000,1.54
2013-03-26,1.55,1.55,1.55,1.55,000,1.55
2013-03-25,1.55,1.55,1.55,1.55,000,1.55
2013-03-22,1.55,1.55,1.55,1.55,2000,1.55
2013-03-21,1.54,1.54,1.54,1.54,3000,1.54
