Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,3.76,3.76,3.76,3.76,000,3.76
2013-06-03,3.76,3.76,3.76,3.76,000,3.76
2013-05-31,3.80,3.80,3.75,3.76,8100,3.76
2013-05-30,3.85,3.85,3.76,3.76,2800,3.76
2013-05-29,3.91,3.91,3.90,3.90,3100,3.90
2013-05-28,3.95,3.95,3.95,3.95,800,3.95
2013-05-27,3.90,3.94,3.90,3.93,2300,3.93
2013-05-24,4.04,4.04,4.04,4.04,000,4.04
2013-05-23,4.04,4.04,4.04,4.04,000,4.04
2013-05-22,4.01,4.04,4.01,4.04,5300,4.04
2013-05-21,4.03,4.03,4.00,4.00,6600,4.00
2013-05-20,4.04,4.06,4.04,4.06,17300,4.06
2013-05-17,4.00,4.00,3.99,4.00,8800,4.00
2013-05-16,3.96,3.96,3.96,3.96,2100,3.96
2013-05-15,4.00,4.02,3.99,4.00,14600,4.00
2013-05-14,3.90,3.97,3.90,3.97,9000,3.97
2013-05-13,3.90,3.94,3.90,3.94,4700,3.94
2013-05-10,3.89,3.89,3.88,3.88,4300,3.88
2013-05-09,3.88,3.88,3.88,3.88,400,3.88
2013-05-08,3.84,3.84,3.82,3.82,8500,3.82
2013-05-07,3.82,3.82,3.82,3.82,000,3.82
2013-05-06,3.79,3.82,3.79,3.82,1600,3.82
2013-05-03,3.78,3.78,3.78,3.78,300,3.78
2013-05-02,3.93,3.93,3.91,3.91,5000,3.91
2013-05-01,3.91,3.91,3.91,3.91,000,3.91
2013-04-30,3.84,3.91,3.84,3.91,6500,3.91
2013-04-29,3.72,3.79,3.72,3.79,2200,3.79
2013-04-26,3.73,3.73,3.73,3.73,600,3.73
2013-04-25,3.70,3.75,3.70,3.75,2300,3.75
2013-04-24,3.66,3.66,3.66,3.66,100,3.66
2013-04-23,3.73,3.73,3.64,3.67,2100,3.67
2013-04-22,3.66,3.68,3.66,3.68,1400,3.68
2013-04-19,3.74,3.74,3.71,3.71,1200,3.71
2013-04-18,3.66,3.70,3.66,3.70,4400,3.70
2013-04-17,3.63,3.63,3.63,3.63,2000,3.63
2013-04-16,3.62,3.62,3.62,3.62,700,3.62
2013-04-15,3.60,3.60,3.60,3.60,000,3.60
2013-04-12,3.60,3.60,3.60,3.60,000,3.60
2013-04-11,3.60,3.60,3.60,3.60,500,3.60
2013-04-10,3.62,3.62,3.62,3.62,700,3.62
2013-04-09,3.61,3.61,3.61,3.61,000,3.61
2013-04-08,3.61,3.62,3.61,3.61,1600,3.61
2013-04-05,3.64,3.64,3.64,3.64,000,3.64
2013-04-04,3.60,3.64,3.60,3.64,2500,3.64
2013-04-03,3.58,3.58,3.58,3.58,000,3.58
2013-04-02,3.58,3.58,3.58,3.58,000,3.58
2013-04-01,3.55,3.58,3.55,3.58,1200,3.58
2013-03-29,3.60,3.60,3.60,3.60,000,3.60
2013-03-28,3.60,3.60,3.60,3.60,000,3.60
2013-03-27,3.60,3.60,3.60,3.60,000,3.60
2013-03-26,3.60,3.60,3.60,3.60,1300,3.60
2013-03-25,3.60,3.60,3.60,3.60,500,3.60
2013-03-22,3.58,3.58,3.58,3.58,000,3.58
2013-03-21,3.55,3.58,3.55,3.58,1500,3.58
2013-03-20,3.50,3.50,3.50,3.50,800,3.50
2013-03-19,3.57,3.57,3.57,3.57,1000,3.57
2013-03-18,3.57,3.57,3.57,3.57,100,3.57
2013-03-15,3.62,3.62,3.59,3.60,2300,3.60
2013-03-14,3.59,3.61,3.57,3.60,10900,3.60
2013-03-13,3.53,3.53,3.53,3.53,000,3.53
2013-03-12,3.52,3.55,3.52,3.53,700,3.53
2013-03-11,3.46,3.46,3.46,3.46,000,3.46
2013-03-08,3.46,3.46,3.46,3.46,000,3.46
2013-03-07,3.46,3.46,3.46,3.46,000,3.46
2013-03-06,3.44,3.46,3.44,3.46,1500,3.46
2013-03-05,3.45,3.45,3.45,3.45,5700,3.45
2013-03-04,3.44,3.44,3.41,3.42,4100,3.42
2013-03-01,3.43,3.43,3.43,3.43,100,3.43
2013-02-28,3.49,3.49,3.49,3.49,000,3.49
2013-02-27,3.49,3.49,3.49,3.49,000,3.49
2013-02-26,3.49,3.49,3.49,3.49,000,3.49
2013-02-25,3.49,3.49,3.49,3.49,000,3.49
2013-02-22,3.49,3.49,3.49,3.49,1000,3.49
2013-02-21,3.53,3.53,3.53,3.53,800,3.53
2013-02-20,3.57,3.57,3.57,3.57,2600,3.57
2013-02-19,3.45,3.45,3.45,3.45,000,3.45
2013-02-18,3.45,3.45,3.45,3.45,000,3.45
2013-02-15,3.50,3.50,3.45,3.45,600,3.45
2013-02-14,3.60,3.60,3.54,3.54,1300,3.54
2013-02-13,3.58,3.61,3.58,3.61,4900,3.61
2013-02-12,3.57,3.57,3.57,3.57,000,3.57
2013-02-11,3.57,3.57,3.57,3.57,000,3.57
2013-02-08,3.56,3.57,3.56,3.57,2200,3.57
2013-02-07,3.52,3.53,3.52,3.53,1000,3.53
2013-02-06,3.46,3.46,3.46,3.46,000,3.46
2013-02-05,3.45,3.46,3.45,3.46,2300,3.46
2013-02-04,3.50,3.53,3.49,3.49,6900,3.49
2013-02-01,3.47,3.47,3.47,3.47,1000,3.47
2013-01-31,3.46,3.46,3.46,3.46,300,3.46
2013-01-30,3.47,3.49,3.47,3.49,10300,3.49
2013-01-29,3.46,3.46,3.46,3.46,000,3.46
2013-01-28,3.46,3.46,3.45,3.46,2300,3.46
2013-01-25,3.40,3.40,3.40,3.40,000,3.40
2013-01-24,3.40,3.40,3.40,3.40,500,3.40
2013-01-23,3.47,3.47,3.42,3.42,2300,3.42
2013-01-22,3.48,3.48,3.48,3.48,000,3.48
2013-01-21,3.48,3.48,3.48,3.48,000,3.48
2013-01-18,3.46,3.48,3.46,3.48,800,3.48
2013-01-17,3.37,3.37,3.37,3.37,000,3.37
2013-01-16,3.37,3.37,3.37,3.37,000,3.37
2013-01-15,3.37,3.37,3.37,3.37,100,3.37
2013-01-14,3.40,3.40,3.40,3.40,1100,3.40
2013-01-11,3.35,3.35,3.35,3.35,500,3.35
2013-01-10,3.34,3.34,3.34,3.34,000,3.34
2013-01-09,3.34,3.34,3.34,3.34,000,3.34
2013-01-08,3.34,3.34,3.34,3.34,000,3.34
2013-01-07,3.34,3.34,3.34,3.34,500,3.34
2013-01-04,3.34,3.34,3.34,3.34,000,3.34
2013-01-03,3.31,3.34,3.31,3.34,1200,3.34
2013-01-02,3.30,3.30,3.30,3.30,000,3.30
