Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.02,0.02,0.02,0.02,250000,0.02
2013-06-03,0.02,0.02,0.02,0.02,50000,0.02
2013-05-31,0.02,0.02,0.02,0.02,000,0.02
2013-05-30,0.02,0.02,0.02,0.02,58000,0.02
2013-05-29,0.02,0.02,0.02,0.02,240000,0.02
2013-05-28,0.02,0.02,0.02,0.02,200000,0.02
2013-05-27,0.02,0.02,0.02,0.02,000,0.02
2013-05-24,0.02,0.02,0.02,0.02,000,0.02
2013-05-23,0.02,0.02,0.02,0.02,000,0.02
2013-05-22,0.02,0.02,0.02,0.02,000,0.02
2013-05-21,0.02,0.02,0.02,0.02,000,0.02
2013-05-20,0.02,0.02,0.02,0.02,000,0.02
2013-05-17,0.02,0.02,0.02,0.02,000,0.02
2013-05-16,0.02,0.02,0.02,0.02,330000,0.02
2013-05-15,0.02,0.02,0.02,0.02,610000,0.02
2013-05-14,0.02,0.02,0.02,0.02,000,0.02
2013-05-13,0.02,0.02,0.02,0.02,10000,0.02
2013-05-10,0.02,0.02,0.02,0.02,50000,0.02
2013-05-09,0.02,0.02,0.02,0.02,1305000,0.02
2013-05-08,0.02,0.02,0.02,0.02,100000,0.02
2013-05-07,0.02,0.02,0.02,0.02,2400000,0.02
2013-05-06,0.02,0.02,0.02,0.02,556000,0.02
2013-05-03,0.02,0.02,0.02,0.02,000,0.02
2013-05-02,0.02,0.02,0.02,0.02,576000,0.02
2013-05-01,0.02,0.02,0.02,0.02,000,0.02
2013-04-30,0.02,0.02,0.02,0.02,100000,0.02
2013-04-29,0.03,0.03,0.02,0.02,800000,0.02
2013-04-26,0.03,0.03,0.03,0.03,250000,0.03
2013-04-25,0.03,0.03,0.03,0.03,1300000,0.03
2013-04-24,0.03,0.03,0.03,0.03,1251000,0.03
2013-04-23,0.03,0.03,0.03,0.03,156000,0.03
2013-04-22,0.03,0.03,0.03,0.03,505000,0.03
2013-04-19,0.03,0.03,0.03,0.03,000,0.03
2013-04-18,0.03,0.03,0.03,0.03,150000,0.03
2013-04-17,0.03,0.03,0.03,0.03,000,0.03
2013-04-16,0.03,0.03,0.03,0.03,000,0.03
2013-04-15,0.03,0.03,0.03,0.03,000,0.03
2013-04-12,0.03,0.03,0.03,0.03,000,0.03
2013-04-11,0.03,0.03,0.03,0.03,000,0.03
2013-04-10,0.03,0.03,0.03,0.03,1086000,0.03
2013-04-09,0.03,0.03,0.03,0.03,24000,0.03
2013-04-08,0.03,0.03,0.03,0.03,000,0.03
2013-04-05,0.03,0.03,0.03,0.03,000,0.03
2013-04-04,0.03,0.03,0.03,0.03,000,0.03
2013-04-03,0.03,0.03,0.03,0.03,200000,0.03
2013-04-02,0.03,0.03,0.03,0.03,000,0.03
2013-04-01,0.03,0.03,0.03,0.03,200000,0.03
2013-03-29,0.03,0.03,0.03,0.03,000,0.03
2013-03-28,0.03,0.03,0.03,0.03,10000,0.03
2013-03-27,0.03,0.03,0.03,0.03,40000,0.03
2013-03-26,0.03,0.03,0.03,0.03,349000,0.03
2013-03-25,0.03,0.03,0.03,0.03,500000,0.03
2013-03-22,0.03,0.03,0.03,0.03,752000,0.03
2013-03-21,0.03,0.03,0.03,0.03,220000,0.03
2013-03-20,0.03,0.03,0.03,0.03,280000,0.03
2013-03-19,0.03,0.03,0.03,0.03,620000,0.03
2013-03-18,0.03,0.03,0.03,0.03,320000,0.03
2013-03-15,0.03,0.03,0.03,0.03,000,0.03
2013-03-14,0.03,0.03,0.03,0.03,000,0.03
2013-03-13,0.03,0.03,0.03,0.03,000,0.03
2013-03-12,0.03,0.03,0.03,0.03,1030000,0.03
2013-03-11,0.03,0.03,0.03,0.03,3150000,0.03
2013-03-08,0.03,0.03,0.03,0.03,1133000,0.03
2013-03-07,0.03,0.03,0.03,0.03,550000,0.03
2013-03-06,0.03,0.03,0.03,0.03,1570000,0.03
2013-03-05,0.03,0.03,0.03,0.03,1020000,0.03
2013-03-04,0.03,0.03,0.03,0.03,2076000,0.03
2013-03-01,0.03,0.03,0.03,0.03,1425000,0.03
2013-02-28,0.03,0.03,0.03,0.03,25000,0.03
2013-02-27,0.03,0.03,0.03,0.03,990000,0.03
2013-02-26,0.03,0.03,0.03,0.03,780000,0.03
2013-02-25,0.03,0.03,0.03,0.03,000,0.03
2013-02-22,0.03,0.03,0.03,0.03,245000,0.03
2013-02-21,0.03,0.03,0.03,0.03,900000,0.03
2013-02-20,0.03,0.03,0.03,0.03,1736000,0.03
