Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.63,0.63,0.62,0.62,932000,0.62
2013-06-03,0.62,0.62,0.62,0.62,773000,0.62
2013-05-31,0.62,0.63,0.61,0.63,838000,0.63
2013-05-30,0.62,0.62,0.61,0.62,726000,0.62
2013-05-29,0.62,0.62,0.61,0.62,3046000,0.62
2013-05-28,0.60,0.62,0.60,0.61,1724000,0.61
2013-05-27,0.57,0.60,0.57,0.60,5105000,0.60
2013-05-24,0.57,0.57,0.57,0.57,000,0.57
2013-05-23,0.58,0.58,0.57,0.57,2652000,0.57
2013-05-22,0.60,0.60,0.56,0.59,1093000,0.59
2013-05-21,0.60,0.60,0.59,0.60,2935000,0.60
2013-05-20,0.57,0.61,0.57,0.60,2679000,0.60
2013-05-17,0.57,0.58,0.57,0.57,528000,0.57
2013-05-16,0.58,0.58,0.57,0.57,643000,0.57
2013-05-15,0.56,0.58,0.56,0.57,905000,0.57
2013-05-14,0.56,0.57,0.56,0.56,1976000,0.56
2013-05-13,0.58,0.58,0.56,0.56,2244000,0.56
2013-05-10,0.57,0.58,0.57,0.57,1450000,0.57
2013-05-09,0.57,0.58,0.57,0.57,1667000,0.57
2013-05-08,0.58,0.58,0.57,0.57,1701000,0.57
2013-05-07,0.58,0.59,0.58,0.58,1197000,0.58
2013-05-06,0.56,0.58,0.56,0.57,2018000,0.57
2013-05-03,0.55,0.57,0.55,0.56,2699000,0.56
2013-05-02,0.56,0.57,0.56,0.56,1280000,0.56
2013-05-01,0.56,0.56,0.56,0.56,000,0.56
2013-04-30,0.56,0.57,0.56,0.56,2127000,0.56
2013-04-29,0.56,0.57,0.56,0.57,1670000,0.57
2013-04-26,0.56,0.56,0.55,0.56,1008000,0.56
2013-04-25,0.55,0.56,0.55,0.55,1989000,0.55
2013-04-24,0.55,0.55,0.54,0.55,696000,0.55
2013-04-23,0.54,0.55,0.54,0.54,2200000,0.54
2013-04-22,0.52,0.55,0.52,0.54,1444000,0.54
2013-04-19,0.52,0.52,0.51,0.52,2097000,0.52
2013-04-18,0.53,0.53,0.51,0.52,1365000,0.52
2013-04-17,0.54,0.55,0.53,0.53,831000,0.53
2013-04-16,0.54,0.54,0.54,0.54,459000,0.54
2013-04-15,0.54,0.55,0.54,0.54,871000,0.54
2013-04-12,0.55,0.56,0.55,0.55,739000,0.55
2013-04-11,0.55,0.56,0.55,0.55,924000,0.55
2013-04-10,0.56,0.56,0.55,0.55,1118000,0.55
2013-04-09,0.56,0.57,0.55,0.56,1051000,0.56
2013-04-08,0.54,0.56,0.54,0.56,1981000,0.56
2013-04-05,0.56,0.56,0.54,0.55,1435000,0.55
2013-04-04,0.55,0.56,0.54,0.55,5465000,0.55
2013-04-03,0.55,0.55,0.54,0.54,833000,0.54
2013-04-02,0.53,0.55,0.52,0.55,1996000,0.55
