Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.13,0.13,0.13,0.13,374000,0.13
2013-06-03,0.13,0.13,0.13,0.13,80000,0.13
2013-05-31,0.13,0.13,0.13,0.13,2000,0.13
2013-05-30,0.12,0.13,0.12,0.13,36000,0.13
2013-05-29,0.13,0.13,0.13,0.13,68000,0.13
2013-05-28,0.13,0.13,0.13,0.13,251000,0.13
2013-05-27,0.13,0.13,0.13,0.13,235000,0.13
2013-05-24,0.12,0.12,0.12,0.12,000,0.12
2013-05-23,0.13,0.13,0.12,0.12,280000,0.12
2013-05-22,0.13,0.13,0.12,0.13,380000,0.13
2013-05-21,0.13,0.13,0.13,0.13,257000,0.13
2013-05-20,0.13,0.13,0.13,0.13,128000,0.13
2013-05-17,0.13,0.13,0.13,0.13,497000,0.13
2013-05-16,0.13,0.13,0.13,0.13,103000,0.13
2013-05-15,0.13,0.13,0.12,0.13,273000,0.13
2013-05-14,0.13,0.13,0.13,0.13,163000,0.13
2013-05-13,0.12,0.13,0.12,0.12,183000,0.12
2013-05-10,0.12,0.13,0.12,0.12,239000,0.12
2013-05-09,0.12,0.13,0.12,0.13,57000,0.13
2013-05-08,0.13,0.13,0.12,0.12,495000,0.12
2013-05-07,0.13,0.13,0.13,0.13,756000,0.13
2013-05-06,0.14,0.14,0.14,0.14,822000,0.13
2013-05-03,0.14,0.14,0.14,0.14,965000,0.13
2013-05-02,0.14,0.14,0.14,0.14,222000,0.13
2013-05-01,0.14,0.14,0.14,0.14,000,0.13
2013-04-30,0.14,0.14,0.14,0.14,990000,0.13
2013-04-29,0.14,0.14,0.14,0.14,377000,0.13
2013-04-26,0.14,0.14,0.14,0.14,808000,0.13
2013-04-25,0.14,0.14,0.14,0.14,82000,0.13
2013-04-24,0.14,0.14,0.14,0.14,420000,0.13
2013-04-23,0.14,0.14,0.14,0.14,102000,0.13
2013-04-22,0.14,0.14,0.14,0.14,136000,0.13
2013-04-19,0.14,0.14,0.14,0.14,486000,0.13
2013-04-18,0.14,0.14,0.14,0.14,648000,0.13
2013-04-17,0.14,0.14,0.14,0.14,176000,0.13
2013-04-16,0.14,0.14,0.14,0.14,1211000,0.13
2013-04-15,0.14,0.14,0.14,0.14,747000,0.13
2013-04-12,0.14,0.14,0.14,0.14,265000,0.13
2013-04-11,0.14,0.14,0.13,0.13,296000,0.13
2013-04-10,0.13,0.14,0.13,0.14,856000,0.13
2013-04-09,0.13,0.13,0.13,0.13,639000,0.13
2013-04-08,0.13,0.13,0.13,0.13,233000,0.13
2013-04-05,0.13,0.13,0.13,0.13,77000,0.13
2013-04-04,0.13,0.13,0.13,0.13,18000,0.13
2013-04-03,0.13,0.13,0.13,0.13,86000,0.13
2013-04-02,0.13,0.13,0.13,0.13,380000,0.13
2013-04-01,0.13,0.13,0.13,0.13,64000,0.13
2013-03-29,0.13,0.13,0.13,0.13,000,0.13
2013-03-28,0.13,0.13,0.13,0.13,173000,0.13
2013-03-27,0.13,0.13,0.13,0.13,300000,0.13
2013-03-26,0.13,0.13,0.13,0.13,114000,0.13
2013-03-25,0.13,0.13,0.13,0.13,40000,0.13
2013-03-22,0.13,0.13,0.13,0.13,260000,0.13
2013-03-21,0.13,0.13,0.13,0.13,355000,0.13
2013-03-20,0.13,0.13,0.13,0.13,19000,0.13
2013-03-19,0.13,0.13,0.13,0.13,000,0.13
2013-03-18,0.13,0.13,0.13,0.13,136000,0.13
2013-03-15,0.13,0.13,0.13,0.13,10000,0.13
2013-03-14,0.13,0.13,0.13,0.13,132000,0.13
2013-03-13,0.13,0.13,0.13,0.13,219000,0.13
2013-03-12,0.13,0.13,0.13,0.13,152000,0.13
2013-03-11,0.13,0.13,0.13,0.13,108000,0.13
2013-03-08,0.13,0.13,0.13,0.13,395000,0.13
2013-03-07,0.13,0.13,0.13,0.13,464000,0.13
2013-03-06,0.13,0.13,0.13,0.13,380000,0.13
2013-03-05,0.13,0.13,0.13,0.13,470000,0.13
2013-03-04,0.13,0.13,0.13,0.13,547000,0.13
2013-03-01,0.13,0.13,0.13,0.13,331000,0.13
2013-02-28,0.13,0.13,0.13,0.13,180000,0.13
2013-02-27,0.13,0.13,0.13,0.13,504000,0.13
2013-02-26,0.13,0.13,0.13,0.13,774000,0.13
2013-02-25,0.13,0.13,0.13,0.13,927000,0.13
