Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,3.53,3.53,3.53,3.53,2700,3.53
2013-06-03,3.53,3.53,3.53,3.53,1100,3.53
2013-05-31,3.60,3.60,3.53,3.53,13000,3.53
2013-05-30,3.60,3.60,3.60,3.60,1000,3.60
2013-05-29,3.52,3.98,3.52,3.98,11300,3.98
2013-05-28,3.52,3.52,3.50,3.50,9300,3.50
2013-05-27,3.62,3.62,3.62,3.62,000,3.62
2013-05-24,3.62,3.62,3.62,3.62,000,3.62
2013-05-23,3.70,3.71,3.62,3.62,4000,3.62
2013-05-22,3.77,3.77,3.30,3.67,27200,3.67
2013-05-21,3.90,3.97,3.90,3.97,4500,3.97
2013-05-20,3.90,3.90,3.89,3.90,5000,3.90
2013-05-17,3.90,4.10,3.80,4.10,11400,4.10
2013-05-16,3.91,3.91,3.90,3.90,7400,3.90
2013-05-15,4.00,4.00,4.00,4.00,1700,4.00
2013-05-14,4.09,4.09,4.09,4.09,000,4.09
2013-05-13,3.92,4.09,3.91,4.09,3000,4.09
2013-05-10,3.94,3.94,3.94,3.94,000,3.94
2013-05-09,3.91,3.94,3.91,3.94,2200,3.94
2013-05-08,4.00,4.05,4.00,4.05,900,4.05
2013-05-07,4.09,4.09,4.09,4.09,000,4.09
2013-05-06,4.09,4.09,4.09,4.09,1700,4.09
2013-05-03,4.05,4.05,4.05,4.05,200,4.05
2013-05-02,3.96,4.10,3.96,4.07,5800,4.07
2013-05-01,4.07,4.07,4.07,4.07,000,4.07
2013-04-30,4.07,4.07,4.07,4.07,000,4.07
2013-04-29,4.07,4.07,4.07,4.07,000,4.07
2013-04-26,4.07,4.07,4.07,4.07,000,4.07
2013-04-25,3.95,4.07,3.95,4.07,2000,4.07
2013-04-24,3.90,3.90,3.90,3.90,000,3.90
2013-04-23,3.92,3.92,3.90,3.90,7700,3.90
2013-04-22,4.05,4.05,4.05,4.05,2600,4.05
2013-04-19,4.08,4.08,4.08,4.08,000,4.08
2013-04-18,4.08,4.08,4.08,4.08,1000,4.08
2013-04-17,4.02,4.02,4.02,4.02,1000,4.02
2013-04-16,4.10,4.10,4.10,4.10,000,4.10
2013-04-15,4.10,4.10,4.10,4.10,000,4.10
2013-04-12,4.10,4.10,4.10,4.10,000,4.10
2013-04-11,4.10,4.10,4.10,4.10,2000,4.10
2013-04-10,4.15,4.25,4.15,4.20,8000,4.20
2013-04-09,3.96,3.99,3.95,3.99,500,3.99
2013-04-08,4.00,4.00,3.90,3.91,17600,3.91
2013-04-05,4.26,4.26,4.19,4.19,2500,4.19
2013-04-04,4.36,4.36,4.36,4.36,000,4.36
2013-04-03,4.69,4.69,4.36,4.36,26600,4.36
2013-04-02,5.06,5.06,4.60,4.69,14900,4.69
2013-04-01,5.05,5.05,5.05,5.05,1000,5.05
2013-03-29,5.20,5.20,5.20,5.20,000,5.20
2013-03-28,5.20,5.20,5.20,5.20,000,5.20
2013-03-27,5.08,5.20,5.08,5.20,1400,5.20
2013-03-26,5.24,5.24,5.24,5.24,000,5.24
2013-03-25,5.24,5.24,5.24,5.24,000,5.24
2013-03-22,5.24,5.24,5.24,5.24,000,5.24
2013-03-21,5.24,5.24,5.24,5.24,2500,5.24
2013-03-20,5.33,5.33,5.20,5.22,1300,5.22
2013-03-19,5.53,5.53,5.53,5.53,000,5.53
2013-03-18,5.55,5.55,5.48,5.53,7600,5.53
2013-03-15,5.55,5.55,5.55,5.55,600,5.55
2013-03-14,5.67,5.67,5.67,5.67,000,5.67
2013-03-13,5.70,5.73,5.67,5.67,14800,5.67
2013-03-12,5.63,5.63,5.63,5.63,000,5.63
2013-03-11,5.63,5.63,5.63,5.63,000,5.63
2013-03-08,5.60,5.70,5.60,5.63,110700,5.63
2013-03-07,5.55,5.55,5.45,5.45,6000,5.45
2013-03-06,5.60,5.65,5.45,5.45,6100,5.45
2013-03-05,5.31,5.55,5.31,5.55,5100,5.55
2013-03-04,5.30,5.30,5.20,5.20,3100,5.20
2013-03-01,5.80,5.80,5.80,5.80,000,5.80
2013-02-28,5.80,5.80,5.80,5.80,000,5.80
2013-02-27,5.45,5.80,5.45,5.80,2200,5.80
2013-02-26,5.50,5.50,5.50,5.50,1200,5.50
2013-02-25,5.70,5.70,5.70,5.70,3100,5.70
2013-02-22,5.70,5.70,5.60,5.60,500,5.60
2013-02-21,5.65,5.80,5.65,5.68,13600,5.68
2013-02-20,5.58,6.00,5.58,5.60,51800,5.60
2013-02-19,5.48,5.48,5.48,5.48,900,5.48
2013-02-18,5.46,5.47,5.46,5.47,2400,5.47
2013-02-15,5.60,5.60,5.50,5.50,3300,5.50
2013-02-14,5.56,5.65,5.41,5.49,35100,5.49
2013-02-13,5.35,5.70,5.35,5.70,31700,5.70
2013-02-12,5.46,5.46,5.46,5.46,000,5.46
2013-02-11,5.46,5.46,5.46,5.46,000,5.46
2013-02-08,5.70,5.75,5.46,5.46,14000,5.46
2013-02-07,5.40,5.60,5.32,5.60,64600,5.60
2013-02-06,5.75,5.75,5.42,5.42,35500,5.42
2013-02-05,5.71,5.76,5.70,5.75,8400,5.75
2013-02-04,6.40,6.40,5.70,5.90,94900,5.90
2013-02-01,6.30,6.40,6.30,6.33,16600,6.33
2013-01-31,6.61,6.66,6.29,6.29,17100,6.29
2013-01-30,6.22,6.90,6.22,6.78,241300,6.78
2013-01-29,6.23,6.23,6.12,6.19,6300,6.19
2013-01-28,6.43,6.43,6.28,6.28,8800,6.28
2013-01-25,6.32,6.52,6.32,6.48,21900,6.48
2013-01-24,6.53,6.59,6.26,6.27,9500,6.27
2013-01-23,6.54,6.55,6.46,6.46,17700,6.46
2013-01-22,7.00,7.18,6.50,6.50,80200,6.50
2013-01-21,6.75,6.86,6.73,6.80,25400,6.80
2013-01-18,6.27,6.74,6.27,6.63,63400,6.63
2013-01-17,6.28,6.28,6.05,6.27,14500,6.27
2013-01-16,6.55,6.65,6.40,6.48,18400,6.48
2013-01-15,6.50,6.80,6.45,6.45,33700,6.45
2013-01-14,6.14,6.60,6.11,6.60,69500,6.60
2013-01-11,5.85,6.00,5.84,5.94,14500,5.94
2013-01-10,6.00,6.20,5.73,5.89,72000,5.89
2013-01-09,5.30,6.00,5.28,5.80,110500,5.80
2013-01-08,5.24,5.25,5.15,5.15,10200,5.15
2013-01-07,5.23,5.23,5.20,5.20,300,5.20
2013-01-04,5.20,5.25,5.20,5.23,11300,5.23
2013-01-03,5.20,5.20,5.10,5.10,6300,5.10
2013-01-02,5.15,5.35,5.15,5.20,14000,5.20
2013-01-01,4.95,4.95,4.95,4.95,000,4.95
2012-12-31,4.89,4.95,4.89,4.95,12800,4.95
