Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.51,0.52,0.51,0.51,177000,0.51
2013-06-03,0.50,0.51,0.50,0.51,584000,0.51
2013-05-31,0.50,0.51,0.50,0.50,95000,0.50
2013-05-30,0.51,0.51,0.50,0.51,186000,0.51
2013-05-29,0.52,0.53,0.52,0.52,208000,0.52
2013-05-28,0.52,0.52,0.52,0.52,153000,0.52
2013-05-27,0.54,0.54,0.52,0.52,294000,0.52
2013-05-24,0.52,0.52,0.52,0.52,000,0.52
2013-05-23,0.52,0.55,0.50,0.52,3600000,0.52
2013-05-22,0.46,0.49,0.46,0.47,72000,0.47
2013-05-21,0.47,0.47,0.47,0.47,53000,0.47
2013-05-20,0.49,0.49,0.47,0.48,73000,0.48
2013-05-17,0.47,0.49,0.47,0.49,210000,0.49
2013-05-16,0.48,0.48,0.47,0.47,132000,0.47
2013-05-15,0.47,0.49,0.47,0.49,353000,0.49
2013-05-14,0.47,0.47,0.46,0.47,313000,0.47
2013-05-13,0.46,0.47,0.46,0.47,33000,0.47
2013-05-10,0.46,0.47,0.46,0.47,266000,0.47
2013-05-09,0.44,0.46,0.44,0.45,34000,0.45
2013-05-08,0.46,0.46,0.45,0.45,121000,0.44
2013-05-07,0.45,0.46,0.44,0.46,67000,0.45
2013-05-06,0.44,0.45,0.44,0.45,86000,0.44
2013-05-03,0.44,0.44,0.44,0.44,1000,0.44
2013-05-02,0.46,0.46,0.46,0.46,000,0.45
2013-05-01,0.46,0.46,0.46,0.46,000,0.45
2013-04-30,0.46,0.46,0.46,0.46,20000,0.45
2013-04-29,0.45,0.46,0.45,0.46,142000,0.45
2013-04-26,0.44,0.44,0.44,0.44,1000,0.44
2013-04-25,0.46,0.46,0.46,0.46,20000,0.45
2013-04-24,0.46,0.46,0.45,0.45,11000,0.44
2013-04-23,0.45,0.45,0.45,0.45,30000,0.44
2013-04-22,0.45,0.46,0.45,0.46,120000,0.45
2013-04-19,0.44,0.46,0.44,0.46,105000,0.45
2013-04-18,0.45,0.45,0.44,0.44,465000,0.44
2013-04-17,0.44,0.46,0.44,0.44,307000,0.44
2013-04-16,0.46,0.46,0.46,0.46,000,0.45
2013-04-15,0.46,0.46,0.46,0.46,000,0.45
2013-04-12,0.46,0.47,0.46,0.46,31000,0.45
2013-04-11,0.46,0.47,0.46,0.46,84000,0.45
2013-04-10,0.46,0.46,0.46,0.46,63000,0.45
2013-04-09,0.45,0.45,0.45,0.45,15000,0.44
2013-04-08,0.46,0.46,0.46,0.46,000,0.45
2013-04-05,0.46,0.47,0.45,0.46,107000,0.45
2013-04-04,0.46,0.46,0.46,0.46,27000,0.45
2013-04-03,0.47,0.47,0.46,0.46,92000,0.45
2013-04-02,0.45,0.47,0.45,0.47,42000,0.46
2013-04-01,0.47,0.47,0.47,0.47,000,0.46
2013-03-29,0.47,0.47,0.47,0.47,000,0.46
2013-03-28,0.46,0.47,0.46,0.47,48000,0.46
2013-03-27,0.46,0.48,0.46,0.47,346000,0.46
2013-03-26,0.46,0.46,0.46,0.46,25000,0.45
2013-03-25,0.44,0.46,0.44,0.46,57000,0.45
2013-03-22,0.46,0.46,0.46,0.46,000,0.45
2013-03-21,0.45,0.46,0.45,0.46,154000,0.45
2013-03-20,0.45,0.45,0.45,0.45,27000,0.44
2013-03-19,0.46,0.46,0.45,0.45,44000,0.44
2013-03-18,0.44,0.44,0.44,0.44,20000,0.44
2013-03-15,0.46,0.46,0.46,0.46,51000,0.45
2013-03-14,0.44,0.46,0.44,0.46,88000,0.45
2013-03-13,0.44,0.44,0.44,0.44,30000,0.44
2013-03-12,0.45,0.45,0.45,0.45,110000,0.44
2013-03-11,0.45,0.45,0.45,0.45,5000,0.44
2013-03-08,0.45,0.47,0.45,0.47,57000,0.46
2013-03-07,0.45,0.45,0.45,0.45,209000,0.44
2013-03-06,0.46,0.47,0.46,0.46,332000,0.45
2013-03-05,0.45,0.46,0.45,0.46,139000,0.45
2013-03-04,0.46,0.46,0.45,0.45,128000,0.44
2013-03-01,0.47,0.47,0.45,0.47,506000,0.46
2013-02-28,0.46,0.47,0.46,0.47,343000,0.46
2013-02-27,0.46,0.46,0.46,0.46,340000,0.45
2013-02-26,0.47,0.47,0.46,0.47,823000,0.46
2013-02-25,0.48,0.48,0.47,0.48,45000,0.47
2013-02-22,0.47,0.49,0.47,0.49,35000,0.48
2013-02-21,0.49,0.49,0.47,0.47,406000,0.47
2013-02-20,0.49,0.50,0.48,0.50,900000,0.49
2013-02-19,0.50,0.50,0.50,0.50,595000,0.49
2013-02-18,0.51,0.51,0.51,0.51,74000,0.51
2013-02-15,0.51,0.51,0.51,0.51,109000,0.51
2013-02-14,0.51,0.52,0.50,0.51,536000,0.51
2013-02-13,0.52,0.52,0.51,0.51,160000,0.50
2013-02-12,0.52,0.52,0.52,0.52,000,0.51
2013-02-11,0.52,0.52,0.52,0.52,000,0.51
2013-02-08,0.52,0.52,0.51,0.52,153000,0.51
2013-02-07,0.52,0.55,0.52,0.53,1170000,0.52
2013-02-06,0.50,0.53,0.50,0.52,615000,0.52
2013-02-05,0.50,0.51,0.50,0.51,464000,0.50
2013-02-04,0.49,0.51,0.49,0.51,1410000,0.50
2013-02-01,0.49,0.49,0.49,0.49,121000,0.48
2013-01-31,0.49,0.49,0.48,0.48,64000,0.47
2013-01-30,0.49,0.49,0.49,0.49,132000,0.48
2013-01-29,0.49,0.49,0.49,0.49,65000,0.48
2013-01-28,0.50,0.50,0.49,0.50,250000,0.49
2013-01-25,0.49,0.50,0.49,0.49,273000,0.48
2013-01-24,0.48,0.49,0.48,0.49,307000,0.48
2013-01-23,0.48,0.49,0.48,0.48,81000,0.47
2013-01-22,0.47,0.48,0.47,0.48,250000,0.47
2013-01-21,0.48,0.48,0.48,0.48,000,0.47
2013-01-18,0.47,0.48,0.47,0.48,362000,0.47
2013-01-17,0.46,0.46,0.46,0.46,48000,0.45
2013-01-16,0.46,0.46,0.46,0.46,40000,0.45
2013-01-15,0.46,0.46,0.46,0.46,266000,0.45
2013-01-14,0.47,0.47,0.46,0.47,386000,0.46
2013-01-11,0.48,0.48,0.47,0.47,178000,0.47
2013-01-10,0.47,0.48,0.47,0.48,60000,0.47
2013-01-09,0.47,0.48,0.47,0.48,564000,0.47
2013-01-08,0.49,0.49,0.48,0.48,190000,0.47
2013-01-07,0.49,0.49,0.48,0.49,215000,0.48
2013-01-04,0.49,0.49,0.49,0.49,33000,0.48
2013-01-03,0.47,0.47,0.47,0.47,146000,0.47
2013-01-02,0.47,0.48,0.47,0.48,294000,0.47
2013-01-01,0.47,0.47,0.47,0.47,000,0.46
2012-12-31,0.47,0.47,0.47,0.47,488000,0.46
2012-12-28,0.48,0.48,0.48,0.48,30000,0.47
2012-12-27,0.47,0.48,0.47,0.48,67000,0.47
2012-12-26,0.47,0.47,0.47,0.47,40000,0.46
2012-12-25,0.47,0.47,0.47,0.47,000,0.46
2012-12-24,0.47,0.47,0.47,0.47,89000,0.46
2012-12-21,0.47,0.47,0.47,0.47,371000,0.46
2012-12-20,0.47,0.47,0.47,0.47,174000,0.47
2012-12-19,0.48,0.48,0.47,0.47,394000,0.46
2012-12-18,0.49,0.49,0.48,0.48,160000,0.47
2012-12-17,0.49,0.49,0.48,0.49,157000,0.48
2012-12-14,0.50,0.50,0.49,0.50,70000,0.49
2012-12-13,0.50,0.50,0.49,0.50,1293000,0.49
2012-12-12,0.46,0.48,0.46,0.48,36000,0.47
2012-12-11,0.48,0.48,0.47,0.48,89000,0.47
2012-12-10,0.49,0.50,0.48,0.49,250000,0.48
2012-12-07,0.49,0.49,0.48,0.48,86000,0.47
