Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.03,0.03,0.03,0.03,2783000,0.03
2013-06-03,0.03,0.03,0.03,0.03,2357000,0.03
2013-05-31,0.03,0.03,0.03,0.03,1645000,0.03
2013-05-30,0.03,0.03,0.03,0.03,1498000,0.03
2013-05-29,0.03,0.03,0.03,0.03,1050000,0.03
2013-05-28,0.03,0.03,0.03,0.03,3811000,0.03
2013-05-27,0.03,0.03,0.03,0.03,3936000,0.03
2013-05-24,0.03,0.03,0.03,0.03,000,0.03
2013-05-23,0.03,0.03,0.03,0.03,2631000,0.03
2013-05-22,0.03,0.03,0.03,0.03,3691000,0.03
2013-05-21,0.03,0.03,0.03,0.03,1305000,0.03
2013-05-20,0.03,0.03,0.03,0.03,4318000,0.03
2013-05-17,0.03,0.03,0.03,0.03,620000,0.03
2013-05-16,0.03,0.03,0.03,0.03,1310000,0.03
2013-05-15,0.03,0.03,0.03,0.03,4130000,0.03
2013-05-14,0.03,0.03,0.03,0.03,000,0.03
2013-05-13,0.03,0.03,0.03,0.03,361000,0.03
2013-05-10,0.03,0.03,0.03,0.03,300000,0.03
2013-05-09,0.03,0.03,0.03,0.03,1170000,0.03
2013-05-08,0.03,0.03,0.03,0.03,1700000,0.03
2013-05-07,0.03,0.03,0.03,0.03,1919000,0.03
2013-05-06,0.03,0.03,0.03,0.03,400000,0.03
2013-05-03,0.03,0.03,0.03,0.03,1699000,0.03
2013-05-02,0.03,0.03,0.03,0.03,3400000,0.03
2013-05-01,0.03,0.03,0.03,0.03,000,0.03
2013-04-30,0.03,0.03,0.03,0.03,1601000,0.03
2013-04-29,0.03,0.03,0.03,0.03,2180000,0.03
2013-04-26,0.03,0.03,0.03,0.03,1612000,0.03
2013-04-25,0.03,0.03,0.03,0.03,6815000,0.03
2013-04-24,0.03,0.03,0.03,0.03,1007000,0.03
2013-04-23,0.03,0.03,0.03,0.03,601000,0.03
2013-04-22,0.03,0.03,0.03,0.03,1686000,0.03
2013-04-19,0.03,0.03,0.03,0.03,942000,0.03
2013-04-18,0.03,0.03,0.03,0.03,1092000,0.03
2013-04-17,0.03,0.03,0.03,0.03,2500000,0.03
2013-04-16,0.03,0.03,0.03,0.03,956000,0.03
2013-04-15,0.03,0.03,0.03,0.03,1800000,0.03
2013-04-12,0.03,0.03,0.03,0.03,2615000,0.03
2013-04-11,0.03,0.03,0.03,0.03,1587000,0.03
2013-04-10,0.03,0.03,0.03,0.03,1700000,0.03
2013-04-09,0.03,0.03,0.03,0.03,610000,0.03
2013-04-08,0.03,0.03,0.03,0.03,2607000,0.03
2013-04-05,0.03,0.03,0.03,0.03,9883000,0.03
2013-04-04,0.03,0.03,0.03,0.03,550000,0.03
2013-04-03,0.03,0.03,0.03,0.03,3002000,0.03
2013-04-02,0.03,0.03,0.03,0.03,4197000,0.03
2013-04-01,0.03,0.03,0.03,0.03,2354000,0.03
2013-03-29,0.03,0.03,0.03,0.03,000,0.03
2013-03-28,0.03,0.03,0.03,0.03,11276000,0.03
2013-03-27,0.03,0.03,0.03,0.03,2450000,0.03
2013-03-26,0.03,0.03,0.03,0.03,9340000,0.03
2013-03-25,0.03,0.03,0.03,0.03,22684000,0.03
2013-03-22,0.03,0.03,0.03,0.03,1752000,0.03
2013-03-21,0.03,0.03,0.03,0.03,3452000,0.03
2013-03-20,0.03,0.03,0.03,0.03,6119000,0.03
2013-03-19,0.03,0.03,0.03,0.03,780000,0.03
2013-03-18,0.03,0.03,0.03,0.03,1658000,0.03
2013-03-15,0.03,0.03,0.03,0.03,20193000,0.03
2013-03-14,0.03,0.03,0.03,0.03,4887000,0.03
2013-03-13,0.03,0.03,0.03,0.03,4663000,0.03
2013-03-12,0.03,0.03,0.03,0.03,8968000,0.03
2013-03-11,0.03,0.03,0.03,0.03,17843000,0.03
2013-03-08,0.03,0.03,0.03,0.03,6233000,0.03
2013-03-07,0.03,0.03,0.03,0.03,14250000,0.03
2013-03-06,0.03,0.04,0.03,0.03,34219000,0.03
2013-03-05,0.03,0.03,0.03,0.03,4768000,0.03
2013-03-04,0.04,0.04,0.03,0.03,16474000,0.03
2013-03-01,0.04,0.04,0.03,0.04,28876000,0.03
2013-02-28,0.04,0.04,0.04,0.04,26741000,0.03
2013-02-27,0.04,0.04,0.04,0.04,59286000,0.04
2013-02-26,0.04,0.04,0.04,0.04,71859000,0.04
2013-02-25,0.04,0.04,0.04,0.04,8276000,0.04
2013-02-22,0.04,0.04,0.04,0.04,12637000,0.04
2013-02-21,0.04,0.05,0.04,0.04,223277000,0.04
2013-02-20,0.04,0.04,0.04,0.04,134552000,0.04
2013-02-19,0.04,0.04,0.03,0.04,8484000,0.03
2013-02-18,0.04,0.04,0.04,0.04,17618000,0.03
2013-02-15,0.04,0.04,0.04,0.04,9158000,0.03
2013-02-14,0.04,0.04,0.04,0.04,25778000,0.03
2013-02-13,0.04,0.04,0.03,0.04,45505000,0.03
2013-02-12,0.03,0.03,0.03,0.03,000,0.03
2013-02-11,0.03,0.03,0.03,0.03,000,0.03
2013-02-08,0.03,0.04,0.03,0.03,77681000,0.03
2013-02-07,0.03,0.03,0.03,0.03,6534000,0.03
2013-02-06,0.03,0.03,0.03,0.03,12878000,0.03
2013-02-05,0.03,0.03,0.03,0.03,4246000,0.03
2013-02-04,0.03,0.03,0.03,0.03,2812000,0.03
2013-02-01,0.03,0.03,0.03,0.03,5911000,0.03
2013-01-31,0.03,0.03,0.03,0.03,2760000,0.03
2013-01-30,0.03,0.03,0.03,0.03,12398000,0.03
2013-01-29,0.03,0.03,0.03,0.03,2350000,0.03
2013-01-28,0.03,0.03,0.03,0.03,2093000,0.03
2013-01-25,0.03,0.03,0.03,0.03,3982000,0.03
2013-01-24,0.03,0.03,0.03,0.03,3537000,0.03
2013-01-23,0.03,0.03,0.03,0.03,1770000,0.03
2013-01-22,0.03,0.03,0.03,0.03,3641000,0.03
2013-01-21,0.03,0.03,0.03,0.03,5965000,0.03
2013-01-18,0.03,0.03,0.03,0.03,2690000,0.03
2013-01-17,0.03,0.03,0.03,0.03,5992000,0.03
2013-01-16,0.03,0.03,0.03,0.03,13579000,0.03
2013-01-15,0.03,0.03,0.03,0.03,3572000,0.03
2013-01-14,0.03,0.03,0.03,0.03,7154000,0.03
2013-01-11,0.03,0.03,0.03,0.03,10251000,0.03
2013-01-10,0.03,0.03,0.03,0.03,16135000,0.03
2013-01-09,0.03,0.03,0.03,0.03,18327000,0.03
2013-01-08,0.03,0.03,0.03,0.03,20220000,0.03
2013-01-07,0.04,0.04,0.03,0.03,24730000,0.03
2013-01-04,0.03,0.04,0.03,0.03,95995000,0.03
2013-01-03,0.03,0.03,0.03,0.03,9458000,0.03
2013-01-02,0.03,0.03,0.03,0.03,11766000,0.03
2013-01-01,0.03,0.03,0.03,0.03,000,0.03
2012-12-31,0.03,0.03,0.03,0.03,2475000,0.03
2012-12-28,0.03,0.03,0.03,0.03,2958000,0.03
2012-12-27,0.03,0.03,0.03,0.03,3114000,0.03
2012-12-26,0.03,0.03,0.03,0.03,2647000,0.03
2012-12-25,0.03,0.03,0.03,0.03,000,0.03
2012-12-24,0.03,0.03,0.03,0.03,120000,0.03
2012-12-21,0.03,0.03,0.03,0.03,1882000,0.03
2012-12-20,0.03,0.03,0.03,0.03,300000,0.03
2012-12-19,0.03,0.03,0.03,0.03,10000,0.03
2012-12-18,0.03,0.03,0.03,0.03,4053000,0.03
2012-12-17,0.03,0.03,0.03,0.03,120000,0.03
2012-12-14,0.03,0.03,0.03,0.03,2000000,0.03
2012-12-13,0.03,0.03,0.03,0.03,2000000,0.03
2012-12-12,0.03,0.03,0.03,0.03,1785000,0.03
2012-12-11,0.03,0.03,0.03,0.03,3163000,0.03
2012-12-10,0.03,0.03,0.03,0.03,1610000,0.03
2012-12-07,0.03,0.03,0.03,0.03,901000,0.03
2012-12-06,0.03,0.03,0.03,0.03,34000,0.03
2012-12-05,0.03,0.03,0.03,0.03,300000,0.03
2012-12-04,0.03,0.03,0.03,0.03,3548000,0.03
2012-12-03,0.03,0.03,0.03,0.03,4130000,0.03
2012-11-30,0.03,0.03,0.03,0.03,5101000,0.03
2012-11-29,0.03,0.03,0.03,0.03,1270000,0.03
2012-11-28,0.03,0.03,0.03,0.03,1069000,0.03
2012-11-27,0.03,0.03,0.03,0.03,2587000,0.03
2012-11-26,0.03,0.03,0.03,0.03,42029000,0.03
2012-11-23,0.03,0.03,0.03,0.03,8172000,0.03
2012-11-22,0.03,0.03,0.03,0.03,3525000,0.03
2012-11-21,0.03,0.03,0.03,0.03,460000,0.03
