Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.64,0.65,0.64,0.65,1022000,0.65
2013-06-03,0.64,0.64,0.64,0.64,697000,0.64
2013-05-31,0.64,0.65,0.64,0.64,724000,0.64
2013-05-30,0.65,0.65,0.64,0.64,913000,0.64
2013-05-29,0.65,0.66,0.65,0.65,736000,0.65
2013-05-28,0.65,0.66,0.65,0.65,1136000,0.65
2013-05-27,0.65,0.65,0.65,0.65,643000,0.65
2013-05-24,0.64,0.64,0.64,0.64,000,0.64
2013-05-23,0.66,0.66,0.64,0.64,2281000,0.64
2013-05-22,0.67,0.67,0.66,0.66,2068000,0.66
2013-05-21,0.67,0.67,0.65,0.67,2628000,0.67
2013-05-20,0.67,0.67,0.65,0.66,2368000,0.66
2013-05-17,0.66,0.67,0.65,0.67,1351000,0.67
2013-05-16,0.67,0.67,0.66,0.67,1065000,0.67
2013-05-15,0.66,0.67,0.66,0.67,1315000,0.67
2013-05-14,0.67,0.67,0.66,0.66,523000,0.66
2013-05-13,0.67,0.68,0.67,0.67,2255000,0.67
2013-05-10,0.67,0.67,0.65,0.66,1038000,0.66
2013-05-09,0.67,0.67,0.66,0.67,1333000,0.67
2013-05-08,0.67,0.67,0.66,0.67,1517000,0.67
2013-05-07,0.65,0.67,0.65,0.66,2386000,0.66
2013-05-06,0.65,0.65,0.65,0.65,666000,0.65
2013-05-03,0.66,0.66,0.65,0.65,1027000,0.65
2013-05-02,0.66,0.67,0.65,0.66,1895000,0.66
2013-05-01,0.66,0.66,0.66,0.66,000,0.66
2013-04-30,0.66,0.67,0.65,0.66,1929000,0.66
2013-04-29,0.66,0.67,0.65,0.66,3285000,0.66
2013-04-26,0.68,0.69,0.68,0.68,1012000,0.68
2013-04-25,0.69,0.69,0.68,0.68,2277000,0.68
2013-04-24,0.69,0.69,0.69,0.69,2438000,0.69
2013-04-23,0.67,0.74,0.67,0.69,13993000,0.69
2013-04-22,0.64,0.65,0.64,0.65,796000,0.65
2013-04-19,0.64,0.64,0.64,0.64,432000,0.64
2013-04-18,0.64,0.64,0.64,0.64,613000,0.64
2013-04-17,0.64,0.65,0.64,0.65,1256000,0.65
2013-04-16,0.64,0.64,0.64,0.64,862000,0.64
2013-04-15,0.64,0.65,0.64,0.65,800000,0.65
2013-04-12,0.64,0.65,0.64,0.64,1084000,0.64
2013-04-11,0.64,0.65,0.63,0.64,2399000,0.64
2013-04-10,0.64,0.64,0.63,0.63,847000,0.63
2013-04-09,0.64,0.64,0.63,0.64,1767000,0.64
2013-04-08,0.65,0.65,0.64,0.65,2169000,0.65
2013-04-05,0.66,0.66,0.65,0.66,872000,0.66
2013-04-04,0.65,0.66,0.65,0.65,874000,0.65
2013-04-03,0.67,0.67,0.65,0.65,3792000,0.65
2013-04-02,0.68,0.68,0.67,0.67,779000,0.67
2013-04-01,0.68,0.69,0.68,0.68,888000,0.68
2013-03-29,0.68,0.68,0.68,0.68,000,0.68
2013-03-28,0.68,0.68,0.67,0.68,659000,0.68
2013-03-27,0.68,0.68,0.68,0.68,637000,0.68
2013-03-26,0.67,0.68,0.67,0.68,1931000,0.68
2013-03-25,0.70,0.71,0.70,0.70,3162000,0.70
2013-03-22,0.70,0.71,0.69,0.70,3016000,0.70
2013-03-21,0.69,0.70,0.69,0.70,2716000,0.70
2013-03-20,0.69,0.69,0.68,0.69,978000,0.69
2013-03-19,0.69,0.69,0.68,0.68,611000,0.68
2013-03-18,0.69,0.69,0.68,0.69,998000,0.69
2013-03-15,0.69,0.69,0.68,0.69,1432000,0.69
2013-03-14,0.69,0.69,0.68,0.69,954000,0.69
2013-03-13,0.68,0.69,0.68,0.68,834000,0.68
2013-03-12,0.69,0.69,0.68,0.68,1623000,0.68
2013-03-11,0.69,0.69,0.68,0.69,2009000,0.69
2013-03-08,0.69,0.70,0.69,0.69,1439000,0.69
2013-03-07,0.69,0.69,0.69,0.69,1613000,0.69
2013-03-06,0.69,0.69,0.68,0.69,4091000,0.69
2013-03-05,0.70,0.71,0.69,0.69,7490000,0.69
2013-03-04,0.72,0.73,0.71,0.71,1484000,0.71
2013-03-01,0.73,0.73,0.72,0.72,1442000,0.72
2013-02-28,0.73,0.74,0.73,0.73,2451000,0.73
2013-02-27,0.73,0.74,0.73,0.73,1167000,0.73
2013-02-26,0.73,0.74,0.73,0.73,1999000,0.73
2013-02-25,0.74,0.75,0.74,0.74,1212000,0.74
2013-02-22,0.74,0.74,0.74,0.74,1117000,0.74
2013-02-21,0.74,0.75,0.74,0.74,1480000,0.74
2013-02-20,0.75,0.76,0.75,0.75,2050000,0.75
2013-02-19,0.75,0.75,0.75,0.75,5517000,0.75
2013-02-18,0.74,0.74,0.73,0.73,936000,0.73
2013-02-15,0.74,0.74,0.73,0.74,1032000,0.74
2013-02-14,0.74,0.74,0.73,0.73,1542000,0.73
2013-02-13,0.74,0.74,0.74,0.74,1474000,0.74
2013-02-12,0.74,0.74,0.74,0.74,000,0.74
2013-02-11,0.74,0.74,0.74,0.74,000,0.74
2013-02-08,0.74,0.75,0.74,0.74,1919000,0.74
2013-02-07,0.75,0.75,0.74,0.74,1533000,0.74
2013-02-06,0.75,0.75,0.75,0.75,1442000,0.75
2013-02-05,0.75,0.76,0.75,0.75,2500000,0.75
2013-02-04,0.76,0.77,0.75,0.76,2294000,0.76
2013-02-01,0.76,0.77,0.76,0.76,3071000,0.76
