Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.01,0.01,0.01,0.01,4000000,0.01
2013-06-03,0.01,0.01,0.01,0.01,3300000,0.01
2013-05-31,0.01,0.01,0.01,0.01,2800000,0.01
2013-05-30,0.01,0.01,0.01,0.01,000,0.01
2013-05-29,0.01,0.01,0.01,0.01,000,0.01
2013-05-28,0.01,0.01,0.01,0.01,2103000,0.01
2013-05-27,0.01,0.01,0.01,0.01,4200000,0.01
2013-05-24,0.01,0.01,0.01,0.01,000,0.01
2013-05-23,0.01,0.01,0.01,0.01,35302000,0.01
2013-05-22,0.01,0.01,0.01,0.01,6484000,0.01
2013-05-21,0.01,0.01,0.01,0.01,2135000,0.01
2013-05-20,0.01,0.01,0.01,0.01,3900000,0.01
2013-05-17,0.01,0.01,0.01,0.01,2654000,0.01
2013-05-16,0.01,0.01,0.01,0.01,8020000,0.01
2013-05-15,0.01,0.01,0.01,0.01,3202000,0.01
2013-05-14,0.01,0.01,0.01,0.01,26347000,0.01
2013-05-13,0.01,0.01,0.01,0.01,7600000,0.01
2013-05-10,0.01,0.01,0.01,0.01,7100000,0.01
2013-05-09,0.01,0.01,0.01,0.01,16385000,0.01
2013-05-08,0.01,0.01,0.01,0.01,480000,0.01
2013-05-07,0.01,0.01,0.01,0.01,1460000,0.01
2013-05-06,0.01,0.01,0.01,0.01,5990000,0.01
2013-05-03,0.01,0.01,0.01,0.01,7151000,0.01
2013-05-02,0.01,0.01,0.01,0.01,17273000,0.01
2013-05-01,0.01,0.01,0.01,0.01,000,0.01
2013-04-30,0.01,0.01,0.01,0.01,10232000,0.01
2013-04-29,0.01,0.01,0.01,0.01,630000,0.01
2013-04-26,0.01,0.01,0.01,0.01,5313000,0.01
2013-04-25,0.01,0.01,0.01,0.01,2150000,0.01
2013-04-24,0.01,0.01,0.01,0.01,3050000,0.01
2013-04-23,0.01,0.01,0.01,0.01,1661000,0.01
2013-04-22,0.01,0.01,0.01,0.01,13981000,0.01
2013-04-19,0.01,0.01,0.01,0.01,800000,0.01
2013-04-18,0.01,0.01,0.01,0.01,4892000,0.01
2013-04-17,0.01,0.01,0.01,0.01,6100000,0.01
2013-04-16,0.01,0.01,0.01,0.01,351000,0.01
2013-04-15,0.01,0.01,0.01,0.01,2001000,0.01
2013-04-12,0.01,0.01,0.01,0.01,610000,0.01
2013-04-11,0.01,0.01,0.01,0.01,2300000,0.01
2013-04-10,0.01,0.01,0.01,0.01,2360000,0.01
2013-04-09,0.01,0.01,0.01,0.01,200000,0.01
2013-04-08,0.01,0.01,0.01,0.01,250000,0.01
2013-04-05,0.01,0.01,0.01,0.01,3830000,0.01
2013-04-04,0.01,0.01,0.01,0.01,850000,0.01
2013-04-03,0.01,0.01,0.01,0.01,4001000,0.01
2013-04-02,0.01,0.01,0.01,0.01,5667000,0.01
2013-04-01,0.01,0.01,0.01,0.01,1787000,0.01
2013-03-29,0.01,0.01,0.01,0.01,000,0.01
2013-03-28,0.01,0.01,0.01,0.01,6174000,0.01
2013-03-27,0.01,0.01,0.01,0.01,12613000,0.01
2013-03-26,0.01,0.01,0.01,0.01,10099000,0.01
2013-03-25,0.01,0.01,0.01,0.01,11462000,0.01
2013-03-22,0.01,0.01,0.01,0.01,3894000,0.01
2013-03-21,0.01,0.01,0.01,0.01,11200000,0.01
2013-03-20,0.01,0.01,0.01,0.01,000,0.01
2013-03-19,0.01,0.01,0.01,0.01,2400000,0.01
2013-03-18,0.01,0.01,0.01,0.01,5095000,0.01
2013-03-15,0.01,0.01,0.01,0.01,40960000,0.01
2013-03-14,0.01,0.01,0.01,0.01,3840000,0.01
2013-03-13,0.01,0.01,0.01,0.01,3500000,0.01
2013-03-12,0.01,0.01,0.01,0.01,1150000,0.01
2013-03-11,0.01,0.01,0.01,0.01,16295000,0.01
2013-03-08,0.01,0.01,0.01,0.01,20095000,0.01
2013-03-07,0.01,0.01,0.01,0.01,44414000,0.01
2013-03-06,0.01,0.01,0.01,0.01,32427000,0.01
2013-03-05,0.01,0.01,0.01,0.01,11752000,0.01
2013-03-04,0.01,0.01,0.01,0.01,17376000,0.01
2013-03-01,0.01,0.01,0.01,0.01,140067000,0.01
2013-02-28,0.01,0.01,0.01,0.01,263611000,0.01
2013-02-27,0.01,0.01,0.01,0.01,10993000,0.01
2013-02-26,0.01,0.01,0.01,0.01,29691000,0.01
2013-02-25,0.01,0.01,0.01,0.01,4140000,0.01
2013-02-22,0.01,0.01,0.01,0.01,6338000,0.01
2013-02-21,0.01,0.01,0.01,0.01,9334000,0.01
2013-02-20,0.01,0.01,0.01,0.01,4800000,0.01
2013-02-19,0.01,0.01,0.01,0.01,9688000,0.01
2013-02-18,0.01,0.01,0.01,0.01,11142000,0.01
2013-02-15,0.01,0.01,0.01,0.01,6560000,0.01
2013-02-14,0.01,0.01,0.01,0.01,4881000,0.01
2013-02-13,0.01,0.01,0.01,0.01,3060000,0.01
2013-02-12,0.01,0.01,0.01,0.01,000,0.01
2013-02-11,0.01,0.01,0.01,0.01,000,0.01
2013-02-08,0.01,0.01,0.01,0.01,5139000,0.01
2013-02-07,0.01,0.01,0.01,0.01,2860000,0.01
2013-02-06,0.01,0.01,0.01,0.01,3400000,0.01
2013-02-05,0.01,0.01,0.01,0.01,12061000,0.01
2013-02-04,0.01,0.01,0.01,0.01,10586000,0.01
2013-02-01,0.01,0.01,0.01,0.01,6435000,0.01
2013-01-31,0.01,0.01,0.01,0.01,16937000,0.01
2013-01-30,0.01,0.01,0.01,0.01,1512000,0.01
2013-01-29,0.01,0.01,0.01,0.01,3126000,0.01
2013-01-28,0.01,0.01,0.01,0.01,15800000,0.01
2013-01-25,0.01,0.01,0.01,0.01,5560000,0.01
2013-01-24,0.01,0.01,0.01,0.01,24756000,0.01
2013-01-23,0.01,0.01,0.01,0.01,31082000,0.01
2013-01-22,0.01,0.01,0.01,0.01,11472000,0.01
2013-01-21,0.01,0.01,0.01,0.01,9914000,0.01
2013-01-18,0.01,0.01,0.01,0.01,7617000,0.01
2013-01-17,0.01,0.01,0.01,0.01,3369000,0.01
2013-01-16,0.01,0.01,0.01,0.01,8542000,0.01
2013-01-15,0.01,0.01,0.01,0.01,8701000,0.01
2013-01-14,0.01,0.01,0.01,0.01,77105000,0.01
2013-01-11,0.01,0.01,0.01,0.01,3967000,0.01
2013-01-10,0.01,0.01,0.01,0.01,14403000,0.01
2013-01-09,0.01,0.01,0.01,0.01,26989000,0.01
2013-01-08,0.01,0.01,0.01,0.01,128917000,0.01
2013-01-07,0.01,0.01,0.01,0.01,109784000,0.01
2013-01-04,0.01,0.01,0.01,0.01,7057000,0.01
2013-01-03,0.01,0.01,0.01,0.01,23833000,0.01
2013-01-02,0.01,0.01,0.01,0.01,8505000,0.01
2013-01-01,0.01,0.01,0.01,0.01,000,0.01
2012-12-31,0.01,0.01,0.01,0.01,201000,0.01
2012-12-28,0.01,0.01,0.01,0.01,5602000,0.01
2012-12-27,0.01,0.01,0.01,0.01,13980000,0.01
2012-12-26,0.01,0.01,0.01,0.01,140223000,0.01
2012-12-25,0.01,0.01,0.01,0.01,000,0.01
2012-12-24,0.01,0.01,0.01,0.01,13600000,0.01
2012-12-21,0.01,0.01,0.01,0.01,6360000,0.01
2012-12-20,0.01,0.01,0.01,0.01,3005000,0.01
2012-12-19,0.01,0.01,0.01,0.01,31824000,0.01
2012-12-18,0.01,0.01,0.01,0.01,492000,0.01
2012-12-17,0.01,0.01,0.01,0.01,120000,0.01
2012-12-14,0.01,0.01,0.01,0.01,20247000,0.01
2012-12-13,0.01,0.01,0.01,0.01,1050000,0.01
2012-12-12,0.01,0.01,0.01,0.01,1534000,0.01
2012-12-11,0.01,0.01,0.01,0.01,20396000,0.01
2012-12-10,0.01,0.01,0.01,0.01,1902000,0.01
2012-12-07,0.01,0.01,0.01,0.01,304000,0.01
2012-12-06,0.01,0.01,0.01,0.01,381000,0.01
2012-12-05,0.01,0.01,0.01,0.01,1150000,0.01
2012-12-04,0.01,0.01,0.01,0.01,2453000,0.01
2012-12-03,0.01,0.01,0.01,0.01,2100000,0.01
2012-11-30,0.01,0.01,0.01,0.01,7212000,0.01
2012-11-29,0.01,0.01,0.01,0.01,1404000,0.01
2012-11-28,0.01,0.01,0.01,0.01,3000,0.01
2012-11-27,0.01,0.01,0.01,0.01,3431000,0.01
2012-11-26,0.01,0.01,0.01,0.01,501000,0.01
2012-11-23,0.01,0.01,0.01,0.01,4500000,0.01
2012-11-22,0.01,0.01,0.01,0.01,101000,0.01
2012-11-21,0.01,0.01,0.01,0.01,1601000,0.01
2012-11-20,0.01,0.01,0.01,0.01,501000,0.01
2012-11-19,0.01,0.01,0.01,0.01,1002000,0.01
2012-11-16,0.01,0.01,0.01,0.01,1751000,0.01
2012-11-15,0.01,0.01,0.01,0.01,3697000,0.01
2012-11-14,0.01,0.01,0.01,0.01,10109000,0.01
2012-11-13,0.01,0.01,0.01,0.01,000,0.01
2012-11-12,0.01,0.01,0.01,0.01,2873000,0.01
2012-11-09,0.01,0.01,0.01,0.01,13383000,0.01
2012-11-08,0.01,0.01,0.01,0.01,1089000,0.01
2012-11-07,0.01,0.01,0.01,0.01,776000,0.01
2012-11-06,0.01,0.01,0.01,0.01,000,0.01
2012-11-05,0.01,0.01,0.01,0.01,330000,0.01
2012-11-02,0.01,0.01,0.01,0.01,1302000,0.01
2012-11-01,0.01,0.01,0.01,0.01,12400000,0.01
2012-10-31,0.01,0.01,0.01,0.01,10000,0.01
2012-10-30,0.01,0.01,0.01,0.01,000,0.01
2012-10-29,0.01,0.01,0.01,0.01,1201000,0.01
2012-10-26,0.01,0.01,0.01,0.01,000,0.01
2012-10-25,0.01,0.01,0.01,0.01,451000,0.01
2012-10-24,0.01,0.01,0.01,0.01,1634000,0.01
2012-10-23,0.01,0.01,0.01,0.01,1233000,0.01
2012-10-22,0.01,0.01,0.01,0.01,1952000,0.01
2012-10-19,0.01,0.01,0.01,0.01,1980000,0.01
2012-10-18,0.01,0.01,0.01,0.01,3003000,0.01
2012-10-17,0.01,0.01,0.01,0.01,211000,0.01
2012-10-16,0.01,0.01,0.01,0.01,2037000,0.01
2012-10-15,0.01,0.01,0.01,0.01,2801000,0.01
2012-10-12,0.01,0.01,0.01,0.01,51190000,0.01
2012-10-11,0.01,0.01,0.01,0.01,604000,0.01
2012-10-10,0.01,0.01,0.01,0.01,4213000,0.01
2012-10-09,0.01,0.01,0.01,0.01,13217000,0.01
2012-10-08,0.01,0.01,0.01,0.01,3720000,0.01
2012-10-05,0.01,0.01,0.01,0.01,1804000,0.01
2012-10-04,0.01,0.01,0.01,0.01,1311000,0.01
2012-10-03,0.01,0.01,0.01,0.01,184000,0.01
2012-10-02,0.01,0.01,0.01,0.01,4140000,0.01
2012-10-01,0.01,0.01,0.01,0.01,662000,0.01
2012-09-28,0.01,0.01,0.01,0.01,3301000,0.01
2012-09-27,0.01,0.01,0.01,0.01,30000,0.01
2012-09-26,0.01,0.01,0.01,0.01,1491000,0.01
2012-09-25,0.01,0.01,0.01,0.01,661000,0.01
2012-09-24,0.01,0.01,0.01,0.01,2727000,0.01
2012-09-21,0.01,0.01,0.01,0.01,2500000,0.01
2012-09-20,0.01,0.01,0.01,0.01,3752000,0.01
2012-09-19,0.01,0.01,0.01,0.01,6302000,0.01
2012-09-18,0.01,0.01,0.01,0.01,3470000,0.01
2012-09-17,0.01,0.01,0.01,0.01,1351000,0.01
2012-09-14,0.01,0.01,0.01,0.01,2838000,0.01
2012-09-13,0.01,0.01,0.01,0.01,2211000,0.01
2012-09-12,0.01,0.01,0.01,0.01,827000,0.01
2012-09-11,0.01,0.01,0.01,0.01,2422000,0.01
2012-09-10,0.01,0.01,0.01,0.01,1633000,0.01
2012-09-07,0.01,0.01,0.01,0.01,968000,0.01
2012-09-06,0.01,0.01,0.01,0.01,1230000,0.01
2012-09-05,0.01,0.01,0.01,0.01,402000,0.01
2012-09-04,0.01,0.01,0.01,0.01,31662000,0.01
2012-09-03,0.01,0.01,0.01,0.01,24332000,0.01
2012-08-31,0.01,0.01,0.01,0.01,301000,0.01
2012-08-30,0.01,0.01,0.01,0.01,106000,0.01
2012-08-29,0.01,0.01,0.01,0.01,399000,0.01
2012-08-28,0.01,0.01,0.01,0.01,8721000,0.01
2012-08-27,0.01,0.01,0.01,0.01,2628000,0.01
2012-08-24,0.01,0.01,0.01,0.01,7774000,0.01
2012-08-23,0.01,0.01,0.01,0.01,7010000,0.01
2012-08-22,0.01,0.01,0.01,0.01,12108000,0.01
2012-08-21,0.01,0.01,0.01,0.01,1070000,0.01
2012-08-20,0.01,0.01,0.01,0.01,000,0.01
2012-08-17,0.01,0.01,0.01,0.01,1400000,0.01
2012-08-16,0.01,0.01,0.01,0.01,1750000,0.01
2012-08-15,0.01,0.01,0.01,0.01,3200000,0.01
2012-08-14,0.01,0.01,0.01,0.01,4950000,0.01
2012-08-13,0.01,0.01,0.01,0.01,1100000,0.01
2012-08-10,0.01,0.01,0.01,0.01,3020000,0.01
2012-08-09,0.01,0.01,0.01,0.01,000,0.01
2012-08-08,0.01,0.01,0.01,0.01,8826000,0.01
2012-08-07,0.01,0.01,0.01,0.01,4800000,0.01
2012-08-06,0.01,0.01,0.01,0.01,500000,0.01
2012-08-03,0.01,0.01,0.01,0.01,4160000,0.01
2012-08-02,0.01,0.01,0.01,0.01,980000,0.01
2012-08-01,0.01,0.01,0.01,0.01,12502000,0.01
2012-07-31,0.01,0.01,0.01,0.01,15044000,0.01
2012-07-30,0.01,0.01,0.01,0.01,1115000,0.01
2012-07-27,0.01,0.01,0.01,0.01,2400000,0.01
2012-07-26,0.01,0.01,0.01,0.01,1400000,0.01
2012-07-25,0.01,0.01,0.01,0.01,7451000,0.01
2012-07-24,0.01,0.01,0.01,0.01,16407000,0.01
2012-07-23,0.01,0.01,0.01,0.01,475000,0.01
