Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.17,0.17,0.17,0.17,3018000,0.17
2013-06-03,0.17,0.17,0.17,0.17,4311000,0.17
2013-05-31,0.17,0.18,0.17,0.17,12544000,0.17
2013-05-30,0.17,0.18,0.17,0.17,37642000,0.17
2013-05-29,0.16,0.17,0.16,0.16,17282000,0.16
2013-05-28,0.16,0.17,0.16,0.16,6202000,0.16
2013-05-27,0.16,0.17,0.16,0.16,5627000,0.16
2013-05-24,0.16,0.16,0.16,0.16,000,0.16
2013-05-23,0.16,0.16,0.16,0.16,4713000,0.16
2013-05-22,0.16,0.17,0.16,0.17,6533000,0.17
2013-05-21,0.17,0.17,0.16,0.16,3245000,0.16
2013-05-20,0.17,0.17,0.16,0.17,5225000,0.17
2013-05-17,0.16,0.17,0.16,0.16,12826000,0.16
2013-05-16,0.16,0.16,0.16,0.16,3071000,0.16
2013-05-15,0.16,0.16,0.16,0.16,9365000,0.16
2013-05-14,0.16,0.16,0.16,0.16,7196000,0.16
2013-05-13,0.16,0.16,0.16,0.16,2673000,0.16
2013-05-10,0.16,0.16,0.16,0.16,5018000,0.16
2013-05-09,0.16,0.16,0.16,0.16,4970000,0.16
2013-05-08,0.16,0.17,0.16,0.16,10588000,0.16
2013-05-07,0.16,0.16,0.16,0.16,13285000,0.16
2013-05-06,0.16,0.16,0.16,0.16,7487000,0.16
2013-05-03,0.16,0.16,0.16,0.16,13481000,0.16
2013-05-02,0.16,0.16,0.16,0.16,7235000,0.16
2013-05-01,0.16,0.16,0.16,0.16,000,0.16
2013-04-30,0.17,0.17,0.16,0.16,11305000,0.16
2013-04-29,0.17,0.17,0.17,0.17,9430000,0.17
2013-04-26,0.17,0.17,0.17,0.17,8223000,0.17
2013-04-25,0.19,0.19,0.17,0.17,43800000,0.17
2013-04-24,0.19,0.19,0.18,0.18,26106000,0.18
2013-04-23,0.18,0.18,0.17,0.18,41562000,0.18
2013-04-22,0.16,0.18,0.16,0.18,58619000,0.18
