Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.06,0.06,0.06,0.06,7090000,0.06
2013-06-03,0.06,0.06,0.06,0.06,1792000,0.06
2013-05-31,0.06,0.06,0.06,0.06,1605000,0.06
2013-05-30,0.06,0.06,0.06,0.06,3469000,0.06
2013-05-29,0.06,0.06,0.06,0.06,3741000,0.06
2013-05-28,0.06,0.06,0.06,0.06,6846000,0.06
2013-05-27,0.05,0.06,0.05,0.06,8536000,0.06
2013-05-24,0.05,0.05,0.05,0.05,000,0.05
2013-05-23,0.05,0.05,0.05,0.05,2106000,0.05
2013-05-22,0.05,0.06,0.05,0.05,4928000,0.05
2013-05-21,0.05,0.05,0.05,0.05,741000,0.05
2013-05-20,0.05,0.05,0.05,0.05,427000,0.05
2013-05-17,0.05,0.05,0.05,0.05,870000,0.05
2013-05-16,0.05,0.05,0.05,0.05,2663000,0.05
2013-05-15,0.05,0.05,0.05,0.05,1701000,0.05
2013-05-14,0.05,0.05,0.05,0.05,936000,0.05
2013-05-13,0.05,0.05,0.05,0.05,466000,0.05
2013-05-10,0.05,0.05,0.05,0.05,917000,0.05
2013-05-09,0.05,0.05,0.05,0.05,446000,0.05
2013-05-08,0.05,0.06,0.05,0.05,4711000,0.05
2013-05-07,0.05,0.05,0.05,0.05,1744000,0.05
2013-05-06,0.05,0.05,0.05,0.05,2335000,0.05
2013-05-03,0.05,0.05,0.05,0.05,1243000,0.05
2013-05-02,0.05,0.05,0.05,0.05,1735000,0.05
2013-05-01,0.05,0.05,0.05,0.05,000,0.05
2013-04-30,0.05,0.05,0.05,0.05,543000,0.05
2013-04-29,0.05,0.05,0.05,0.05,1507000,0.05
2013-04-26,0.05,0.05,0.05,0.05,1630000,0.05
2013-04-25,0.05,0.05,0.05,0.05,2719000,0.05
2013-04-24,0.05,0.06,0.05,0.05,6717000,0.05
2013-04-23,0.05,0.05,0.05,0.05,2056000,0.05
2013-04-22,0.05,0.05,0.05,0.05,2254000,0.05
2013-04-19,0.05,0.05,0.05,0.05,3040000,0.05
2013-04-18,0.05,0.06,0.05,0.05,3626000,0.05
2013-04-17,0.06,0.06,0.05,0.06,6270000,0.06
2013-04-16,0.06,0.06,0.06,0.06,4975000,0.06
2013-04-15,0.06,0.06,0.06,0.06,4999000,0.06
2013-04-12,0.06,0.06,0.06,0.06,3179000,0.06
2013-04-11,0.06,0.06,0.06,0.06,12388000,0.06
2013-04-10,0.05,0.07,0.05,0.06,40751000,0.06
2013-04-09,0.05,0.06,0.05,0.06,19412000,0.06
2013-04-08,0.05,0.05,0.05,0.05,5434000,0.05
2013-04-05,0.06,0.06,0.05,0.06,7006000,0.06
2013-04-04,0.06,0.06,0.06,0.06,4852000,0.06
2013-04-03,0.07,0.07,0.06,0.06,8935000,0.06
2013-04-02,0.08,0.08,0.07,0.07,73939000,0.07
2013-04-01,0.05,0.08,0.05,0.08,98485000,0.08
2013-03-29,0.05,0.05,0.05,0.05,000,0.05
2013-03-28,0.05,0.05,0.05,0.05,320000,0.05
2013-03-27,0.05,0.05,0.05,0.05,50000,0.05
2013-03-26,0.05,0.05,0.05,0.05,394000,0.05
2013-03-25,0.05,0.05,0.05,0.05,1581000,0.05
2013-03-22,0.05,0.05,0.05,0.05,2673000,0.05
2013-03-21,0.04,0.05,0.04,0.04,750000,0.04
2013-03-20,0.04,0.04,0.04,0.04,300000,0.04
2013-03-19,0.04,0.05,0.04,0.04,988000,0.04
2013-03-18,0.04,0.04,0.04,0.04,930000,0.04
2013-03-15,0.04,0.05,0.04,0.05,2018000,0.05
2013-03-14,0.04,0.04,0.04,0.04,997000,0.04
2013-03-13,0.05,0.05,0.04,0.05,2101000,0.05
2013-03-12,0.05,0.05,0.04,0.05,2221000,0.05
2013-03-11,0.05,0.05,0.05,0.05,4201000,0.05
2013-03-08,0.05,0.05,0.04,0.05,549000,0.05
2013-03-07,0.05,0.05,0.05,0.05,1390000,0.05
2013-03-06,0.05,0.05,0.05,0.05,2364000,0.05
2013-03-05,0.04,0.05,0.04,0.05,2365000,0.05
2013-03-04,0.05,0.05,0.04,0.04,2314000,0.04
2013-03-01,0.06,0.06,0.05,0.05,2821000,0.05
2013-02-28,0.06,0.06,0.06,0.06,2438000,0.06
2013-02-27,0.06,0.06,0.06,0.06,3701000,0.06
2013-02-26,0.06,0.06,0.06,0.06,2750000,0.06
2013-02-25,0.06,0.06,0.06,0.06,1060000,0.06
2013-02-22,0.06,0.06,0.06,0.06,1989000,0.06
2013-02-21,0.06,0.06,0.06,0.06,1816000,0.06
2013-02-20,0.06,0.07,0.06,0.06,10212000,0.06
2013-02-19,0.06,0.06,0.06,0.06,3502000,0.06
2013-02-18,0.06,0.06,0.06,0.06,5751000,0.06
2013-02-15,0.06,0.06,0.06,0.06,6104000,0.06
2013-02-14,0.06,0.06,0.06,0.06,4199000,0.06
2013-02-13,0.06,0.06,0.06,0.06,4504000,0.06
2013-02-12,0.06,0.06,0.06,0.06,000,0.06
2013-02-11,0.06,0.06,0.06,0.06,000,0.06
2013-02-08,0.07,0.07,0.06,0.06,4388000,0.06
2013-02-07,0.07,0.07,0.06,0.06,2965000,0.06
2013-02-06,0.06,0.08,0.06,0.07,49041000,0.07
2013-02-05,0.06,0.06,0.06,0.06,4941000,0.06
2013-02-04,0.05,0.06,0.05,0.06,29233000,0.06
2013-02-01,0.05,0.05,0.05,0.05,20230000,0.05
2013-01-31,0.04,0.04,0.04,0.04,1864000,0.04
2013-01-30,0.04,0.04,0.04,0.04,89000,0.04
2013-01-29,0.04,0.04,0.04,0.04,252000,0.04
2013-01-28,0.04,0.04,0.04,0.04,5897000,0.04
2013-01-25,0.04,0.04,0.04,0.04,161000,0.04
2013-01-24,0.04,0.04,0.04,0.04,612000,0.04
2013-01-23,0.04,0.04,0.04,0.04,000,0.04
2013-01-22,0.04,0.04,0.04,0.04,90000,0.04
2013-01-21,0.04,0.04,0.04,0.04,000,0.04
2013-01-18,0.04,0.04,0.04,0.04,500000,0.04
2013-01-17,0.04,0.04,0.04,0.04,161000,0.04
2013-01-16,0.04,0.04,0.04,0.04,150000,0.04
2013-01-15,0.04,0.04,0.04,0.04,1221000,0.04
2013-01-14,0.04,0.04,0.04,0.04,2544000,0.04
2013-01-11,0.04,0.04,0.04,0.04,953000,0.04
2013-01-10,0.03,0.04,0.03,0.04,4098000,0.04
2013-01-09,0.03,0.03,0.03,0.03,100000,0.03
2013-01-08,0.03,0.03,0.03,0.03,000,0.03
2013-01-07,0.04,0.04,0.03,0.03,1072000,0.03
2013-01-04,0.03,0.04,0.03,0.04,479000,0.04
2013-01-03,0.03,0.03,0.03,0.03,150000,0.03
2013-01-02,0.03,0.03,0.03,0.03,1079000,0.03
2013-01-01,0.03,0.03,0.03,0.03,000,0.03
2012-12-31,0.03,0.03,0.03,0.03,136000,0.03
2012-12-28,0.03,0.03,0.03,0.03,101000,0.03
2012-12-27,0.03,0.03,0.03,0.03,000,0.03
2012-12-26,0.03,0.03,0.03,0.03,101000,0.03
2012-12-25,0.03,0.03,0.03,0.03,000,0.03
2012-12-24,0.03,0.03,0.03,0.03,7000,0.03
2012-12-21,0.03,0.03,0.03,0.03,000,0.03
2012-12-20,0.03,0.03,0.03,0.03,13000,0.03
2012-12-19,0.03,0.03,0.03,0.03,54000,0.03
2012-12-18,0.03,0.03,0.03,0.03,121000,0.03
2012-12-17,0.03,0.03,0.03,0.03,000,0.03
2012-12-14,0.03,0.03,0.03,0.03,41000,0.03
2012-12-13,0.03,0.03,0.03,0.03,4000,0.03
2012-12-12,0.03,0.03,0.03,0.03,389000,0.03
2012-12-11,0.03,0.03,0.03,0.03,000,0.03
2012-12-10,0.03,0.03,0.03,0.03,167000,0.03
2012-12-07,0.04,0.04,0.04,0.04,000,0.04
2012-12-06,0.04,0.04,0.04,0.04,000,0.04
2012-12-05,0.04,0.04,0.04,0.04,5000,0.04
2012-12-04,0.03,0.03,0.03,0.03,000,0.03
2012-12-03,0.03,0.03,0.03,0.03,000,0.03
2012-11-30,0.03,0.03,0.03,0.03,37000,0.03
2012-11-29,0.03,0.03,0.03,0.03,000,0.03
2012-11-28,0.03,0.03,0.03,0.03,000,0.03
2012-11-27,0.03,0.03,0.03,0.03,000,0.03
2012-11-26,0.03,0.03,0.03,0.03,63000,0.03
2012-11-23,0.03,0.03,0.03,0.03,55000,0.03
2012-11-22,0.03,0.03,0.03,0.03,000,0.03
2012-11-21,0.03,0.03,0.03,0.03,4000,0.03
2012-11-20,0.03,0.03,0.03,0.03,000,0.03
2012-11-19,0.03,0.03,0.03,0.03,300000,0.03
2012-11-16,0.03,0.03,0.03,0.03,100000,0.03
2012-11-15,0.03,0.03,0.03,0.03,000,0.03
2012-11-14,0.03,0.03,0.03,0.03,200000,0.03
2012-11-13,0.03,0.03,0.03,0.03,000,0.03
2012-11-12,0.03,0.03,0.03,0.03,000,0.03
2012-11-09,0.03,0.03,0.03,0.03,260000,0.03
2012-11-08,0.03,0.03,0.03,0.03,000,0.03
2012-11-07,0.03,0.03,0.03,0.03,302000,0.03
2012-11-06,0.03,0.03,0.03,0.03,000,0.03
2012-11-05,0.03,0.03,0.03,0.03,15000,0.03
2012-11-02,0.03,0.03,0.03,0.03,000,0.03
2012-11-01,0.03,0.03,0.03,0.03,584000,0.03
2012-10-31,0.03,0.03,0.03,0.03,27000,0.03
2012-10-30,0.03,0.03,0.03,0.03,000,0.03
2012-10-29,0.03,0.03,0.03,0.03,229000,0.03
2012-10-26,0.03,0.03,0.03,0.03,000,0.03
2012-10-25,0.03,0.03,0.03,0.03,000,0.03
2012-10-24,0.03,0.03,0.03,0.03,000,0.03
2012-10-23,0.03,0.03,0.03,0.03,779000,0.03
2012-10-22,0.03,0.03,0.03,0.03,560000,0.03
2012-10-19,0.03,0.03,0.03,0.03,000,0.03
2012-10-18,0.03,0.03,0.03,0.03,000,0.03
2012-10-17,0.03,0.03,0.03,0.03,4000,0.03
2012-10-16,0.03,0.03,0.03,0.03,50000,0.03
2012-10-15,0.03,0.03,0.03,0.03,121000,0.03
2012-10-12,0.03,0.03,0.03,0.03,300000,0.03
2012-10-11,0.03,0.03,0.03,0.03,357000,0.03
