Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,3.08,3.12,3.08,3.10,362000,3.10
2013-06-03,3.05,3.08,3.05,3.08,261000,3.08
2013-05-31,3.03,3.06,3.03,3.06,408000,3.06
2013-05-30,3.03,3.04,3.03,3.03,202000,3.03
2013-05-29,3.03,3.06,3.03,3.05,930000,3.05
2013-05-28,3.02,3.02,2.98,3.01,148000,3.01
2013-05-27,3.03,3.03,3.01,3.02,46000,3.02
2013-05-24,3.04,3.04,3.04,3.04,000,3.04
2013-05-23,3.02,3.04,3.01,3.04,245000,3.04
2013-05-22,3.05,3.05,3.01,3.02,318000,3.02
2013-05-21,3.05,3.05,3.04,3.05,39000,3.05
2013-05-20,3.06,3.07,3.04,3.05,87000,3.05
2013-05-17,3.06,3.07,3.05,3.05,48000,3.05
2013-05-16,3.06,3.06,3.05,3.06,24000,3.06
2013-05-15,3.06,3.07,3.05,3.05,83000,3.05
2013-05-14,3.07,3.09,3.07,3.07,164000,3.07
2013-05-13,3.11,3.11,3.05,3.07,344000,3.07
2013-05-10,3.02,3.11,3.02,3.10,748000,3.10
2013-05-09,3.00,3.10,3.00,3.03,8467000,3.00
2013-05-08,2.99,3.02,2.99,2.99,71000,2.96
2013-05-07,3.01,3.01,2.99,2.99,16000,2.96
2013-05-06,3.02,3.02,2.97,3.00,17000,2.97
2013-05-03,3.01,3.02,3.00,3.02,38000,2.99
2013-05-02,3.00,3.03,3.00,3.01,33000,2.98
2013-05-01,3.01,3.01,3.01,3.01,000,2.98
2013-04-30,3.03,3.03,3.01,3.01,67000,2.98
2013-04-29,2.99,3.02,2.99,3.02,45000,2.99
2013-04-26,3.00,3.01,3.00,3.00,72000,2.97
2013-04-25,2.99,3.00,2.97,3.00,73000,2.97
2013-04-24,2.99,3.01,2.98,3.00,55000,2.97
2013-04-23,2.98,3.00,2.97,2.97,24000,2.94
2013-04-22,3.00,3.01,3.00,3.00,89000,2.97
2013-04-19,2.98,3.02,2.98,3.01,21000,2.98
2013-04-18,3.00,3.00,2.98,2.99,36000,2.96
2013-04-17,3.03,3.04,3.01,3.01,56000,2.98
2013-04-16,2.99,3.04,2.98,3.02,56000,2.99
2013-04-15,3.05,3.05,2.99,3.01,56000,2.98
2013-04-12,3.02,3.05,3.02,3.05,65000,3.02
2013-04-11,3.04,3.05,3.03,3.05,84000,3.02
2013-04-10,3.00,3.05,3.00,3.05,100000,3.02
2013-04-09,3.00,3.04,3.00,3.04,98000,3.01
2013-04-08,2.96,3.05,2.96,3.05,87000,3.02
2013-04-05,3.03,3.05,3.00,3.02,51000,2.99
2013-04-04,3.02,3.05,3.02,3.03,20000,3.00
2013-04-03,3.05,3.07,3.03,3.03,62000,3.00
2013-04-02,3.00,3.05,3.00,3.05,89000,3.02
2013-04-01,3.03,3.03,3.00,3.00,35000,2.97
2013-03-29,3.05,3.05,3.05,3.05,000,3.02
2013-03-28,3.04,3.05,3.02,3.05,111000,3.02
2013-03-27,3.04,3.08,3.03,3.05,165000,3.02
2013-03-26,3.00,3.05,3.00,3.05,210000,3.02
2013-03-25,2.99,3.02,2.99,3.01,145000,2.98
2013-03-22,2.99,3.02,2.98,3.00,66000,2.97
2013-03-21,3.00,3.02,2.99,2.99,80000,2.96
2013-03-20,2.97,3.00,2.97,2.99,43000,2.96
2013-03-19,2.99,3.02,2.97,3.00,56000,2.97
2013-03-18,3.00,3.02,2.97,2.97,143000,2.94
2013-03-15,2.93,3.05,2.93,3.00,1079000,2.97
2013-03-14,2.90,2.92,2.90,2.92,180000,2.89
2013-03-13,2.88,2.90,2.87,2.88,52000,2.85
2013-03-12,2.88,2.91,2.88,2.91,48000,2.88
2013-03-11,2.92,2.92,2.89,2.89,37000,2.86
2013-03-08,2.90,2.91,2.90,2.91,225000,2.88
2013-03-07,2.89,2.92,2.89,2.89,135000,2.86
2013-03-06,2.87,2.89,2.86,2.88,84000,2.85
2013-03-05,2.85,2.88,2.85,2.87,112000,2.84
2013-03-04,2.86,2.88,2.82,2.84,199000,2.81
2013-03-01,2.89,2.90,2.86,2.89,21000,2.86
2013-02-28,2.90,2.90,2.85,2.90,23000,2.87
2013-02-27,2.90,2.91,2.88,2.88,64000,2.85
2013-02-26,2.89,2.91,2.89,2.91,177000,2.88
2013-02-25,2.91,2.91,2.88,2.88,34000,2.85
2013-02-22,2.90,2.91,2.90,2.90,16000,2.87
2013-02-21,2.90,2.90,2.88,2.90,36000,2.87
2013-02-20,2.91,2.93,2.91,2.91,18000,2.88
2013-02-19,2.95,2.97,2.94,2.94,335000,2.91
2013-02-18,2.85,2.95,2.85,2.95,867000,2.92
2013-02-15,2.85,2.86,2.85,2.85,516000,2.82
2013-02-14,2.86,2.87,2.84,2.85,139000,2.82
2013-02-13,2.85,2.88,2.85,2.85,832000,2.82
2013-02-12,2.83,2.83,2.83,2.83,000,2.80
2013-02-11,2.83,2.83,2.83,2.83,000,2.80
2013-02-08,2.82,2.83,2.80,2.83,48000,2.80
2013-02-07,2.79,2.82,2.79,2.81,31000,2.78
2013-02-06,2.80,2.81,2.79,2.79,259000,2.76
2013-02-05,2.82,2.82,2.80,2.80,89000,2.77
2013-02-04,2.84,2.84,2.80,2.80,92000,2.77
2013-02-01,2.83,2.84,2.82,2.83,42000,2.80
2013-01-31,2.81,2.81,2.78,2.79,188000,2.76
