Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.61,0.62,0.61,0.62,7000,0.62
2013-06-03,0.62,0.62,0.62,0.62,20000,0.62
2013-05-31,0.61,0.61,0.61,0.61,15000,0.61
2013-05-30,0.62,0.62,0.62,0.62,000,0.62
2013-05-29,0.62,0.62,0.62,0.62,38000,0.62
2013-05-28,0.62,0.62,0.62,0.62,000,0.62
2013-05-27,0.62,0.62,0.60,0.62,35000,0.62
2013-05-24,0.62,0.62,0.62,0.62,000,0.62
2013-05-23,0.60,0.62,0.60,0.62,43000,0.62
2013-05-22,0.61,0.62,0.61,0.61,32000,0.61
2013-05-21,0.60,0.63,0.60,0.63,57000,0.63
2013-05-20,0.64,0.64,0.60,0.63,32000,0.63
2013-05-17,0.60,0.60,0.60,0.60,20000,0.60
2013-05-16,0.60,0.60,0.60,0.60,28000,0.60
2013-05-15,0.60,0.60,0.60,0.60,113000,0.60
2013-05-14,0.60,0.60,0.59,0.59,85000,0.59
2013-05-13,0.61,0.61,0.60,0.60,124000,0.60
2013-05-10,0.62,0.62,0.61,0.61,95000,0.61
2013-05-09,0.62,0.62,0.62,0.62,31000,0.62
2013-05-08,0.62,0.62,0.62,0.62,19000,0.60
2013-05-07,0.61,0.62,0.61,0.62,89000,0.60
2013-05-06,0.61,0.61,0.61,0.61,000,0.60
2013-05-03,0.61,0.61,0.61,0.61,5000,0.60
2013-05-02,0.61,0.62,0.61,0.62,15000,0.60
2013-05-01,0.62,0.62,0.62,0.62,000,0.60
2013-04-30,0.62,0.62,0.62,0.62,000,0.60
2013-04-29,0.62,0.62,0.62,0.62,12000,0.60
2013-04-26,0.62,0.62,0.62,0.62,38000,0.60
2013-04-25,0.60,0.60,0.56,0.60,188000,0.58
2013-04-24,0.59,0.59,0.58,0.58,60000,0.57
2013-04-23,0.58,0.58,0.58,0.58,23000,0.57
2013-04-22,0.59,0.59,0.59,0.59,10000,0.58
2013-04-19,0.59,0.59,0.59,0.59,10000,0.58
2013-04-18,0.59,0.59,0.59,0.59,75000,0.58
2013-04-17,0.59,0.59,0.59,0.59,17000,0.58
2013-04-16,0.56,0.60,0.56,0.60,7000,0.59
2013-04-15,0.58,0.61,0.58,0.61,52000,0.59
2013-04-12,0.60,0.60,0.60,0.60,000,0.58
2013-04-11,0.60,0.60,0.60,0.60,000,0.58
2013-04-10,0.59,0.60,0.59,0.60,168000,0.58
2013-04-09,0.59,0.59,0.59,0.59,000,0.58
2013-04-08,0.59,0.59,0.59,0.59,10000,0.58
2013-04-05,0.60,0.61,0.60,0.61,102000,0.59
2013-04-04,0.60,0.60,0.58,0.58,92000,0.57
2013-04-03,0.60,0.60,0.59,0.60,70000,0.59
2013-04-02,0.58,0.60,0.58,0.60,103000,0.59
2013-04-01,0.58,0.58,0.58,0.58,18000,0.57
2013-03-29,0.59,0.59,0.59,0.59,000,0.58
2013-03-28,0.59,0.59,0.59,0.59,000,0.58
2013-03-27,0.59,0.59,0.59,0.59,16000,0.58
2013-03-26,0.59,0.59,0.59,0.59,000,0.58
2013-03-25,0.59,0.59,0.59,0.59,4000,0.58
2013-03-22,0.59,0.59,0.59,0.59,39000,0.58
2013-03-21,0.59,0.59,0.59,0.59,22000,0.58
2013-03-20,0.58,0.58,0.58,0.58,33000,0.57
2013-03-19,0.59,0.59,0.59,0.59,000,0.58
2013-03-18,0.59,0.59,0.59,0.59,000,0.58
2013-03-15,0.57,0.59,0.57,0.59,18000,0.58
2013-03-14,0.59,0.59,0.59,0.59,000,0.58
2013-03-13,0.59,0.59,0.59,0.59,000,0.58
2013-03-12,0.59,0.59,0.59,0.59,000,0.58
2013-03-11,0.59,0.59,0.59,0.59,000,0.58
2013-03-08,0.59,0.59,0.59,0.59,000,0.58
2013-03-07,0.58,0.59,0.58,0.59,77000,0.58
2013-03-06,0.60,0.60,0.60,0.60,000,0.58
2013-03-05,0.58,0.60,0.57,0.60,46000,0.58
2013-03-04,0.57,0.60,0.56,0.60,101000,0.58
2013-03-01,0.60,0.60,0.60,0.60,2000,0.59
2013-02-28,0.59,0.60,0.59,0.60,33000,0.58
2013-02-27,0.57,0.59,0.57,0.58,200000,0.57
2013-02-26,0.60,0.60,0.60,0.60,3000,0.58
2013-02-25,0.57,0.57,0.57,0.57,22000,0.56
2013-02-22,0.60,0.60,0.60,0.60,000,0.59
2013-02-21,0.60,0.60,0.60,0.60,000,0.59
2013-02-20,0.60,0.60,0.60,0.60,13000,0.59
2013-02-19,0.57,0.57,0.57,0.57,20000,0.56
2013-02-18,0.56,0.56,0.55,0.55,43000,0.54
2013-02-15,0.56,0.56,0.56,0.56,000,0.55
2013-02-14,0.56,0.56,0.56,0.56,21000,0.55
2013-02-13,0.56,0.56,0.56,0.56,10000,0.55
2013-02-12,0.56,0.56,0.56,0.56,000,0.55
2013-02-11,0.56,0.56,0.56,0.56,000,0.55
2013-02-08,0.56,0.56,0.56,0.56,000,0.55
2013-02-07,0.56,0.56,0.56,0.56,000,0.55
2013-02-06,0.56,0.56,0.56,0.56,000,0.55
2013-02-05,0.54,0.56,0.53,0.56,33000,0.55
2013-02-04,0.54,0.55,0.54,0.55,2000,0.54
2013-02-01,0.55,0.55,0.55,0.55,20000,0.53
2013-01-31,0.55,0.55,0.55,0.55,000,0.53
2013-01-30,0.55,0.55,0.55,0.55,40000,0.53
2013-01-29,0.56,0.56,0.56,0.56,84000,0.55
2013-01-28,0.55,0.56,0.55,0.56,119000,0.55
2013-01-25,0.55,0.55,0.55,0.55,000,0.53
2013-01-24,0.55,0.55,0.55,0.55,90000,0.53
2013-01-23,0.55,0.55,0.55,0.55,5000,0.53
2013-01-22,0.52,0.52,0.52,0.52,10000,0.51
2013-01-21,0.52,0.52,0.52,0.52,5000,0.51
2013-01-18,0.56,0.56,0.55,0.55,162000,0.54
2013-01-17,0.56,0.56,0.55,0.56,151000,0.55
2013-01-16,0.55,0.56,0.55,0.56,65000,0.54
2013-01-15,0.55,0.55,0.55,0.55,60000,0.53
2013-01-14,0.55,0.55,0.55,0.55,000,0.53
2013-01-11,0.56,0.56,0.55,0.55,75000,0.53
2013-01-10,0.56,0.56,0.55,0.55,134000,0.54
2013-01-09,0.55,0.55,0.54,0.55,75000,0.54
2013-01-08,0.52,0.52,0.52,0.52,50000,0.51
2013-01-07,0.53,0.53,0.53,0.53,000,0.52
2013-01-04,0.53,0.53,0.53,0.53,000,0.52
2013-01-03,0.53,0.53,0.53,0.53,85000,0.52
2013-01-02,0.56,0.56,0.52,0.52,47000,0.51
2013-01-01,0.53,0.53,0.53,0.53,000,0.52
2012-12-31,0.53,0.53,0.53,0.53,89000,0.52
2012-12-28,0.53,0.53,0.53,0.53,000,0.52
2012-12-27,0.53,0.53,0.53,0.53,10000,0.52
2012-12-26,0.54,0.54,0.54,0.54,10000,0.52
2012-12-25,0.54,0.54,0.54,0.54,000,0.52
2012-12-24,0.54,0.54,0.54,0.54,107000,0.52
2012-12-21,0.54,0.54,0.54,0.54,98000,0.52
2012-12-20,0.50,0.50,0.50,0.50,000,0.49
2012-12-19,0.50,0.50,0.50,0.50,19000,0.49
2012-12-18,0.49,0.49,0.49,0.49,000,0.48
2012-12-17,0.49,0.49,0.49,0.49,10000,0.48
2012-12-14,0.49,0.52,0.49,0.52,2000,0.51
2012-12-13,0.52,0.52,0.52,0.52,000,0.51
2012-12-12,0.52,0.52,0.52,0.52,000,0.51
2012-12-11,0.52,0.52,0.52,0.52,000,0.51
2012-12-10,0.52,0.52,0.52,0.52,2000,0.51
2012-12-07,0.52,0.52,0.52,0.52,000,0.51
2012-12-06,0.52,0.52,0.52,0.52,000,0.51
2012-12-05,0.52,0.52,0.52,0.52,000,0.51
2012-12-04,0.52,0.52,0.52,0.52,000,0.51
2012-12-03,0.52,0.52,0.52,0.52,000,0.51
2012-11-30,0.52,0.52,0.52,0.52,000,0.51
2012-11-29,0.52,0.52,0.52,0.52,000,0.51
2012-11-28,0.52,0.52,0.52,0.52,000,0.51
2012-11-27,0.52,0.52,0.52,0.52,000,0.51
2012-11-26,0.51,0.52,0.51,0.52,68000,0.51
2012-11-23,0.50,0.50,0.50,0.50,35000,0.48
2012-11-22,0.50,0.50,0.50,0.50,40000,0.48
2012-11-21,0.50,0.50,0.50,0.50,000,0.48
2012-11-20,0.50,0.50,0.50,0.50,21000,0.48
2012-11-19,0.50,0.50,0.50,0.50,6000,0.48
2012-11-16,0.51,0.51,0.51,0.51,000,0.50
2012-11-15,0.50,0.51,0.50,0.51,62000,0.50
2012-11-14,0.50,0.50,0.50,0.50,10000,0.49
2012-11-13,0.50,0.50,0.50,0.50,000,0.49
2012-11-12,0.50,0.50,0.50,0.50,70000,0.49
2012-11-09,0.50,0.50,0.50,0.50,60000,0.49
2012-11-08,0.50,0.51,0.50,0.51,72000,0.50
2012-11-07,0.51,0.51,0.51,0.51,000,0.50
2012-11-06,0.50,0.51,0.50,0.51,162000,0.50
2012-11-05,0.51,0.51,0.51,0.51,000,0.50
2012-11-02,0.51,0.51,0.51,0.51,000,0.50
2012-11-01,0.50,0.51,0.50,0.51,52000,0.50
2012-10-31,0.50,0.52,0.50,0.52,101000,0.51
2012-10-30,0.50,0.50,0.50,0.50,5000,0.48
2012-10-29,0.50,0.50,0.50,0.50,50000,0.49
2012-10-26,0.50,0.50,0.50,0.50,000,0.49
2012-10-25,0.50,0.50,0.50,0.50,40000,0.49
2012-10-24,0.51,0.51,0.50,0.51,112000,0.50
2012-10-23,0.51,0.51,0.51,0.51,000,0.50
2012-10-22,0.51,0.51,0.51,0.51,000,0.50
2012-10-19,0.51,0.51,0.51,0.51,000,0.50
2012-10-18,0.51,0.51,0.51,0.51,62000,0.50
2012-10-17,0.51,0.51,0.50,0.50,124000,0.49
2012-10-16,0.51,0.51,0.51,0.51,000,0.50
2012-10-15,0.51,0.51,0.51,0.51,97000,0.50
2012-10-12,0.51,0.51,0.51,0.51,11000,0.49
2012-10-11,0.52,0.52,0.51,0.51,10000,0.49
2012-10-10,0.51,0.52,0.51,0.52,252000,0.50
2012-10-09,0.51,0.52,0.51,0.52,216000,0.50
2012-10-08,0.50,0.50,0.50,0.50,62000,0.49
2012-10-05,0.52,0.52,0.52,0.52,15000,0.50
2012-10-04,0.51,0.52,0.51,0.52,50000,0.50
2012-10-03,0.50,0.50,0.50,0.50,55000,0.49
2012-10-02,0.50,0.51,0.50,0.51,31000,0.49
2012-10-01,0.51,0.51,0.51,0.51,000,0.49
2012-09-28,0.51,0.51,0.51,0.51,18000,0.49
2012-09-27,0.51,0.51,0.51,0.51,11000,0.50
2012-09-26,0.51,0.51,0.51,0.51,000,0.50
2012-09-25,0.51,0.51,0.51,0.51,15000,0.50
2012-09-24,0.51,0.51,0.51,0.51,000,0.49
2012-09-21,0.51,0.51,0.51,0.51,000,0.49
2012-09-20,0.51,0.51,0.51,0.51,81000,0.49
2012-09-19,0.50,0.50,0.50,0.50,000,0.49
2012-09-18,0.50,0.50,0.50,0.50,5000,0.49
2012-09-17,0.50,0.50,0.50,0.50,123000,0.49
2012-09-14,0.50,0.50,0.50,0.50,168000,0.49
2012-09-13,0.50,0.50,0.50,0.50,000,0.49
2012-09-12,0.50,0.50,0.50,0.50,000,0.49
2012-09-11,0.50,0.50,0.50,0.50,10000,0.49
2012-09-10,0.50,0.50,0.50,0.50,11000,0.49
2012-09-07,0.50,0.50,0.50,0.50,000,0.49
2012-09-06,0.50,0.50,0.50,0.50,44000,0.49
2012-09-05,0.50,0.50,0.50,0.50,000,0.49
2012-09-04,0.50,0.50,0.50,0.50,000,0.49
2012-09-03,0.50,0.50,0.50,0.50,15000,0.49
2012-08-31,0.50,0.50,0.50,0.50,35000,0.49
2012-08-30,0.50,0.50,0.50,0.50,116000,0.49
2012-08-29,0.50,0.51,0.50,0.51,123000,0.49
2012-08-28,0.50,0.52,0.50,0.52,13000,0.50
2012-08-27,0.53,0.53,0.53,0.53,000,0.51
2012-08-24,0.53,0.53,0.53,0.53,000,0.51
2012-08-23,0.53,0.53,0.53,0.53,000,0.51
2012-08-22,0.53,0.53,0.53,0.53,000,0.51
2012-08-21,0.50,0.53,0.50,0.53,116000,0.51
2012-08-20,0.50,0.50,0.50,0.50,000,0.49
2012-08-17,0.50,0.50,0.50,0.50,000,0.49
2012-08-16,0.50,0.50,0.50,0.50,000,0.49
2012-08-15,0.50,0.50,0.50,0.50,000,0.49
2012-08-14,0.50,0.50,0.49,0.50,53000,0.49
2012-08-13,0.50,0.50,0.50,0.50,000,0.49
2012-08-10,0.50,0.50,0.50,0.50,000,0.49
2012-08-09,0.50,0.50,0.50,0.50,000,0.49
2012-08-08,0.50,0.50,0.50,0.50,120000,0.49
2012-08-07,0.49,0.49,0.49,0.49,000,0.47
2012-08-06,0.49,0.49,0.49,0.49,000,0.47
2012-08-03,0.49,0.49,0.49,0.49,000,0.47
2012-08-02,0.49,0.49,0.49,0.49,10000,0.47
2012-08-01,0.49,0.49,0.49,0.49,000,0.47
2012-07-31,0.49,0.49,0.49,0.49,1000,0.47
2012-07-30,0.49,0.49,0.49,0.49,000,0.48
2012-07-27,0.50,0.50,0.49,0.49,22000,0.48
2012-07-26,0.53,0.53,0.53,0.53,000,0.51
2012-07-25,0.50,0.53,0.47,0.53,330000,0.51
2012-07-24,0.50,0.50,0.50,0.50,000,0.48
2012-07-23,0.50,0.50,0.50,0.50,000,0.48
2012-07-20,0.50,0.50,0.50,0.50,1000,0.48
2012-07-19,0.50,0.50,0.50,0.50,5000,0.48
2012-07-18,0.49,0.49,0.49,0.49,1000,0.48
2012-07-17,0.50,0.50,0.50,0.50,104000,0.49
2012-07-16,0.51,0.51,0.51,0.51,000,0.50
2012-07-13,0.52,0.52,0.51,0.51,41000,0.50
2012-07-12,0.50,0.50,0.50,0.50,000,0.49
2012-07-11,0.50,0.50,0.50,0.50,000,0.49
2012-07-10,0.50,0.50,0.50,0.50,000,0.49
2012-07-09,0.50,0.50,0.50,0.50,146000,0.49
2012-07-06,0.50,0.50,0.50,0.50,15000,0.48
2012-07-05,0.49,0.49,0.49,0.49,120000,0.48
2012-07-04,0.49,0.49,0.49,0.49,39000,0.48
2012-07-03,0.49,0.49,0.49,0.49,000,0.47
2012-07-02,0.49,0.49,0.49,0.49,000,0.47
2012-06-29,0.48,0.49,0.47,0.49,132000,0.47
2012-06-28,0.48,0.49,0.48,0.49,21000,0.47
2012-06-27,0.49,0.49,0.49,0.49,000,0.47
2012-06-26,0.49,0.49,0.49,0.49,000,0.47
2012-06-25,0.49,0.49,0.49,0.49,50000,0.47
2012-06-22,0.49,0.49,0.49,0.49,000,0.47
2012-06-21,0.49,0.49,0.49,0.49,000,0.47
2012-06-20,0.48,0.49,0.48,0.49,16000,0.47
2012-06-19,0.47,0.47,0.47,0.47,000,0.46
2012-06-18,0.47,0.47,0.47,0.47,000,0.46
2012-06-15,0.47,0.47,0.47,0.47,000,0.46
2012-06-14,0.47,0.47,0.47,0.47,21000,0.46
2012-06-13,0.48,0.48,0.48,0.48,000,0.47
2012-06-12,0.48,0.48,0.48,0.48,000,0.47
2012-06-11,0.48,0.48,0.48,0.48,000,0.47
2012-06-08,0.48,0.48,0.48,0.48,45000,0.47
2012-06-07,0.49,0.49,0.49,0.49,000,0.47
2012-06-06,0.47,0.49,0.47,0.49,156000,0.47
2012-06-05,0.49,0.49,0.49,0.49,000,0.48
2012-06-04,0.49,0.49,0.49,0.49,36000,0.48
2012-06-01,0.49,0.49,0.49,0.49,14000,0.48
2012-05-31,0.48,0.48,0.48,0.48,20000,0.47
2012-05-30,0.48,0.48,0.48,0.48,90000,0.47
2012-05-29,0.48,0.48,0.48,0.48,29000,0.47
2012-05-28,0.48,0.48,0.48,0.48,30000,0.47
2012-05-25,0.48,0.48,0.48,0.48,20000,0.47
2012-05-24,0.48,0.48,0.48,0.48,10000,0.47
2012-05-23,0.48,0.48,0.48,0.48,10000,0.47
2012-05-22,0.48,0.50,0.48,0.50,11000,0.49
2012-05-21,0.47,0.48,0.47,0.48,9000,0.47
2012-05-18,0.49,0.49,0.49,0.49,000,0.48
2012-05-17,0.49,0.49,0.48,0.49,5000,0.48
2012-05-16,0.51,0.51,0.51,0.51,000,0.49
2012-05-15,0.51,0.51,0.51,0.51,000,0.49
2012-05-14,0.50,0.51,0.50,0.51,8000,0.49
2012-05-11,0.52,0.52,0.52,0.52,000,0.51
2012-05-10,0.52,0.52,0.52,0.52,000,0.51
2012-05-09,0.52,0.52,0.52,0.52,26000,0.50
2012-05-08,0.52,0.52,0.52,0.52,000,0.49
2012-05-07,0.52,0.52,0.52,0.52,16000,0.49
2012-05-04,0.52,0.52,0.52,0.52,000,0.50
2012-05-03,0.52,0.52,0.52,0.52,10000,0.50
2012-05-02,0.54,0.54,0.54,0.54,000,0.51
2012-05-01,0.54,0.54,0.54,0.54,000,0.51
2012-04-30,0.52,0.52,0.52,0.52,5000,0.50
2012-04-27,0.54,0.54,0.54,0.54,000,0.51
2012-04-26,0.54,0.54,0.54,0.54,000,0.51
2012-04-25,0.54,0.54,0.52,0.54,79000,0.51
2012-04-24,0.53,0.53,0.53,0.53,154000,0.50
2012-04-23,0.55,0.55,0.55,0.55,000,0.52
2012-04-20,0.55,0.55,0.55,0.55,000,0.52
2012-04-19,0.55,0.55,0.55,0.55,000,0.52
2012-04-18,0.55,0.55,0.55,0.55,000,0.52
2012-04-17,0.54,0.55,0.54,0.55,35000,0.52
2012-04-16,0.54,0.54,0.54,0.54,000,0.51
2012-04-13,0.54,0.54,0.54,0.54,20000,0.51
2012-04-12,0.55,0.55,0.55,0.55,39000,0.52
2012-04-11,0.55,0.55,0.55,0.55,000,0.52
2012-04-10,0.53,0.55,0.53,0.55,29000,0.52
2012-04-09,0.54,0.54,0.54,0.54,000,0.51
2012-04-06,0.54,0.54,0.54,0.54,000,0.51
2012-04-05,0.54,0.54,0.54,0.54,93000,0.51
2012-04-04,0.54,0.55,0.54,0.55,58000,0.52
2012-04-03,0.55,0.55,0.55,0.55,000,0.52
2012-04-02,0.55,0.55,0.55,0.55,000,0.52
2012-03-30,0.55,0.55,0.55,0.55,000,0.52
2012-03-29,0.55,0.55,0.55,0.55,000,0.52
2012-03-28,0.55,0.55,0.55,0.55,000,0.52
2012-03-27,0.55,0.56,0.55,0.55,56000,0.52
2012-03-26,0.53,0.55,0.53,0.55,11000,0.52
2012-03-23,0.55,0.55,0.55,0.55,20000,0.52
2012-03-22,0.54,0.55,0.54,0.55,334000,0.52
2012-03-21,0.51,0.51,0.51,0.51,000,0.49
2012-03-20,0.50,0.51,0.50,0.51,156000,0.49
