Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,1.68,1.70,1.68,1.70,78000,1.70
2013-06-03,1.68,1.69,1.68,1.68,89000,1.68
2013-05-31,1.68,1.71,1.68,1.69,77000,1.69
2013-05-30,1.68,1.70,1.68,1.69,70000,1.69
2013-05-29,1.71,1.71,1.70,1.70,115000,1.70
2013-05-28,1.71,1.72,1.71,1.71,35000,1.71
2013-05-27,1.71,1.72,1.71,1.71,26000,1.71
2013-05-24,1.71,1.71,1.71,1.71,000,1.71
2013-05-23,1.73,1.74,1.70,1.71,311000,1.71
2013-05-22,1.73,1.73,1.72,1.73,121000,1.73
2013-05-21,1.73,1.73,1.73,1.73,39000,1.73
2013-05-20,1.72,1.74,1.72,1.74,192000,1.74
2013-05-17,1.73,1.73,1.72,1.73,190000,1.73
2013-05-16,1.74,1.74,1.72,1.73,332000,1.73
2013-05-15,1.74,1.74,1.73,1.73,718000,1.73
2013-05-14,1.71,1.74,1.71,1.74,303000,1.74
2013-05-13,1.72,1.72,1.71,1.71,198000,1.71
2013-05-10,1.72,1.72,1.71,1.72,765000,1.72
2013-05-09,1.68,1.69,1.67,1.69,106000,1.69
2013-05-08,1.67,1.68,1.67,1.68,19000,1.68
2013-05-07,1.69,1.69,1.67,1.68,217000,1.68
2013-05-06,1.72,1.72,1.72,1.72,248000,1.68
2013-05-03,1.71,1.72,1.71,1.72,159000,1.68
2013-05-02,1.71,1.72,1.71,1.72,190000,1.68
2013-05-01,1.72,1.72,1.72,1.72,000,1.68
2013-04-30,1.72,1.72,1.71,1.72,42000,1.68
2013-04-29,1.72,1.72,1.72,1.72,148000,1.68
2013-04-26,1.72,1.72,1.72,1.72,53000,1.68
2013-04-25,1.71,1.72,1.71,1.72,209000,1.68
2013-04-24,1.71,1.72,1.71,1.71,127000,1.67
2013-04-23,1.71,1.71,1.70,1.71,240000,1.67
2013-04-22,1.71,1.71,1.70,1.71,371000,1.67
2013-04-19,1.71,1.72,1.71,1.71,213000,1.67
2013-04-18,1.72,1.72,1.71,1.72,39000,1.68
2013-04-17,1.71,1.72,1.71,1.72,301000,1.68
2013-04-16,1.72,1.72,1.71,1.72,128000,1.68
2013-04-15,1.71,1.72,1.70,1.72,258000,1.68
2013-04-12,1.72,1.72,1.71,1.71,119000,1.67
2013-04-11,1.72,1.72,1.71,1.72,146000,1.68
2013-04-10,1.71,1.71,1.71,1.71,43000,1.67
2013-04-09,1.71,1.71,1.70,1.71,73000,1.67
2013-04-08,1.71,1.71,1.70,1.71,34000,1.67
2013-04-05,1.72,1.72,1.70,1.70,773000,1.66
2013-04-04,1.72,1.72,1.70,1.70,257000,1.66
2013-04-03,1.72,1.72,1.70,1.71,86000,1.67
2013-04-02,1.72,1.72,1.71,1.72,163000,1.68
2013-04-01,1.72,1.72,1.71,1.71,82000,1.67
2013-03-29,1.71,1.71,1.71,1.71,000,1.67
2013-03-28,1.72,1.72,1.71,1.71,110000,1.67
2013-03-27,1.72,1.72,1.70,1.72,448000,1.68
2013-03-26,1.71,1.71,1.71,1.71,93000,1.67
2013-03-25,1.72,1.72,1.71,1.71,132000,1.67
2013-03-22,1.71,1.72,1.71,1.71,456000,1.67
2013-03-21,1.71,1.72,1.71,1.72,312000,1.68
2013-03-20,1.72,1.72,1.72,1.72,128000,1.68
2013-03-19,1.71,1.72,1.71,1.72,149000,1.68
2013-03-18,1.72,1.72,1.71,1.71,108000,1.67
2013-03-15,1.72,1.73,1.72,1.72,391000,1.68
2013-03-14,1.72,1.73,1.72,1.73,367000,1.68
2013-03-13,1.72,1.73,1.71,1.72,508000,1.68
2013-03-12,1.72,1.73,1.72,1.73,334000,1.69
2013-03-11,1.71,1.73,1.70,1.72,904000,1.68
2013-03-08,1.71,1.72,1.70,1.71,1345000,1.67
2013-03-07,1.70,1.71,1.70,1.71,169000,1.67
2013-03-06,1.71,1.71,1.70,1.70,160000,1.66
2013-03-05,1.69,1.71,1.69,1.70,265000,1.66
2013-03-04,1.70,1.70,1.69,1.70,310000,1.66
2013-03-01,1.69,1.70,1.67,1.70,419000,1.66
2013-02-28,1.72,1.72,1.67,1.69,1389000,1.65
2013-02-27,1.73,1.73,1.72,1.73,523000,1.68
2013-02-26,1.73,1.75,1.72,1.73,373000,1.68
2013-02-25,1.73,1.73,1.72,1.72,114000,1.68
2013-02-22,1.73,1.73,1.70,1.72,153000,1.68
2013-02-21,1.74,1.74,1.73,1.73,183000,1.68
2013-02-20,1.74,1.75,1.74,1.74,270000,1.69
2013-02-19,1.74,1.75,1.74,1.74,201000,1.69
2013-02-18,1.74,1.75,1.73,1.74,111000,1.69
2013-02-15,1.73,1.74,1.73,1.74,73000,1.69
2013-02-14,1.73,1.74,1.73,1.73,143000,1.69
2013-02-13,1.73,1.74,1.73,1.73,112000,1.68
2013-02-12,1.73,1.73,1.73,1.73,000,1.69
2013-02-11,1.73,1.73,1.73,1.73,000,1.69
2013-02-08,1.72,1.74,1.72,1.73,161000,1.69
2013-02-07,1.74,1.74,1.72,1.74,487000,1.69
2013-02-06,1.73,1.75,1.73,1.74,362000,1.70
2013-02-05,1.73,1.73,1.72,1.72,290000,1.68
2013-02-04,1.73,1.76,1.73,1.73,712000,1.69
2013-02-01,1.72,1.73,1.71,1.73,366000,1.68
2013-01-31,1.71,1.72,1.71,1.72,259000,1.68
2013-01-30,1.71,1.73,1.71,1.72,654000,1.68
2013-01-29,1.70,1.72,1.70,1.71,329000,1.67
2013-01-28,1.70,1.71,1.70,1.71,175000,1.67
2013-01-25,1.70,1.71,1.69,1.70,402000,1.66
2013-01-24,1.71,1.71,1.70,1.70,222000,1.66
2013-01-23,1.71,1.71,1.70,1.71,198000,1.67
2013-01-22,1.71,1.71,1.70,1.70,184000,1.66
2013-01-21,1.72,1.72,1.70,1.71,306000,1.67
2013-01-18,1.71,1.72,1.70,1.72,751000,1.68
2013-01-17,1.68,1.71,1.68,1.70,536000,1.66
2013-01-16,1.68,1.68,1.67,1.68,2105000,1.64
2013-01-15,1.68,1.68,1.67,1.67,896000,1.64
2013-01-14,1.68,1.68,1.66,1.67,456000,1.63
2013-01-11,1.66,1.68,1.65,1.67,1036000,1.63
2013-01-10,1.65,1.66,1.65,1.65,345000,1.62
2013-01-09,1.65,1.67,1.64,1.66,710000,1.62
2013-01-08,1.65,1.65,1.64,1.64,225000,1.61
2013-01-07,1.63,1.65,1.63,1.65,1095000,1.61
2013-01-04,1.63,1.63,1.62,1.63,422000,1.59
2013-01-03,1.63,1.64,1.63,1.63,211000,1.60
2013-01-02,1.62,1.63,1.62,1.63,464000,1.60
2013-01-01,1.62,1.62,1.62,1.62,000,1.59
2012-12-31,1.62,1.62,1.62,1.62,511000,1.59
2012-12-28,1.62,1.62,1.61,1.62,317000,1.58
2012-12-27,1.62,1.62,1.62,1.62,76000,1.58
2012-12-26,1.62,1.62,1.62,1.62,135000,1.58
2012-12-25,1.62,1.62,1.62,1.62,000,1.58
2012-12-24,1.62,1.62,1.62,1.62,35000,1.58
2012-12-21,1.62,1.62,1.61,1.62,222000,1.58
2012-12-20,1.62,1.62,1.62,1.62,91000,1.58
2012-12-19,1.62,1.62,1.62,1.62,181000,1.58
2012-12-18,1.62,1.62,1.62,1.62,1201000,1.58
2012-12-17,1.62,1.62,1.62,1.62,62000,1.58
2012-12-14,1.62,1.63,1.62,1.63,144000,1.59
2012-12-13,1.63,1.63,1.61,1.63,302000,1.59
2012-12-12,1.61,1.63,1.61,1.63,456000,1.59
2012-12-11,1.61,1.61,1.60,1.60,247000,1.56
2012-12-10,1.60,1.62,1.60,1.60,716000,1.56
2012-12-07,1.60,1.61,1.60,1.60,204000,1.56
2012-12-06,1.60,1.60,1.59,1.60,184000,1.56
2012-12-05,1.59,1.60,1.59,1.60,250000,1.56
2012-12-04,1.60,1.60,1.59,1.60,80000,1.56
2012-12-03,1.61,1.61,1.59,1.60,126000,1.56
2012-11-30,1.59,1.62,1.58,1.59,1630000,1.55
2012-11-29,1.60,1.60,1.58,1.60,378000,1.56
2012-11-28,1.59,1.60,1.58,1.59,236000,1.55
2012-11-27,1.59,1.60,1.58,1.59,116000,1.55
2012-11-26,1.60,1.60,1.58,1.59,127000,1.55
2012-11-23,1.58,1.60,1.58,1.60,258000,1.56
2012-11-22,1.59,1.59,1.58,1.59,156000,1.55
2012-11-21,1.58,1.59,1.58,1.59,31000,1.55
2012-11-20,1.58,1.58,1.57,1.58,534000,1.54
2012-11-19,1.57,1.58,1.56,1.58,353000,1.54
2012-11-16,1.57,1.58,1.56,1.58,68000,1.54
2012-11-15,1.58,1.58,1.54,1.58,895000,1.54
2012-11-14,1.59,1.60,1.58,1.59,244000,1.55
2012-11-13,1.61,1.61,1.61,1.61,000,1.57
2012-11-12,1.60,1.61,1.59,1.61,123000,1.57
2012-11-09,1.60,1.60,1.59,1.60,54000,1.56
2012-11-08,1.59,1.61,1.59,1.60,35000,1.56
2012-11-07,1.59,1.61,1.58,1.61,171000,1.57
2012-11-06,1.59,1.60,1.59,1.60,113000,1.56
2012-11-05,1.60,1.61,1.59,1.59,78000,1.55
2012-11-02,1.61,1.61,1.60,1.60,110000,1.56
2012-11-01,1.61,1.62,1.61,1.61,90000,1.57
2012-10-31,1.62,1.62,1.61,1.61,88000,1.57
2012-10-30,1.62,1.62,1.61,1.62,116000,1.59
2012-10-29,1.62,1.62,1.61,1.62,309000,1.59
2012-10-26,1.63,1.63,1.63,1.63,000,1.59
2012-10-25,1.63,1.63,1.62,1.63,70000,1.59
2012-10-24,1.62,1.63,1.62,1.63,127000,1.60
2012-10-23,1.64,1.64,1.64,1.64,14000,1.61
2012-10-22,1.63,1.65,1.63,1.64,994000,1.61
2012-10-19,1.63,1.65,1.62,1.63,631000,1.60
