Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.33,0.34,0.33,0.34,5715000,0.34
2013-06-03,0.32,0.34,0.32,0.33,10416000,0.33
2013-05-31,0.34,0.34,0.32,0.33,3384000,0.33
2013-05-30,0.34,0.34,0.33,0.34,9041000,0.34
2013-05-29,0.35,0.35,0.34,0.34,3509000,0.34
2013-05-28,0.35,0.37,0.35,0.35,10143000,0.35
2013-05-27,0.33,0.37,0.33,0.35,40024000,0.35
2013-05-24,0.32,0.32,0.32,0.32,000,0.32
2013-05-23,0.32,0.32,0.31,0.32,5629000,0.32
2013-05-22,0.32,0.34,0.32,0.33,5438000,0.33
2013-05-21,0.32,0.32,0.32,0.32,930000,0.32
2013-05-20,0.33,0.33,0.32,0.32,2371000,0.32
2013-05-17,0.33,0.34,0.32,0.32,3456000,0.32
2013-05-16,0.34,0.34,0.33,0.34,4850000,0.34
2013-05-15,0.31,0.33,0.31,0.33,9802000,0.33
2013-05-14,0.31,0.32,0.31,0.31,4459000,0.31
2013-05-13,0.31,0.31,0.30,0.31,4999000,0.31
2013-05-10,0.30,0.31,0.30,0.30,6536000,0.30
2013-05-09,0.29,0.31,0.29,0.30,12641000,0.30
2013-05-08,0.29,0.29,0.28,0.29,1518000,0.29
2013-05-07,0.28,0.29,0.28,0.29,3227000,0.29
2013-05-06,0.28,0.29,0.28,0.28,3043000,0.28
2013-05-03,0.28,0.28,0.28,0.28,2683000,0.28
2013-05-02,0.28,0.29,0.28,0.28,2275000,0.28
2013-05-01,0.28,0.28,0.28,0.28,000,0.28
2013-04-30,0.29,0.29,0.28,0.28,2184000,0.28
2013-04-29,0.29,0.29,0.29,0.29,2244000,0.29
2013-04-26,0.29,0.30,0.29,0.29,5788000,0.29
2013-04-25,0.29,0.29,0.29,0.29,1112000,0.29
2013-04-24,0.29,0.30,0.29,0.29,1229000,0.29
2013-04-23,0.29,0.29,0.29,0.29,1146000,0.29
2013-04-22,0.30,0.30,0.29,0.30,1720000,0.30
2013-04-19,0.31,0.31,0.30,0.30,7061000,0.30
2013-04-18,0.29,0.31,0.28,0.30,7523000,0.30
2013-04-17,0.30,0.30,0.29,0.29,2010000,0.29
2013-04-16,0.29,0.29,0.29,0.29,2806000,0.29
2013-04-15,0.30,0.30,0.29,0.29,2618000,0.29
2013-04-12,0.31,0.31,0.30,0.30,7202000,0.30
2013-04-11,0.30,0.31,0.30,0.31,3611000,0.31
2013-04-10,0.29,0.30,0.29,0.30,2510000,0.30
2013-04-09,0.29,0.30,0.29,0.29,3456000,0.29
2013-04-08,0.31,0.31,0.29,0.29,3184000,0.29
2013-04-05,0.31,0.31,0.30,0.31,4064000,0.30
2013-04-04,0.31,0.31,0.31,0.31,1286000,0.31
2013-04-03,0.31,0.32,0.31,0.31,5220000,0.31
2013-04-02,0.31,0.31,0.31,0.31,1554000,0.30
2013-04-01,0.31,0.31,0.31,0.31,2910000,0.30
2013-03-29,0.31,0.31,0.31,0.31,000,0.31
2013-03-28,0.32,0.32,0.31,0.31,7236000,0.31
2013-03-27,0.32,0.32,0.31,0.32,5258000,0.32
2013-03-26,0.31,0.32,0.31,0.32,5819000,0.32
2013-03-25,0.31,0.32,0.31,0.31,7784000,0.31
2013-03-22,0.31,0.31,0.31,0.31,3909000,0.30
2013-03-21,0.28,0.31,0.28,0.31,29105000,0.31
2013-03-20,0.28,0.28,0.28,0.28,2527000,0.28
2013-03-19,0.28,0.28,0.27,0.28,5079000,0.28
2013-03-18,0.28,0.28,0.27,0.27,5412000,0.27
2013-03-15,0.28,0.29,0.28,0.28,4537000,0.28
2013-03-14,0.27,0.28,0.27,0.28,5235000,0.28
2013-03-13,0.29,0.29,0.28,0.28,6162000,0.27
2013-03-12,0.29,0.29,0.28,0.29,6206000,0.29
2013-03-11,0.31,0.31,0.28,0.29,9023000,0.29
2013-03-08,0.31,0.31,0.30,0.31,6004000,0.30
2013-03-07,0.32,0.32,0.31,0.31,5581000,0.31
2013-03-06,0.32,0.33,0.31,0.32,7405000,0.32
2013-03-05,0.31,0.32,0.31,0.32,4300000,0.32
2013-03-04,0.32,0.32,0.30,0.31,12270000,0.30
2013-03-01,0.34,0.34,0.32,0.32,10174000,0.32
2013-02-28,0.34,0.34,0.33,0.34,10408000,0.33
2013-02-27,0.34,0.35,0.34,0.34,10642000,0.34
2013-02-26,0.34,0.35,0.34,0.34,7521000,0.34
2013-02-25,0.35,0.35,0.34,0.35,10991000,0.35
2013-02-22,0.35,0.35,0.34,0.34,7938000,0.34
2013-02-21,0.35,0.35,0.34,0.34,4195000,0.34
2013-02-20,0.35,0.36,0.35,0.35,30029000,0.35
2013-02-19,0.35,0.35,0.34,0.35,14343000,0.35
2013-02-18,0.35,0.35,0.34,0.34,11263000,0.34
2013-02-15,0.34,0.35,0.34,0.35,18061000,0.35
2013-02-14,0.35,0.35,0.34,0.34,7917000,0.34
2013-02-13,0.35,0.35,0.34,0.34,6888000,0.34
2013-02-12,0.34,0.34,0.34,0.34,000,0.34
2013-02-11,0.34,0.34,0.34,0.34,000,0.34
2013-02-08,0.35,0.35,0.34,0.34,1775000,0.34
2013-02-07,0.35,0.35,0.34,0.35,10380000,0.35
