Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.70,0.70,0.69,0.69,83000,0.69
2013-06-03,0.69,0.69,0.69,0.69,20000,0.69
2013-05-31,0.69,0.69,0.69,0.69,000,0.69
2013-05-30,0.70,0.70,0.69,0.69,247000,0.69
2013-05-29,0.70,0.70,0.69,0.70,448000,0.70
2013-05-28,0.69,0.69,0.69,0.69,000,0.69
2013-05-27,0.69,0.69,0.69,0.69,40000,0.69
2013-05-24,0.70,0.70,0.70,0.70,000,0.70
2013-05-23,0.69,0.70,0.69,0.70,121000,0.70
2013-05-22,0.69,0.69,0.69,0.69,20000,0.69
2013-05-21,0.69,0.69,0.69,0.69,11000,0.69
2013-05-20,0.69,0.69,0.69,0.69,4000,0.69
2013-05-17,0.69,0.69,0.69,0.69,123000,0.69
2013-05-16,0.69,0.70,0.69,0.70,90000,0.70
2013-05-15,0.69,0.69,0.69,0.69,2000,0.69
2013-05-14,0.70,0.70,0.69,0.69,35000,0.69
2013-05-13,0.70,0.70,0.70,0.70,1000,0.70
2013-05-10,0.69,0.70,0.69,0.70,44000,0.70
2013-05-09,0.70,0.70,0.69,0.69,540000,0.69
2013-05-08,0.69,0.69,0.69,0.69,50000,0.69
2013-05-07,0.69,0.69,0.69,0.69,70000,0.69
2013-05-06,0.69,0.69,0.69,0.69,41000,0.69
2013-05-03,0.70,0.70,0.68,0.69,44000,0.69
2013-05-02,0.70,0.70,0.70,0.70,1000,0.70
2013-05-01,0.70,0.70,0.70,0.70,000,0.70
2013-04-30,0.70,0.70,0.70,0.70,854000,0.70
2013-04-29,0.70,0.70,0.70,0.70,1000,0.70
2013-04-26,0.70,0.70,0.70,0.70,223000,0.70
2013-04-25,0.70,0.70,0.70,0.70,225000,0.70
2013-04-24,0.69,0.69,0.69,0.69,20000,0.69
2013-04-23,0.69,0.69,0.69,0.69,000,0.69
2013-04-22,0.69,0.69,0.69,0.69,2000,0.69
2013-04-19,0.69,0.69,0.69,0.69,13000,0.69
2013-04-18,0.69,0.69,0.69,0.69,70000,0.69
2013-04-17,0.69,0.69,0.69,0.69,30000,0.69
2013-04-16,0.69,0.69,0.69,0.69,216000,0.69
2013-04-15,0.69,0.69,0.69,0.69,61000,0.69
2013-04-12,0.70,0.70,0.69,0.69,53000,0.69
2013-04-11,0.69,0.70,0.69,0.70,831000,0.70
2013-04-10,0.69,0.69,0.69,0.69,263000,0.69
2013-04-09,0.68,0.68,0.68,0.68,10000,0.68
2013-04-08,0.69,0.69,0.69,0.69,93000,0.69
2013-04-05,0.69,0.69,0.68,0.68,26000,0.68
2013-04-04,0.69,0.69,0.69,0.69,50000,0.69
2013-04-03,0.69,0.69,0.69,0.69,3000,0.69
2013-04-02,0.69,0.69,0.69,0.69,50000,0.69
2013-04-01,0.71,0.71,0.69,0.69,138000,0.69
2013-03-29,0.69,0.69,0.69,0.69,000,0.69
2013-03-28,0.69,0.69,0.69,0.69,000,0.69
2013-03-27,0.69,0.69,0.69,0.69,000,0.69
2013-03-26,0.69,0.69,0.69,0.69,29000,0.69
2013-03-25,0.69,0.69,0.69,0.69,000,0.69
2013-03-22,0.69,0.69,0.69,0.69,95000,0.69
2013-03-21,0.69,0.70,0.69,0.70,68000,0.70
2013-03-20,0.69,0.69,0.68,0.69,54000,0.69
2013-03-19,0.69,0.69,0.69,0.69,35000,0.69
2013-03-18,0.69,0.69,0.69,0.69,115000,0.69
2013-03-15,0.69,0.69,0.68,0.68,113000,0.68
2013-03-14,0.68,0.68,0.68,0.68,20000,0.68
2013-03-13,0.68,0.68,0.68,0.68,60000,0.68
2013-03-12,0.68,0.68,0.68,0.68,25000,0.68
2013-03-11,0.68,0.68,0.68,0.68,15000,0.68
2013-03-08,0.68,0.68,0.68,0.68,45000,0.68
2013-03-07,0.68,0.68,0.68,0.68,105000,0.68
2013-03-06,0.69,0.69,0.68,0.68,8000,0.68
2013-03-05,0.69,0.69,0.69,0.69,15000,0.69
2013-03-04,0.69,0.69,0.69,0.69,89000,0.69
2013-03-01,0.69,0.69,0.69,0.69,67000,0.68
2013-02-28,0.70,0.70,0.69,0.69,48000,0.68
2013-02-27,0.70,0.70,0.69,0.69,34000,0.68
2013-02-26,0.70,0.70,0.69,0.69,116000,0.68
2013-02-25,0.69,0.69,0.69,0.69,10000,0.68
2013-02-22,0.70,0.70,0.70,0.70,000,0.69
2013-02-21,0.70,0.70,0.69,0.70,289000,0.69
2013-02-20,0.70,0.70,0.70,0.70,137000,0.69
2013-02-19,0.70,0.71,0.70,0.70,798000,0.69
2013-02-18,0.70,0.70,0.69,0.70,108000,0.69
2013-02-15,0.70,0.70,0.69,0.70,91000,0.69
2013-02-14,0.70,0.70,0.70,0.70,103000,0.69
2013-02-13,0.70,0.70,0.69,0.70,130000,0.69
2013-02-12,0.69,0.69,0.69,0.69,000,0.68
2013-02-11,0.69,0.69,0.69,0.69,000,0.68
2013-02-08,0.69,0.69,0.69,0.69,3000,0.68
2013-02-07,0.69,0.69,0.68,0.69,384000,0.68
2013-02-06,0.69,0.69,0.69,0.69,17000,0.68
2013-02-05,0.69,0.69,0.69,0.69,42000,0.68
2013-02-04,0.69,0.69,0.69,0.69,101000,0.68
2013-02-01,0.69,0.69,0.69,0.69,290000,0.68
2013-01-31,0.70,0.70,0.70,0.70,10000,0.69
2013-01-30,0.71,0.71,0.70,0.70,37000,0.69
2013-01-29,0.70,0.71,0.70,0.71,82000,0.70
