Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.16,0.16,0.16,0.16,6000,0.16
2013-06-03,0.17,0.17,0.15,0.15,635000,0.15
2013-05-31,0.16,0.16,0.16,0.16,71000,0.16
2013-05-30,0.16,0.17,0.16,0.16,138000,0.16
2013-05-29,0.16,0.16,0.16,0.16,7000,0.16
2013-05-28,0.17,0.17,0.17,0.17,1000,0.17
2013-05-27,0.16,0.17,0.16,0.16,141000,0.16
2013-05-24,0.16,0.16,0.16,0.16,000,0.16
2013-05-23,0.16,0.16,0.16,0.16,1000,0.16
2013-05-22,0.16,0.16,0.16,0.16,2000,0.16
2013-05-21,0.16,0.16,0.16,0.16,000,0.16
2013-05-20,0.16,0.16,0.16,0.16,1000,0.16
2013-05-17,0.16,0.16,0.16,0.16,1000,0.16
2013-05-16,0.15,0.15,0.15,0.15,000,0.15
2013-05-15,0.15,0.15,0.15,0.15,31000,0.15
2013-05-14,0.15,0.15,0.15,0.15,000,0.15
2013-05-13,0.15,0.15,0.15,0.15,14000,0.15
2013-05-10,0.16,0.16,0.16,0.16,000,0.16
2013-05-09,0.16,0.16,0.16,0.16,000,0.16
2013-05-08,0.16,0.16,0.16,0.16,94000,0.16
2013-05-07,0.15,0.15,0.15,0.15,000,0.15
2013-05-06,0.15,0.15,0.15,0.15,000,0.15
2013-05-03,0.15,0.15,0.15,0.15,818000,0.15
2013-05-02,0.15,0.15,0.15,0.16,146000,0.16
2013-05-01,0.16,0.16,0.16,0.16,000,0.16
2013-04-30,0.16,0.16,0.16,0.16,52000,0.16
2013-04-29,0.15,0.15,0.15,0.15,1000,0.15
2013-04-26,0.15,0.15,0.15,0.15,136000,0.15
2013-04-25,0.16,0.16,0.15,0.15,55000,0.15
2013-04-24,0.16,0.16,0.16,0.16,2000,0.16
2013-04-23,0.15,0.15,0.15,0.15,000,0.15
2013-04-22,0.15,0.15,0.15,0.15,000,0.15
2013-04-19,0.15,0.15,0.15,0.15,25000,0.15
2013-04-18,0.15,0.15,0.15,0.15,94000,0.15
2013-04-17,0.15,0.15,0.15,0.15,101000,0.15
2013-04-16,0.15,0.15,0.15,0.15,000,0.15
2013-04-15,0.15,0.15,0.15,0.15,141000,0.15
2013-04-12,0.16,0.16,0.15,0.15,126000,0.15
2013-04-11,0.16,0.16,0.16,0.16,000,0.16
2013-04-10,0.16,0.16,0.16,0.16,25000,0.16
2013-04-09,0.16,0.16,0.16,0.16,000,0.16
2013-04-08,0.16,0.16,0.16,0.16,000,0.16
2013-04-05,0.16,0.16,0.16,0.16,15000,0.16
2013-04-04,0.16,0.16,0.16,0.16,000,0.16
2013-04-03,0.16,0.17,0.16,0.16,72000,0.16
2013-04-02,0.16,0.16,0.16,0.16,322000,0.16
2013-04-01,0.16,0.17,0.16,0.17,36000,0.17
2013-03-29,0.16,0.16,0.16,0.16,000,0.16
2013-03-28,0.16,0.16,0.16,0.16,114000,0.16
2013-03-27,0.16,0.16,0.16,0.16,20000,0.16
2013-03-26,0.16,0.16,0.16,0.16,000,0.16
2013-03-25,0.16,0.16,0.16,0.16,31000,0.16
2013-03-22,0.16,0.16,0.15,0.16,131000,0.16
2013-03-21,0.16,0.16,0.16,0.16,000,0.16
2013-03-20,0.16,0.16,0.15,0.16,209000,0.16
2013-03-19,0.15,0.16,0.15,0.16,375000,0.16
2013-03-18,0.15,0.15,0.15,0.15,000,0.15
2013-03-15,0.15,0.15,0.15,0.15,000,0.15
2013-03-14,0.15,0.15,0.15,0.15,000,0.15
2013-03-13,0.15,0.15,0.15,0.15,000,0.15
2013-03-12,0.15,0.15,0.15,0.15,000,0.15
2013-03-11,0.15,0.15,0.15,0.15,000,0.15
2013-03-08,0.15,0.15,0.15,0.15,000,0.15
2013-03-07,0.15,0.15,0.15,0.15,000,0.15
2013-03-06,0.15,0.15,0.15,0.15,102000,0.15
2013-03-05,0.15,0.15,0.15,0.15,66000,0.15
2013-03-04,0.15,0.15,0.15,0.15,000,0.15
2013-03-01,0.15,0.15,0.15,0.15,200000,0.15
2013-02-28,0.15,0.15,0.15,0.15,000,0.15
2013-02-27,0.15,0.15,0.15,0.15,000,0.15
2013-02-26,0.15,0.15,0.15,0.15,000,0.15
2013-02-25,0.15,0.15,0.15,0.15,000,0.15
2013-02-22,0.15,0.15,0.15,0.15,000,0.15
2013-02-21,0.15,0.15,0.15,0.15,156000,0.15
2013-02-20,0.15,0.15,0.15,0.15,30000,0.15
2013-02-19,0.15,0.15,0.15,0.15,53000,0.15
2013-02-18,0.15,0.15,0.15,0.15,70000,0.15
2013-02-15,0.15,0.15,0.15,0.15,000,0.15
2013-02-14,0.15,0.15,0.15,0.15,000,0.15
2013-02-13,0.15,0.15,0.15,0.15,000,0.15
2013-02-12,0.15,0.15,0.15,0.15,000,0.15
2013-02-11,0.15,0.15,0.15,0.15,000,0.15
2013-02-08,0.15,0.15,0.15,0.15,000,0.15
2013-02-07,0.15,0.15,0.15,0.15,000,0.15
2013-02-06,0.15,0.15,0.15,0.15,000,0.15
2013-02-05,0.15,0.15,0.15,0.15,60000,0.15
2013-02-04,0.15,0.15,0.15,0.15,000,0.15
